Background characteristic,Percentage who have experienced physical violence since age 15,Often,Sometimes,Often or sometimes,Number of men
Age,,,,,
15–19,29.2,1.7,15.5,17.4,"1,252"
20–24,26.6,0.7,9.7,10.4,921
25–29,28.3,0.6,7.8,8.3,847
30–39,25.3,0.9,7.5,8.4,"1,350"
40–49,26.1,1,4.9,6,996
 ,,,,,
Residence,,,,,
Urban,29.1,0.7,11.9,12.7,"1,992"
Rural,25.8,1.2,7.8,9.1,"3,373"
 ,,,,,
Marital status,,,,,
Never married,28.1,1.2,12,13.4,"2,524"
Never ever had intimate partner,30,1.1,14.5,15.6,"1,204"
Ever had intimate partner,26.3,1.3,9.8,11.3,"1,319"
Ever married,26.1,0.9,6.9,7.8,"2,842"
Married/living together,23.5,0.6,5.9,6.5,"2,510"
Divorced/separated/widowed,45.5,2.6,14.3,17.1,332
 ,,,,,
Education5,,,,,
No education,11.5,0,5.1,5.1,148
Primary,26.3,1.4,9.1,10.6,"2,024"
Secondary,29.5,0.9,11.1,12.1,"2,063"
More than secondary,25.9,0.8,6.8,7.6,"1,047"
 ,,,,,
Wealth quintile,,,,,
Lowest,23,1.1,8.1,9.2,828
Second,27.2,1.2,9.4,10.9,"1,085"
Middle,28.6,1.7,9.1,10.8,"1,137"
Fourth,27.4,0.3,8.5,8.8,"1,230"
Highest,27.9,0.9,11.3,12.2,"1,085"
,,,,,
Total 15–49,27,1,9.3,10.4,"5,365"
 ,,,,,
50–54,22.8,0.6,4.2,4.8,318
 ,,,,,
Total 15–54,26.8,1,9,10.1,"5,683"
