Background characteristic,Percentage who have experienced phyical violence since age 15,Often,Sometimes,Often or sometimes,Number of women
Age,,,,,
15–19,19.5,1,10,11.2,"3,063"
20–24,29,2.9,12.3,15.4,"3,289"
25–29,36.9,4.4,14.4,18.9,"3,071"
30–39,40.2,4.9,13.2,18.2,"4,575"
40–49,41.7,4,9.8,13.9,"2,928"
 ,,,,,
Residence,,,,,
Urban,31.6,3.3,10,13.4,"6,742"
Rural,35.5,3.7,13.5,17.3,"10,184"
 ,,,,,
Marital status,,,,,
Never married,19.8,0.9,8,9,"5,465"
Never ever had intimate partner,12.3,0.5,6.2,6.7,"2,314"
Ever had intimate partner,25.2,1.3,9.3,10.7,"3,151"
Ever married,40.7,4.8,14,19,"11,461"
Married/living together,37,4.1,14.7,18.9,"9,492"
Divorced/separated/widowed,58.4,8.1,10.8,19.3,"1,969"
 ,,,,,
Education5,,,,,
No education,35.9,4.9,12.7,17.6,896
Primary,42.7,5.5,15.7,21.4,"6,126"
Secondary,30.9,2.9,11.6,14.7,"6,469"
More than secondary,23.3,0.9,5.8,6.8,"3,253"
 ,,,,,
Wealth quintile,,,,,
Lowest,36.9,5.3,15.8,21.2,"2,716"
Second,36.7,4.4,14.4,19,"3,045"
Middle,36.8,3.5,13.8,17.4,"3,231"
Fourth,33.6,2.8,11,14.1,"3,775"
Highest,28.1,2.4,7.6,10,"4,159"
,,,,,
Total 15–49,33.9,3.5,12.1,15.8,"16,926"
 ,,,,,
50–54,na,na,na,na,na
 ,,,,,
Total 15–54,na,na,na,na,na
