"Value","Category","Proportion","Background characteristics"
"<20","<60 days",24,"Age at birth (in years)"
"<20","60-89 days",13,"Age at birth (in years)"
"<20","90-179 days",36,"Age at birth (in years)"
"<20","180+ days",12,"Age at birth (in years)"
"20-34","<60 days",22,"Age at birth (in years)"
"20-34","60-89 days",12,"Age at birth (in years)"
"20-34","90-179 days",38,"Age at birth (in years)"
"20-34","180+ days",18,"Age at birth (in years)"
"35-49","<60 days",24,"Age at birth (in years)"
"35-49","60-89 days",13,"Age at birth (in years)"
"35-49","90-179 days",34,"Age at birth (in years)"
"35-49","180+ days",16,"Age at birth (in years)"
"1","<60 days",21,"Birth order"
"1","60-89 days",11,"Birth order"
"1","90-179 days",39,"Birth order"
"1","180+ days",19,"Birth order"
"2-3","<60 days",21,"Birth order"
"2-3","60-89 days",12,"Birth order"
"2-3","90-179 days",41,"Birth order"
"2-3","180+ days",17,"Birth order"
"4-5","<60 days",27,"Birth order"
"4-5","60-89 days",13,"Birth order"
"4-5","90-179 days",32,"Birth order"
"4-5","180+ days",16,"Birth order"
"6+","<60 days",26,"Birth order"
"6+","60-89 days",13,"Birth order"
"6+","90-179 days",28,"Birth order"
"6+","180+ days",14,"Birth order"
"Urban","<60 days",21,"Residence"
"Urban","60-89 days",11,"Residence"
"Urban","90-179 days",39,"Residence"
"Urban","180+ days",19,"Residence"
"Rural","<60 days",24,"Residence"
"Rural","60-89 days",12,"Residence"
"Rural","90-179 days",36,"Residence"
"Rural","180+ days",16,"Residence"
"No education","<60 days",25,"Education"
"No education","60-89 days",13,"Education"
"No education","90-179 days",24,"Education"
"No education","180+ days",17,"Education"
"Primary","<60 days",26,"Education"
"Primary","60-89 days",12,"Education"
"Primary","90-179 days",35,"Education"
"Primary","180+ days",14,"Education"
"Secondary","<60 days",22,"Education"
"Secondary","60-89 days",12,"Education"
"Secondary","90-179 days",42,"Education"
"Secondary","180+ days",16,"Education"
"More than secondary","<60 days",17,"Education"
"More than secondary","60-89 days",10,"Education"
"More than secondary","90-179 days",40,"Education"
"More than secondary","180+ days",26,"Education"
"Lowest","<60 days",25,"Wealth quintile"
"Lowest","60-89 days",12,"Wealth quintile"
"Lowest","90-179 days",33,"Wealth quintile"
"Lowest","180+ days",16,"Wealth quintile"
"Second","<60 days",25,"Wealth quintile"
"Second","60-89 days",13,"Wealth quintile"
"Second","90-179 days",36,"Wealth quintile"
"Second","180+ days",15,"Wealth quintile"
"Middle","<60 days",22,"Wealth quintile"
"Middle","60-89 days",13,"Wealth quintile"
"Middle","90-179 days",40,"Wealth quintile"
"Middle","180+ days",16,"Wealth quintile"
"Fourth","<60 days",24,"Wealth quintile"
"Fourth","60-89 days",12,"Wealth quintile"
"Fourth","90-179 days",40,"Wealth quintile"
"Fourth","180+ days",15,"Wealth quintile"
"Highest","<60 days",19,"Wealth quintile"
"Highest","60-89 days",10,"Wealth quintile"
"Highest","90-179 days",39,"Wealth quintile"
"Highest","180+ days",25,"Wealth quintile"
