County,Category,Proportion,Schooling level,Ratio,Names
Mombasa,Male,88.5,Primary,Net Attendance Ratio,"Mombasa, 88.5%"
Mombasa,Female,87.7,Primary,Net Attendance Ratio,"Mombasa, 87.7%"
Mombasa,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Mombasa, 0.99%"
Kwale,Male,78.9,Primary,Net Attendance Ratio,"Kwale, 78.9%"
Kwale,Female,79,Primary,Net Attendance Ratio,"Kwale, 79%"
Kwale,Gender Parity Index,1,Primary,Net Attendance Ratio,"Kwale, 1%"
Kilifi,Male,86,Primary,Net Attendance Ratio,"Kilifi, 86%"
Kilifi,Female,89.3,Primary,Net Attendance Ratio,"Kilifi, 89.3%"
Kilifi,Gender Parity Index,1.04,Primary,Net Attendance Ratio,"Kilifi, 1.04%"
Tana River,Male,57.2,Primary,Net Attendance Ratio,"Tana River, 57.2%"
Tana River,Female,57.1,Primary,Net Attendance Ratio,"Tana River, 57.1%"
Tana River,Gender Parity Index,1,Primary,Net Attendance Ratio,"Tana River, 1%"
Lamu,Male,84.4,Primary,Net Attendance Ratio,"Lamu, 84.4%"
Lamu,Female,86,Primary,Net Attendance Ratio,"Lamu, 86%"
Lamu,Gender Parity Index,1.02,Primary,Net Attendance Ratio,"Lamu, 1.02%"
Taita Taveta,Male,93.7,Primary,Net Attendance Ratio,"Taita Taveta, 93.7%"
Taita Taveta,Female,89.1,Primary,Net Attendance Ratio,"Taita Taveta, 89.1%"
Taita Taveta,Gender Parity Index,0.95,Primary,Net Attendance Ratio,"Taita Taveta, 0.95%"
Garissa,Male,49,Primary,Net Attendance Ratio,"Garissa, 49%"
Garissa,Female,48.6,Primary,Net Attendance Ratio,"Garissa, 48.6%"
Garissa,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Garissa, 0.99%"
Wajir,Male,56.4,Primary,Net Attendance Ratio,"Wajir, 56.4%"
Wajir,Female,58.5,Primary,Net Attendance Ratio,"Wajir, 58.5%"
Wajir,Gender Parity Index,1.04,Primary,Net Attendance Ratio,"Wajir, 1.04%"
Mandera,Male,58.3,Primary,Net Attendance Ratio,"Mandera, 58.3%"
Mandera,Female,51.6,Primary,Net Attendance Ratio,"Mandera, 51.6%"
Mandera,Gender Parity Index,0.89,Primary,Net Attendance Ratio,"Mandera, 0.89%"
Marsabit,Male,73.4,Primary,Net Attendance Ratio,"Marsabit, 73.4%"
Marsabit,Female,66.8,Primary,Net Attendance Ratio,"Marsabit, 66.8%"
Marsabit,Gender Parity Index,0.91,Primary,Net Attendance Ratio,"Marsabit, 0.91%"
Isiolo,Male,74.8,Primary,Net Attendance Ratio,"Isiolo, 74.8%"
Isiolo,Female,78.7,Primary,Net Attendance Ratio,"Isiolo, 78.7%"
Isiolo,Gender Parity Index,1.05,Primary,Net Attendance Ratio,"Isiolo, 1.05%"
Meru,Male,85.5,Primary,Net Attendance Ratio,"Meru, 85.5%"
Meru,Female,89.1,Primary,Net Attendance Ratio,"Meru, 89.1%"
Meru,Gender Parity Index,1.04,Primary,Net Attendance Ratio,"Meru, 1.04%"
