County,Health Insurance Type,Proportion,Names
Mombasa,NHIF,26.4,"Mombasa, 26.4%"
Mombasa,Private/commercial,3.5,"Mombasa, 3.5%"
Mombasa,Community-based,0.1,"Mombasa, 0.1%"
Mombasa,Other,0.1,"Mombasa, 0.1%"
Mombasa,None/Don't know,71,"Mombasa, 71%"
Mombasa,Any,29,"Mombasa, 29%"
Kwale,NHIF,10,"Kwale, 10%"
Kwale,Private/commercial,1.5,"Kwale, 1.5%"
Kwale,Community-based,0,"Kwale, 0%"
Kwale,Other,0,"Kwale, 0%"
Kwale,None/Don't know,88.7,"Kwale, 88.7%"
Kwale,Any,11.3,"Kwale, 11.3%"
Kilifi,NHIF,11,"Kilifi, 11%"
Kilifi,Private/commercial,1.7,"Kilifi, 1.7%"
Kilifi,Community-based,0,"Kilifi, 0%"
Kilifi,Other,0,"Kilifi, 0%"
Kilifi,None/Don't know,88.2,"Kilifi, 88.2%"
Kilifi,Any,11.8,"Kilifi, 11.8%"
Tana River,NHIF,5.3,"Tana River, 5.3%"
Tana River,Private/commercial,0.7,"Tana River, 0.7%"
Tana River,Community-based,0,"Tana River, 0%"
Tana River,Other,0,"Tana River, 0%"
Tana River,None/Don't know,94.7,"Tana River, 94.7%"
Tana River,Any,5.3,"Tana River, 5.3%"
Lamu,NHIF,27.8,"Lamu, 27.8%"
Lamu,Private/commercial,2,"Lamu, 2%"
Lamu,Community-based,0.2,"Lamu, 0.2%"
Lamu,Other,0,"Lamu, 0%"
Lamu,None/Don't know,70.9,"Lamu, 70.9%"
Lamu,Any,29.1,"Lamu, 29.1%"
Taita Taveta,NHIF,21.6,"Taita Taveta, 21.6%"
Taita Taveta,Private/commercial,2.6,"Taita Taveta, 2.6%"
Taita Taveta,Community-based,0,"Taita Taveta, 0%"
Taita Taveta,Other,0,"Taita Taveta, 0%"
Taita Taveta,None/Don't know,77.7,"Taita Taveta, 77.7%"
Taita Taveta,Any,22.3,"Taita Taveta, 22.3%"
Garissa,NHIF,6,"Garissa, 6%"
Garissa,Private/commercial,2.3,"Garissa, 2.3%"
Garissa,Community-based,0,"Garissa, 0%"
Garissa,Other,0,"Garissa, 0%"
Garissa,None/Don't know,92.2,"Garissa, 92.2%"
Garissa,Any,7.8,"Garissa, 7.8%"
Wajir,NHIF,11.5,"Wajir, 11.5%"
Wajir,Private/commercial,0.8,"Wajir, 0.8%"
Wajir,Community-based,0,"Wajir, 0%"
Wajir,Other,0,"Wajir, 0%"
Wajir,None/Don't know,87.7,"Wajir, 87.7%"
Wajir,Any,12.3,"Wajir, 12.3%"
Mandera,NHIF,5.6,"Mandera, 5.6%"
Mandera,Private/commercial,0.5,"Mandera, 0.5%"
Mandera,Community-based,0,"Mandera, 0%"
Mandera,Other,0,"Mandera, 0%"
