County,Category,Proportion
Mombasa,"RTA deaths per 100,000",172
Mombasa,"RTA severe injuries per 100,000",1905
Mombasa,"RTA deaths & severe injuries per 100,000",121
Kwale,"RTA deaths per 100,000",120
Kwale,"RTA severe injuries per 100,000",585
Kwale,"RTA deaths & severe injuries per 100,000",33
Kilifi,"RTA deaths per 100,000",63
Kilifi,"RTA severe injuries per 100,000",987
Kilifi,"RTA deaths & severe injuries per 100,000",111
Tana River,"RTA deaths per 100,000",0
Tana River,"RTA severe injuries per 100,000",296
Tana River,"RTA deaths & severe injuries per 100,000",0
Lamu,"RTA deaths per 100,000",112
Lamu,"RTA severe injuries per 100,000",1422
Lamu,"RTA deaths & severe injuries per 100,000",96
Taita Taveta,"RTA deaths per 100,000",140
Taita Taveta,"RTA severe injuries per 100,000",736
Taita Taveta,"RTA deaths & severe injuries per 100,000",0
Garissa,"RTA deaths per 100,000",0
Garissa,"RTA severe injuries per 100,000",729
Garissa,"RTA deaths & severe injuries per 100,000",0
Wajir,"RTA deaths per 100,000",171
Wajir,"RTA severe injuries per 100,000",969
Wajir,"RTA deaths & severe injuries per 100,000",35
Mandera,"RTA deaths per 100,000",0
Mandera,"RTA severe injuries per 100,000",200
Mandera,"RTA deaths & severe injuries per 100,000",0
Marsabit,"RTA deaths per 100,000",120
Marsabit,"RTA severe injuries per 100,000",302
Marsabit,"RTA deaths & severe injuries per 100,000",18
Isiolo,"RTA deaths per 100,000",211
Isiolo,"RTA severe injuries per 100,000",1687
Isiolo,"RTA deaths & severe injuries per 100,000",211
Meru,"RTA deaths per 100,000",43
Meru,"RTA severe injuries per 100,000",2180
Meru,"RTA deaths & severe injuries per 100,000",0
Tharaka Nithi,"RTA deaths per 100,000",71
Tharaka Nithi,"RTA severe injuries per 100,000",2433
Tharaka Nithi,"RTA deaths & severe injuries per 100,000",0
Embu,"RTA deaths per 100,000",51
Embu,"RTA severe injuries per 100,000",1071
Embu,"RTA deaths & severe injuries per 100,000",51
Kitui,"RTA deaths per 100,000",121
Kitui,"RTA severe injuries per 100,000",794
Kitui,"RTA deaths & severe injuries per 100,000",68
Machakos,"RTA deaths per 100,000",136
Machakos,"RTA severe injuries per 100,000",1199
Machakos,"RTA deaths & severe injuries per 100,000",98
Makueni,"RTA deaths per 100,000",95
Makueni,"RTA severe injuries per 100,000",697
Makueni,"RTA deaths & severe injuries per 100,000",39
Nyandarua,"RTA deaths per 100,000",189
Nyandarua,"RTA severe injuries per 100,000",1007
Nyandarua,"RTA deaths & severe injuries per 100,000",41
Nyeri,"RTA deaths per 100,000",53
Nyeri,"RTA severe injuries per 100,000",1398
Nyeri,"RTA deaths & severe injuries per 100,000",53
Kirinyaga,"RTA deaths per 100,000",102
Kirinyaga,"RTA severe injuries per 100,000",851
Kirinyaga,"RTA deaths & severe injuries per 100,000",0
Muranga,"RTA deaths per 100,000",367
Muranga,"RTA severe injuries per 100,000",2588
Muranga,"RTA deaths & severe injuries per 100,000",577
Kiambu,"RTA deaths per 100,000",233
Kiambu,"RTA severe injuries per 100,000",1299
Kiambu,"RTA deaths & severe injuries per 100,000",69
Turkana,"RTA deaths per 100,000",58
Turkana,"RTA severe injuries per 100,000",1308
Turkana,"RTA deaths & severe injuries per 100,000",0
West Pokot,"RTA deaths per 100,000",277
West Pokot,"RTA severe injuries per 100,000",660
West Pokot,"RTA deaths & severe injuries per 100,000",154
Samburu,"RTA deaths per 100,000",56
Samburu,"RTA severe injuries per 100,000",614
Samburu,"RTA deaths & severe injuries per 100,000",0
Trans Nzoia,"RTA deaths per 100,000",0
Trans Nzoia,"RTA severe injuries per 100,000",1430
Trans Nzoia,"RTA deaths & severe injuries per 100,000",0
Uasin Gishu,"RTA deaths per 100,000",37
Uasin Gishu,"RTA severe injuries per 100,000",1703
Uasin Gishu,"RTA deaths & severe injuries per 100,000",0
