Background characteristic,Percentage who have experienced physical violence since age 15,Often,Sometimes,Often or sometimes,Numbder of men
Mombasa ,39.5,0.4,10.5,10.8,181
Kwale ,33.9,0,13.6,13.6,97
Kilifi ,10.9,0,7.2,7.2,169
Tana River ,2.6,0,0,0,27
Lamu ,7.3,0,2.9,2.9,15
Taita/Taveta ,28.9,0,2.4,2.4,41
Garissa ,29,0,3.8,3.8,52
Wajir ,8.8,1.2,6.7,8,21
Mandera ,7.3,0,4.9,4.9,34
Marsabit ,22.9,0,5.2,5.2,16
Isiolo ,75.1,0,11.9,11.9,19
Meru ,44.4,3.2,10.8,13.9,178
Tharaka-Nithi ,59.5,2.8,16.5,20.3,55
Embu ,23.3,0,2.1,2.1,79
Kitui ,7.8,0,1.3,1.3,135
Machakos ,1.3,0,0.3,0.3,207
Makueni ,5.6,0,0.9,0.9,109
Nyandarua ,27.2,1.2,5.7,6.9,73
Nyeri ,30.8,0,15.1,15.1,101
Kirinyaga ,0,0,0,0,72
Murang’a ,40.9,4.4,6.3,10.7,125
Kiambu ,57.9,0.5,22.4,23,332
Turkana ,17.7,0,13.4,13.4,41
West Pokot ,22.7,1.5,6.3,7.8,58
Samburu ,22.9,1.4,4.1,5.5,19
Trans Nzoia ,26.2,0,2.6,2.6,116
Uasin Gishu ,34.9,0,10.3,10.3,176
Elgeyo/Marakwet ,6.7,0,6.2,6.2,41
Nandi ,41.1,3.4,12.6,15.9,111
Baringo ,6.4,0,1.5,1.5,67
Laikipia ,42.1,0,15,15,57
Nakuru ,23.7,0,4.9,4.9,277
Narok ,5.9,0,2.4,2.4,139
Kajiado ,10.3,1.6,4.3,5.9,126
Kericho ,15.5,0,2.8,2.8,125
Bomet ,3.4,0,0.7,0.7,122
Kakamega ,7.6,0.6,4.5,5.1,230
Vihiga ,30,2,12.6,14.7,59
Bungoma ,39.9,10.2,13.8,25.7,179
Busia ,31.6,0.6,16.8,17.3,108
Siaya ,72.4,0.3,18.4,18.7,99
Kisumu ,32.1,1.3,13.9,15.2,144
Homa Bay ,60,1.4,18.4,19.8,104
Migori ,72.6,0,20.4,20.4,93
Kisii ,15.4,0,3.4,3.4,128
Nyamira ,3.1,0,2.3,2.3,54
Nairobi City ,21.6,1.3,15,16.3,556
Total ,27,1,9.3,10.4,"5,365"
,,,,,
