County,Age_category,Category,Proportion,Names
Mombasa,6-59 months,Iron tablets/syrups last 12 months,43.1,"Mombasa, 43.1%"
Mombasa,6-59 months,Micronutrient powders last 12 months,33.2,"Mombasa, 33.2%"
Mombasa,6-59 months,Iron supplements last 6 months,44.7,"Mombasa, 44.7%"
Mombasa,6-59 months,Vit. A last 6 months,74.5,"Mombasa, 74.5%"
Mombasa,12-59 months,Deworming last 6 months,77.4,"Mombasa, 77.4%"
Kwale,6-59 months,Iron tablets/syrups last 12 months,53.3,"Kwale, 53.3%"
Kwale,6-59 months,Micronutrient powders last 12 months,57.7,"Kwale, 57.7%"
Kwale,6-59 months,Iron supplements last 6 months,60.3,"Kwale, 60.3%"
Kwale,6-59 months,Vit. A last 6 months,80,"Kwale, 80%"
Kwale,12-59 months,Deworming last 6 months,67.9,"Kwale, 67.9%"
Kilifi,6-59 months,Iron tablets/syrups last 12 months,8.2,"Kilifi, 8.2%"
Kilifi,6-59 months,Micronutrient powders last 12 months,6.9,"Kilifi, 6.9%"
Kilifi,6-59 months,Iron supplements last 6 months,9.3,"Kilifi, 9.3%"
Kilifi,6-59 months,Vit. A last 6 months,69.7,"Kilifi, 69.7%"
Kilifi,12-59 months,Deworming last 6 months,67.1,"Kilifi, 67.1%"
Tana River,6-59 months,Iron tablets/syrups last 12 months,12.7,"Tana River, 12.7%"
Tana River,6-59 months,Micronutrient powders last 12 months,11.6,"Tana River, 11.6%"
Tana River,6-59 months,Iron supplements last 6 months,14.9,"Tana River, 14.9%"
Tana River,6-59 months,Vit. A last 6 months,38.3,"Tana River, 38.3%"
Tana River,12-59 months,Deworming last 6 months,42,"Tana River, 42%"
Lamu,6-59 months,Iron tablets/syrups last 12 months,7.2,"Lamu, 7.2%"
Lamu,6-59 months,Micronutrient powders last 12 months,0.7,"Lamu, 0.7%"
Lamu,6-59 months,Iron supplements last 6 months,7.2,"Lamu, 7.2%"
Lamu,6-59 months,Vit. A last 6 months,54.5,"Lamu, 54.5%"
Lamu,12-59 months,Deworming last 6 months,64.6,"Lamu, 64.6%"
Taita Taveta,6-59 months,Iron tablets/syrups last 12 months,18.5,"Taita Taveta, 18.5%"
Taita Taveta,6-59 months,Micronutrient powders last 12 months,22.3,"Taita Taveta, 22.3%"
Taita Taveta,6-59 months,Iron supplements last 6 months,23.9,"Taita Taveta, 23.9%"
Taita Taveta,6-59 months,Vit. A last 6 months,70.8,"Taita Taveta, 70.8%"
Taita Taveta,12-59 months,Deworming last 6 months,71.4,"Taita Taveta, 71.4%"
Garissa,6-59 months,Iron tablets/syrups last 12 months,51,"Garissa, 51%"
Garissa,6-59 months,Micronutrient powders last 12 months,44.9,"Garissa, 44.9%"
Garissa,6-59 months,Iron supplements last 6 months,52,"Garissa, 52%"
