"","Characteristic","<4","4-6","7+","Variable"
"1","<20","25.1","57.5","14.5","Age_at_birth"
"2","20-34","30.2","60.5","7.8","Age_at_birth"
"3","35-49","23.0","60.4","12.5","Age_at_birth"
"4","1","32.8","57.5","8.4","Birth_order"
"5","2-3","30.5","60.8","7.8","Birth_order"
"6","4-5","23.5","62.1","11.1","Birth_order"
"7","6+","17.5","61.0","15.0","Birth_order"
"8","Urban","32.8","59.7","6.4","Residence"
"9","Rural","26.3","60.3","10.9","Residence"
"10","No education","18.4","62.7","9.6","Education"
"11","Primary","24.0","61.5","12.4","Education"
"12","Secondary","26.9","63.0","9.2","Education"
"13","More than secondary","46.5","50.0","3.1","Education"
"14","Lowest","20.8","63.3","11.4","Wealth"
"15","Second","26.2","59.7","12.0","Wealth"
"16","Middle","26.8","61.1","10.4","Wealth"
"17","Fourth","27.2","61.8","9.8","Wealth"
"18","Highest","42.3","54.3","3.1","Wealth"
