"Grouping","Weighted_percent","Weighted_number","Unweighted_number","Participants","Indicator","Indicator1","label"
"15–19",19,6025,6404,"Women","Age","Age","19%"
"20–24",19,6001,5762,"Women","Age","Age","19%"
"25–29",18,5687,5443,"Women","Age","Age","18%"
"30–34",14,4530,4561,"Women","Age","Age","14%"
"35–39",13,4311,4354,"Women","Age","Age","13%"
"40–44",10,3084,3100,"Women","Age","Age","10%"
"45–49",8,2518,2532,"Women","Age","Age","8%"
"15–19",23,3175,3349,"Men","Age","Age","23%"
"20–24",18,2404,2332,"Men","Age","Age","18%"
"25–29",17,2268,2109,"Men","Age","Age","17%"
"30–34",13,1787,1748,"Men","Age","Age","13%"
"35–39",12,1577,1628,"Men","Age","Age","12%"
"40–44",10,1332,1386,"Men","Age","Age","10%"
"45–49",8,1109,1117,"Men","Age","Age","8%"
"Very good",24,7638,7867,"Women","Health_Status","Health Status","24%"
"Good",55,17823,17988,"Women","Health_Status","Health Status","55%"
"Moderate",18,5933,5541,"Women","Health_Status","Health Status","18%"
"Bad",2,696,710,"Women","Health_Status","Health Status","2%"
"Very bad",0.2,67,50,"Women","Health_Status","Health Status","<1%"
"Very good",36,4883,5098,"Men","Health_Status","Health Status","36%"
"Good",49,6677,6607,"Men","Health_Status","Health Status","49%"
"Moderate",14,1926,1799,"Men","Health_Status","Health Status","14%"
"Bad",1,141,145,"Men","Health_Status","Health Status","1%"
"Very bad",0.2,26,20,"Men","Health_Status","Health Status","<1%"
"Catholic",19,5978,5665,"Women","Religion","Religion","19%"
"Protestant/other Christian",73,23442,21154,"Women","Religion","Religion","73%"
"Muslim",7,2275,4852,"Women","Religion","Religion","7%"
"No religion",1,344,357,"Women","Religion","Religion","1%"
"Other",0.4,117,128,"Women","Religion","Religion","<1%"
"Catholic",22,2946,2709,"Men","Religion","Religion","22%"
"Protestant/other Christian",66,9006,8137,"Men","Religion","Religion","66%"
"Muslim",7,987,2148,"Men","Religion","Religion","7%"
"No religion",4,607,557,"Men","Religion","Religion","4%"
"Other",1,107,118,"Men","Religion","Religion","1%"
"Never married",32,10438,10048,"Women","Marital_Status","Marital Status","32%"
"Married",48,15483,16454,"Women","Marital_Status","Marital Status","48%"
"Living together",7,2339,1858,"Women","Marital_Status","Marital Status","7%"
"Divorced/separated",9,2989,2776,"Women","Marital_Status","Marital Status","9%"
"Widowed",3,908,1020,"Women","Marital_Status","Marital Status","3%"
"Never married",48,6576,6486,"Men","Marital_Status","Marital Status","48%"
"Married",43,5907,5994,"Men","Marital_Status","Marital Status","43%"
