"Value","Category","Proportion","Background characteristics"
"Urban","RTA deaths per 100,000",198,"Residence"
"Urban","RTA severe injuries per 100,000",1672,"Residence"
"Urban","RTA deaths & severe injuries per 100,000",98,"Residence"
"Rural","RTA deaths per 100,000",112,"Residence"
"Rural","RTA severe injuries per 100,000",1452,"Residence"
"Rural","RTA deaths & severe injuries per 100,000",58,"Residence"
"Lowest","RTA deaths per 100,000",81,"Wealth quintile"
"Lowest","RTA severe injuries per 100,000",1069,"Wealth quintile"
"Lowest","RTA deaths & severe injuries per 100,000",36,"Wealth quintile"
"Second","RTA deaths per 100,000",124,"Wealth quintile"
"Second","RTA severe injuries per 100,000",1631,"Wealth quintile"
"Second","RTA deaths & severe injuries per 100,000",61,"Wealth quintile"
"Middle","RTA deaths per 100,000",140,"Wealth quintile"
"Middle","RTA severe injuries per 100,000",1621,"Wealth quintile"
"Middle","RTA deaths & severe injuries per 100,000",63,"Wealth quintile"
"Fourth","RTA deaths per 100,000",219,"Wealth quintile"
"Fourth","RTA severe injuries per 100,000",1991,"Wealth quintile"
"Fourth","RTA deaths & severe injuries per 100,000",150,"Wealth quintile"
"Highest","RTA deaths per 100,000",139,"Wealth quintile"
"Highest","RTA severe injuries per 100,000",1311,"Wealth quintile"
"Highest","RTA deaths & severe injuries per 100,000",44,"Wealth quintile"
