"County","Reason For Assistance","Proportion","Names","cat"
"Mombasa","Receiving cash/social assistance",11.4,"Mombasa, 11.4%","8.1-19.9"
"Mombasa","Orphaned children(<=18)",3.8,"Mombasa, 3.8%","2.6-8.0"
"Mombasa","Elderly person",5.8,"Mombasa, 5.8%","2.6-8.0"
"Mombasa","Person with severe disability",3.9,"Mombasa, 3.9%","2.6-8.0"
"Mombasa","Urban food subsidy",7.8,"Mombasa, 7.8%","2.6-8.0"
"Mombasa","Food aid for ASALs",0,"Mombasa, 0%","<0.7"
"Mombasa","Health voucher",4.2,"Mombasa, 4.2%","2.6-8.0"
"Mombasa","Food/cash for work",24.7,"Mombasa, 24.7%",">19.9"
"Mombasa","School feeding",2.5,"Mombasa, 2.5%","0.7-2.5"
"Mombasa","Hunger safety net program",2.3,"Mombasa, 2.3%","0.7-2.5"
"Mombasa","COVID-19 relief",21.5,"Mombasa, 21.5%",">19.9"
"Mombasa","Other",31.2,"Mombasa, 31.2%",">19.9"
"Kwale","Receiving cash/social assistance",17.7,"Kwale, 17.7%","8.1-19.9"
"Kwale","Orphaned children(<=18)",1.8,"Kwale, 1.8%","0.7-2.5"
"Kwale","Elderly person",16,"Kwale, 16%","8.1-19.9"
"Kwale","Person with severe disability",0,"Kwale, 0%","<0.7"
"Kwale","Urban food subsidy",3.6,"Kwale, 3.6%","2.6-8.0"
"Kwale","Food aid for ASALs",5.2,"Kwale, 5.2%","2.6-8.0"
"Kwale","Health voucher",1,"Kwale, 1%","0.7-2.5"
"Kwale","Food/cash for work",1.9,"Kwale, 1.9%","0.7-2.5"
"Kwale","School feeding",28.4,"Kwale, 28.4%",">19.9"
"Kwale","Hunger safety net program",6.4,"Kwale, 6.4%","2.6-8.0"
"Kwale","COVID-19 relief",21,"Kwale, 21%",">19.9"
"Kwale","Other",20.3,"Kwale, 20.3%",">19.9"
"Kilifi","Receiving cash/social assistance",13.1,"Kilifi, 13.1%","8.1-19.9"
"Kilifi","Orphaned children(<=18)",7.7,"Kilifi, 7.7%","2.6-8.0"
"Kilifi","Elderly person",21.5,"Kilifi, 21.5%",">19.9"
"Kilifi","Person with severe disability",3.6,"Kilifi, 3.6%","2.6-8.0"
"Kilifi","Urban food subsidy",0,"Kilifi, 0%","<0.7"
"Kilifi","Food aid for ASALs",7.5,"Kilifi, 7.5%","2.6-8.0"
"Kilifi","Health voucher",2.5,"Kilifi, 2.5%","0.7-2.5"
"Kilifi","Food/cash for work",28,"Kilifi, 28%",">19.9"
"Kilifi","School feeding",1.8,"Kilifi, 1.8%","0.7-2.5"
"Kilifi","Hunger safety net program",9.1,"Kilifi, 9.1%","8.1-19.9"
"Kilifi","COVID-19 relief",2.5,"Kilifi, 2.5%","0.7-2.5"
"Kilifi","Other",22.6,"Kilifi, 22.6%",">19.9"
"Tana River","Receiving cash/social assistance",19.5,"Tana River, 19.5%","8.1-19.9"
"Tana River","Orphaned children(<=18)",8.7,"Tana River, 8.7%","8.1-19.9"
"Tana River","Elderly person",24.5,"Tana River, 24.5%",">19.9"
"Tana River","Person with severe disability",5.9,"Tana River, 5.9%","2.6-8.0"
"Tana River","Urban food subsidy",3.3,"Tana River, 3.3%","2.6-8.0"
"Tana River","Food aid for ASALs",43.8,"Tana River, 43.8%",">19.9"
"Tana River","Health voucher",0.4,"Tana River, 0.4%","<0.7"
"Tana River","Food/cash for work",7.4,"Tana River, 7.4%","2.6-8.0"
"Tana River","School feeding",2.9,"Tana River, 2.9%","2.6-8.0"
"Tana River","Hunger safety net program",3.5,"Tana River, 3.5%","2.6-8.0"
"Tana River","COVID-19 relief",8.1,"Tana River, 8.1%","8.1-19.9"
"Tana River","Other",7.4,"Tana River, 7.4%","2.6-8.0"
"Lamu","Receiving cash/social assistance",20.6,"Lamu, 20.6%",">19.9"
"Lamu","Orphaned children(<=18)",4.8,"Lamu, 4.8%","2.6-8.0"
"Lamu","Elderly person",13.9,"Lamu, 13.9%","8.1-19.9"
"Lamu","Person with severe disability",1.8,"Lamu, 1.8%","0.7-2.5"
"Lamu","Urban food subsidy",1.4,"Lamu, 1.4%","0.7-2.5"
"Lamu","Food aid for ASALs",24.4,"Lamu, 24.4%",">19.9"
"Lamu","Health voucher",0,"Lamu, 0%","<0.7"
"Lamu","Food/cash for work",14.8,"Lamu, 14.8%","8.1-19.9"
"Lamu","School feeding",5.6,"Lamu, 5.6%","2.6-8.0"
"Lamu","Hunger safety net program",21.4,"Lamu, 21.4%",">19.9"
"Lamu","COVID-19 relief",0,"Lamu, 0%","<0.7"
"Lamu","Other",24.8,"Lamu, 24.8%",">19.9"
"Taita Taveta","Receiving cash/social assistance",17.7,"Taita Taveta, 17.7%","8.1-19.9"
"Taita Taveta","Orphaned children(<=18)",5,"Taita Taveta, 5%","2.6-8.0"
"Taita Taveta","Elderly person",26.9,"Taita Taveta, 26.9%",">19.9"
"Taita Taveta","Person with severe disability",1.7,"Taita Taveta, 1.7%","0.7-2.5"
"Taita Taveta","Urban food subsidy",1.5,"Taita Taveta, 1.5%","0.7-2.5"
"Taita Taveta","Food aid for ASALs",4.8,"Taita Taveta, 4.8%","2.6-8.0"
"Taita Taveta","Health voucher",3,"Taita Taveta, 3%","2.6-8.0"
"Taita Taveta","Food/cash for work",9.1,"Taita Taveta, 9.1%","8.1-19.9"
"Taita Taveta","School feeding",1.3,"Taita Taveta, 1.3%","0.7-2.5"
"Taita Taveta","Hunger safety net program",3.4,"Taita Taveta, 3.4%","2.6-8.0"
"Taita Taveta","COVID-19 relief",13,"Taita Taveta, 13%","8.1-19.9"
"Taita Taveta","Other",38.2,"Taita Taveta, 38.2%",">19.9"
"Garissa","Receiving cash/social assistance",12.7,"Garissa, 12.7%","8.1-19.9"
"Garissa","Orphaned children(<=18)",2.9,"Garissa, 2.9%","2.6-8.0"
"Garissa","Elderly person",16.5,"Garissa, 16.5%","8.1-19.9"
"Garissa","Person with severe disability",0,"Garissa, 0%","<0.7"
"Garissa","Urban food subsidy",0.6,"Garissa, 0.6%","<0.7"
"Garissa","Food aid for ASALs",19.4,"Garissa, 19.4%","8.1-19.9"
"Garissa","Health voucher",0,"Garissa, 0%","<0.7"
"Garissa","Food/cash for work",21.3,"Garissa, 21.3%",">19.9"
"Garissa","School feeding",0,"Garissa, 0%","<0.7"
"Garissa","Hunger safety net program",26.7,"Garissa, 26.7%",">19.9"
"Garissa","COVID-19 relief",23.9,"Garissa, 23.9%",">19.9"
"Garissa","Other",6.3,"Garissa, 6.3%","2.6-8.0"
"Wajir","Receiving cash/social assistance",21.8,"Wajir, 21.8%",">19.9"
"Wajir","Orphaned children(<=18)",9.5,"Wajir, 9.5%","8.1-19.9"
"Wajir","Elderly person",19.6,"Wajir, 19.6%","8.1-19.9"
"Wajir","Person with severe disability",0,"Wajir, 0%","<0.7"
"Wajir","Urban food subsidy",0,"Wajir, 0%","<0.7"
"Wajir","Food aid for ASALs",14,"Wajir, 14%","8.1-19.9"
"Wajir","Health voucher",0,"Wajir, 0%","<0.7"
"Wajir","Food/cash for work",0.8,"Wajir, 0.8%","0.7-2.5"
"Wajir","School feeding",0,"Wajir, 0%","<0.7"
"Wajir","Hunger safety net program",61.2,"Wajir, 61.2%",">19.9"
"Wajir","COVID-19 relief",0,"Wajir, 0%","<0.7"
"Wajir","Other",4.3,"Wajir, 4.3%","2.6-8.0"
"Mandera","Receiving cash/social assistance",10.2,"Mandera, 10.2%","8.1-19.9"
"Mandera","Orphaned children(<=18)",12.1,"Mandera, 12.1%","8.1-19.9"
"Mandera","Elderly person",5,"Mandera, 5%","2.6-8.0"
"Mandera","Person with severe disability",2.3,"Mandera, 2.3%","0.7-2.5"
