"","County","Category","Proportion","Participants","Names"
"1","Mombasa","Legislators, Administrators & Managers",15.3,"Women","Mombasa, 15.3%"
"2","Mombasa","Professionals",10.7,"Women","Mombasa, 10.7%"
"3","Mombasa","Technicians & Associate Professionals",9,"Women","Mombasa, 9%"
"4","Mombasa","Secretarial & Clerical Services",2.3,"Women","Mombasa, 2.3%"
"5","Mombasa","Service Workers",29.2,"Women","Mombasa, 29.2%"
"6","Mombasa","Skilled Farm & Wildlife Related Workers",1,"Women","Mombasa, 1%"
"7","Mombasa","Craft & Related Trades Workers",0.2,"Women","Mombasa, 0.2%"
"8","Mombasa","Plant & Machine Operators",1.4,"Women","Mombasa, 1.4%"
"9","Mombasa","Elementary Occupations",28.7,"Women","Mombasa, 28.7%"
"10","Kwale","Legislators, Administrators & Managers",20.5,"Women","Kwale, 20.5%"
"11","Kwale","Professionals",9.2,"Women","Kwale, 9.2%"
"12","Kwale","Technicians & Associate Professionals",7.8,"Women","Kwale, 7.8%"
"13","Kwale","Secretarial & Clerical Services",3.3,"Women","Kwale, 3.3%"
"14","Kwale","Service Workers",30.7,"Women","Kwale, 30.7%"
"15","Kwale","Skilled Farm & Wildlife Related Workers",2.9,"Women","Kwale, 2.9%"
"16","Kwale","Craft & Related Trades Workers",0.7,"Women","Kwale, 0.7%"
"17","Kwale","Plant & Machine Operators",0,"Women","Kwale, 0%"
"18","Kwale","Elementary Occupations",19.7,"Women","Kwale, 19.7%"
"19","Kilifi","Legislators, Administrators & Managers",14.2,"Women","Kilifi, 14.2%"
"20","Kilifi","Professionals",7,"Women","Kilifi, 7%"
"21","Kilifi","Technicians & Associate Professionals",5.9,"Women","Kilifi, 5.9%"
"22","Kilifi","Secretarial & Clerical Services",3.7,"Women","Kilifi, 3.7%"
"23","Kilifi","Service Workers",21.8,"Women","Kilifi, 21.8%"
"24","Kilifi","Skilled Farm & Wildlife Related Workers",7.2,"Women","Kilifi, 7.2%"
"25","Kilifi","Craft & Related Trades Workers",1,"Women","Kilifi, 1%"
"26","Kilifi","Plant & Machine Operators",0.4,"Women","Kilifi, 0.4%"
"27","Kilifi","Elementary Occupations",33.7,"Women","Kilifi, 33.7%"
"28","Tana River","Legislators, Administrators & Managers",11.2,"Women","Tana River, 11.2%"
"29","Tana River","Professionals",6.3,"Women","Tana River, 6.3%"
"30","Tana River","Technicians & Associate Professionals",4.9,"Women","Tana River, 4.9%"
"31","Tana River","Secretarial & Clerical Services",2.2,"Women","Tana River, 2.2%"
"32","Tana River","Service Workers",12.6,"Women","Tana River, 12.6%"
"33","Tana River","Skilled Farm & Wildlife Related Workers",23.2,"Women","Tana River, 23.2%"
"34","Tana River","Craft & Related Trades Workers",1.2,"Women","Tana River, 1.2%"
"35","Tana River","Plant & Machine Operators",0,"Women","Tana River, 0%"
"36","Tana River","Elementary Occupations",38.5,"Women","Tana River, 38.5%"
"37","Lamu","Legislators, Administrators & Managers",8.1,"Women","Lamu, 8.1%"
"38","Lamu","Professionals",11.8,"Women","Lamu, 11.8%"
"39","Lamu","Technicians & Associate Professionals",6.3,"Women","Lamu, 6.3%"
"40","Lamu","Secretarial & Clerical Services",1.6,"Women","Lamu, 1.6%"
"41","Lamu","Service Workers",17.7,"Women","Lamu, 17.7%"
"42","Lamu","Skilled Farm & Wildlife Related Workers",26.4,"Women","Lamu, 26.4%"
"43","Lamu","Craft & Related Trades Workers",2.9,"Women","Lamu, 2.9%"
"44","Lamu","Plant & Machine Operators",0.6,"Women","Lamu, 0.6%"
"45","Lamu","Elementary Occupations",23.3,"Women","Lamu, 23.3%"
"46","Taita Taveta","Legislators, Administrators & Managers",10,"Women","Taita Taveta, 10%"
"47","Taita Taveta","Professionals",6,"Women","Taita Taveta, 6%"
"48","Taita Taveta","Technicians & Associate Professionals",10.5,"Women","Taita Taveta, 10.5%"
"49","Taita Taveta","Secretarial & Clerical Services",3.8,"Women","Taita Taveta, 3.8%"
"50","Taita Taveta","Service Workers",19.5,"Women","Taita Taveta, 19.5%"
"51","Taita Taveta","Skilled Farm & Wildlife Related Workers",16.5,"Women","Taita Taveta, 16.5%"
"52","Taita Taveta","Craft & Related Trades Workers",2.1,"Women","Taita Taveta, 2.1%"
"53","Taita Taveta","Plant & Machine Operators",0.3,"Women","Taita Taveta, 0.3%"
"54","Taita Taveta","Elementary Occupations",30.4,"Women","Taita Taveta, 30.4%"
"55","Garissa","Legislators, Administrators & Managers",9.1,"Women","Garissa, 9.1%"
"56","Garissa","Professionals",6.7,"Women","Garissa, 6.7%"
"57","Garissa","Technicians & Associate Professionals",10.5,"Women","Garissa, 10.5%"
"58","Garissa","Secretarial & Clerical Services",1.7,"Women","Garissa, 1.7%"
"59","Garissa","Service Workers",22.1,"Women","Garissa, 22.1%"
"60","Garissa","Skilled Farm & Wildlife Related Workers",0,"Women","Garissa, 0%"
"61","Garissa","Craft & Related Trades Workers",1.3,"Women","Garissa, 1.3%"
"62","Garissa","Plant & Machine Operators",4.1,"Women","Garissa, 4.1%"
"63","Garissa","Elementary Occupations",39.9,"Women","Garissa, 39.9%"
"64","Wajir","Legislators, Administrators & Managers",24.5,"Women","Wajir, 24.5%"
"65","Wajir","Professionals",7.4,"Women","Wajir, 7.4%"
"66","Wajir","Technicians & Associate Professionals",6.3,"Women","Wajir, 6.3%"
"67","Wajir","Secretarial & Clerical Services",0.9,"Women","Wajir, 0.9%"
"68","Wajir","Service Workers",24.4,"Women","Wajir, 24.4%"
"69","Wajir","Skilled Farm & Wildlife Related Workers",6.3,"Women","Wajir, 6.3%"
"70","Wajir","Craft & Related Trades Workers",2.5,"Women","Wajir, 2.5%"
"71","Wajir","Plant & Machine Operators",0,"Women","Wajir, 0%"
"72","Wajir","Elementary Occupations",24.6,"Women","Wajir, 24.6%"
"73","Mandera","Legislators, Administrators & Managers",NA,"Women","Mandera, NA%"
"74","Mandera","Professionals",NA,"Women","Mandera, NA%"
"75","Mandera","Technicians & Associate Professionals",NA,"Women","Mandera, NA%"
"76","Mandera","Secretarial & Clerical Services",NA,"Women","Mandera, NA%"
"77","Mandera","Service Workers",NA,"Women","Mandera, NA%"
"78","Mandera","Skilled Farm & Wildlife Related Workers",NA,"Women","Mandera, NA%"
"79","Mandera","Craft & Related Trades Workers",NA,"Women","Mandera, NA%"
"80","Mandera","Plant & Machine Operators",NA,"Women","Mandera, NA%"
"81","Mandera","Elementary Occupations",NA,"Women","Mandera, NA%"
"82","Marsabit","Legislators, Administrators & Managers",NA,"Women","Marsabit, NA%"
"83","Marsabit","Professionals",NA,"Women","Marsabit, NA%"
"84","Marsabit","Technicians & Associate Professionals",NA,"Women","Marsabit, NA%"
"85","Marsabit","Secretarial & Clerical Services",NA,"Women","Marsabit, NA%"
"86","Marsabit","Service Workers",NA,"Women","Marsabit, NA%"
"87","Marsabit","Skilled Farm & Wildlife Related Workers",NA,"Women","Marsabit, NA%"
"88","Marsabit","Craft & Related Trades Workers",NA,"Women","Marsabit, NA%"
"89","Marsabit","Plant & Machine Operators",NA,"Women","Marsabit, NA%"
"90","Marsabit","Elementary Occupations",NA,"Women","Marsabit, NA%"
"91","Isiolo","Legislators, Administrators & Managers",18,"Women","Isiolo, 18%"
"92","Isiolo","Professionals",6.5,"Women","Isiolo, 6.5%"
"93","Isiolo","Technicians & Associate Professionals",11.6,"Women","Isiolo, 11.6%"
"94","Isiolo","Secretarial & Clerical Services",2.4,"Women","Isiolo, 2.4%"
