County,Category,Proportion,Characteristics
Mombasa,1/+doses of SP/Fansidar,80.1,IPTp implementation done
Mombasa,2/+doses of SP/Fansidar,51.2,IPTp implementation done
Mombasa,3/+doses of SP/Fansidar,31.2,IPTp implementation done
Kwale,1/+doses of SP/Fansidar,75.3,IPTp implementation done
Kwale,2/+doses of SP/Fansidar,48.1,IPTp implementation done
Kwale,3/+doses of SP/Fansidar,27.7,IPTp implementation done
Kilifi,1/+doses of SP/Fansidar,74.7,IPTp implementation done
Kilifi,2/+doses of SP/Fansidar,49.2,IPTp implementation done
Kilifi,3/+doses of SP/Fansidar,27.6,IPTp implementation done
Tana River,1/+doses of SP/Fansidar,40.3,IPTp implementation done
Tana River,2/+doses of SP/Fansidar,24.3,IPTp implementation done
Tana River,3/+doses of SP/Fansidar,5.8,IPTp implementation done
Lamu,1/+doses of SP/Fansidar,81,IPTp implementation done
Lamu,2/+doses of SP/Fansidar,67.2,IPTp implementation done
Lamu,3/+doses of SP/Fansidar,42.2,IPTp implementation done
Taita Taveta,1/+doses of SP/Fansidar,61.7,IPTp implementation done
Taita Taveta,2/+doses of SP/Fansidar,43.1,IPTp implementation done
Taita Taveta,3/+doses of SP/Fansidar,22.7,IPTp implementation done
Kakamega,1/+doses of SP/Fansidar,74.4,IPTp implementation done
Kakamega,2/+doses of SP/Fansidar,62.2,IPTp implementation done
Kakamega,3/+doses of SP/Fansidar,45.7,IPTp implementation done
Vihiga,1/+doses of SP/Fansidar,88.3,IPTp implementation done
Vihiga,2/+doses of SP/Fansidar,77,IPTp implementation done
Vihiga,3/+doses of SP/Fansidar,59.1,IPTp implementation done
Bungoma,1/+doses of SP/Fansidar,75.3,IPTp implementation done
Bungoma,2/+doses of SP/Fansidar,58.2,IPTp implementation done
Bungoma,3/+doses of SP/Fansidar,40.6,IPTp implementation done
Busia,1/+doses of SP/Fansidar,73.5,IPTp implementation done
Busia,2/+doses of SP/Fansidar,54.2,IPTp implementation done
Busia,3/+doses of SP/Fansidar,34.7,IPTp implementation done
Siaya,1/+doses of SP/Fansidar,68.7,IPTp implementation done
Siaya,2/+doses of SP/Fansidar,56.8,IPTp implementation done
Siaya,3/+doses of SP/Fansidar,33.8,IPTp implementation done
Kisumu,1/+doses of SP/Fansidar,48.4,IPTp implementation done
Kisumu,2/+doses of SP/Fansidar,38.4,IPTp implementation done
Kisumu,3/+doses of SP/Fansidar,25.5,IPTp implementation done
Homa Bay,1/+doses of SP/Fansidar,61.7,IPTp implementation done
Homa Bay,2/+doses of SP/Fansidar,49.6,IPTp implementation done
Homa Bay,3/+doses of SP/Fansidar,34.2,IPTp implementation done
Migori,1/+doses of SP/Fansidar,68.2,IPTp implementation done
Migori,2/+doses of SP/Fansidar,49.7,IPTp implementation done
Migori,3/+doses of SP/Fansidar,25.4,IPTp implementation done
Garissa,1/+doses of SP/Fansidar,0.6,IPTp implementation not done
Garissa,2/+doses of SP/Fansidar,0.6,IPTp implementation not done
Garissa,3/+doses of SP/Fansidar,0.6,IPTp implementation not done
Wajir,1/+doses of SP/Fansidar,4.2,IPTp implementation not done
Wajir,2/+doses of SP/Fansidar,2.6,IPTp implementation not done
Wajir,3/+doses of SP/Fansidar,2.2,IPTp implementation not done
Mandera,1/+doses of SP/Fansidar,0,IPTp implementation not done
Mandera,2/+doses of SP/Fansidar,0,IPTp implementation not done
Mandera,3/+doses of SP/Fansidar,0,IPTp implementation not done
Marsabit,1/+doses of SP/Fansidar,3.1,IPTp implementation not done
Marsabit,2/+doses of SP/Fansidar,3.1,IPTp implementation not done
Marsabit,3/+doses of SP/Fansidar,3.1,IPTp implementation not done
Isiolo,1/+doses of SP/Fansidar,28,IPTp implementation not done
Isiolo,2/+doses of SP/Fansidar,22.1,IPTp implementation not done
Isiolo,3/+doses of SP/Fansidar,21.4,IPTp implementation not done
Meru,1/+doses of SP/Fansidar,7.3,IPTp implementation not done
Meru,2/+doses of SP/Fansidar,7.3,IPTp implementation not done
Meru,3/+doses of SP/Fansidar,6.5,IPTp implementation not done
Tharaka Nithi,1/+doses of SP/Fansidar,12.9,IPTp implementation not done
Tharaka Nithi,2/+doses of SP/Fansidar,3.8,IPTp implementation not done
Tharaka Nithi,3/+doses of SP/Fansidar,2.9,IPTp implementation not done
Embu,1/+doses of SP/Fansidar,25.6,IPTp implementation not done
Embu,2/+doses of SP/Fansidar,13.8,IPTp implementation not done
Embu,3/+doses of SP/Fansidar,4.3,IPTp implementation not done
Kitui,1/+doses of SP/Fansidar,8.6,IPTp implementation not done
Kitui,2/+doses of SP/Fansidar,6.9,IPTp implementation not done
Kitui,3/+doses of SP/Fansidar,4.9,IPTp implementation not done
Machakos,1/+doses of SP/Fansidar,8.8,IPTp implementation not done
Machakos,2/+doses of SP/Fansidar,2.6,IPTp implementation not done
Machakos,3/+doses of SP/Fansidar,2.6,IPTp implementation not done
Makueni,1/+doses of SP/Fansidar,15.6,IPTp implementation not done
Makueni,2/+doses of SP/Fansidar,5.7,IPTp implementation not done
Makueni,3/+doses of SP/Fansidar,0,IPTp implementation not done
Nyandarua,1/+doses of SP/Fansidar,7.4,IPTp implementation not done
Nyandarua,2/+doses of SP/Fansidar,2.8,IPTp implementation not done
Nyandarua,3/+doses of SP/Fansidar,2.3,IPTp implementation not done
Nyeri,1/+doses of SP/Fansidar,5.1,IPTp implementation not done
Nyeri,2/+doses of SP/Fansidar,0,IPTp implementation not done
Nyeri,3/+doses of SP/Fansidar,0,IPTp implementation not done
Kirinyaga,1/+doses of SP/Fansidar,25.7,IPTp implementation not done
Kirinyaga,2/+doses of SP/Fansidar,10.4,IPTp implementation not done
Kirinyaga,3/+doses of SP/Fansidar,2.1,IPTp implementation not done
Muranga,1/+doses of SP/Fansidar,5.6,IPTp implementation not done
Muranga,2/+doses of SP/Fansidar,1.8,IPTp implementation not done
Muranga,3/+doses of SP/Fansidar,0,IPTp implementation not done
Kiambu,1/+doses of SP/Fansidar,2,IPTp implementation not done
Kiambu,2/+doses of SP/Fansidar,1,IPTp implementation not done
Kiambu,3/+doses of SP/Fansidar,1,IPTp implementation not done
Turkana,1/+doses of SP/Fansidar,30.2,IPTp implementation not done
Turkana,2/+doses of SP/Fansidar,18.2,IPTp implementation not done
Turkana,3/+doses of SP/Fansidar,9.9,IPTp implementation not done
West Pokot,1/+doses of SP/Fansidar,0,IPTp implementation not done
West Pokot,2/+doses of SP/Fansidar,0,IPTp implementation not done
West Pokot,3/+doses of SP/Fansidar,0,IPTp implementation not done
Samburu,1/+doses of SP/Fansidar,4.1,IPTp implementation not done
Samburu,2/+doses of SP/Fansidar,2.3,IPTp implementation not done
Samburu,3/+doses of SP/Fansidar,0.8,IPTp implementation not done
Trans Nzoia,1/+doses of SP/Fansidar,32.3,IPTp implementation not done
Trans Nzoia,2/+doses of SP/Fansidar,20.7,IPTp implementation not done
Trans Nzoia,3/+doses of SP/Fansidar,11.9,IPTp implementation not done
Uasin Gishu,1/+doses of SP/Fansidar,15.1,IPTp implementation not done
Uasin Gishu,2/+doses of SP/Fansidar,8.9,IPTp implementation not done
