County,Category,Proportion,Participants
Mombasa,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",7.0,Women
Mombasa,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",24.0,Women
Mombasa,"With discriminatory attitudes
 towards people living with HIV",25.7,Women
Kwale,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",5.4,Women
Kwale,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",7.9,Women
Kwale,"With discriminatory attitudes
 towards people living with HIV",9.8,Women
Kilifi,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",13.7,Women
Kilifi,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",23.8,Women
Kilifi,"With discriminatory attitudes
 towards people living with HIV",26.1,Women
Tana River,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",46.1,Women
Tana River,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",63.0,Women
Tana River,"With discriminatory attitudes
 towards people living with HIV",65.9,Women
Lamu,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",18.7,Women
Lamu,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",35.6,Women
Lamu,"With discriminatory attitudes
 towards people living with HIV",39.5,Women
Taita Taveta,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",5.4,Women
Taita Taveta,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",22.6,Women
Taita Taveta,"With discriminatory attitudes
 towards people living with HIV",23.2,Women
Garissa,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",45.3,Women
Garissa,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",68.5,Women
Garissa,"With discriminatory attitudes
 towards people living with HIV",70.0,Women
Wajir,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",74.3,Women
Wajir,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",79.0,Women
Wajir,"With discriminatory attitudes
 towards people living with HIV",83.6,Women
Mandera,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",79.0,Women
Mandera,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",88.6,Women
Mandera,"With discriminatory attitudes
 towards people living with HIV",91.7,Women
Marsabit,"Don't think that children
 living with HIV should be
 able to attend school
 with HIV negative children",42.3,Women
Marsabit,"Wouldn't buy fresh
 vegetables from a
 shopkeeper who has HIV",49.0,Women
Marsabit,"With discriminatory attitudes
 towards people living with HIV",54.4,Women
