County,Category,Proportion,Characteristics,proportion_groups
Mombasa,1/+doses of SP/Fansidar,80.1,IPTp implementation done,>40
Mombasa,2/+doses of SP/Fansidar,51.2,IPTp implementation done,>40
Mombasa,3/+doses of SP/Fansidar,31.2,IPTp implementation done,>15-40
Kwale,1/+doses of SP/Fansidar,75.3,IPTp implementation done,>40
Kwale,2/+doses of SP/Fansidar,48.1,IPTp implementation done,>40
Kwale,3/+doses of SP/Fansidar,27.7,IPTp implementation done,>15-40
Kilifi,1/+doses of SP/Fansidar,74.7,IPTp implementation done,>40
Kilifi,2/+doses of SP/Fansidar,49.2,IPTp implementation done,>40
Kilifi,3/+doses of SP/Fansidar,27.6,IPTp implementation done,>15-40
Tana River,1/+doses of SP/Fansidar,40.3,IPTp implementation done,>40
Tana River,2/+doses of SP/Fansidar,24.3,IPTp implementation done,>15-40
Tana River,3/+doses of SP/Fansidar,5.8,IPTp implementation done,>2-6
Lamu,1/+doses of SP/Fansidar,81,IPTp implementation done,>40
Lamu,2/+doses of SP/Fansidar,67.2,IPTp implementation done,>40
Lamu,3/+doses of SP/Fansidar,42.2,IPTp implementation done,>40
Taita Taveta,1/+doses of SP/Fansidar,61.7,IPTp implementation done,>40
Taita Taveta,2/+doses of SP/Fansidar,43.1,IPTp implementation done,>40
Taita Taveta,3/+doses of SP/Fansidar,22.7,IPTp implementation done,>15-40
Kakamega,1/+doses of SP/Fansidar,74.4,IPTp implementation done,>40
Kakamega,2/+doses of SP/Fansidar,62.2,IPTp implementation done,>40
Kakamega,3/+doses of SP/Fansidar,45.7,IPTp implementation done,>40
Vihiga,1/+doses of SP/Fansidar,88.3,IPTp implementation done,>40
Vihiga,2/+doses of SP/Fansidar,77,IPTp implementation done,>40
Vihiga,3/+doses of SP/Fansidar,59.1,IPTp implementation done,>40
Bungoma,1/+doses of SP/Fansidar,75.3,IPTp implementation done,>40
Bungoma,2/+doses of SP/Fansidar,58.2,IPTp implementation done,>40
Bungoma,3/+doses of SP/Fansidar,40.6,IPTp implementation done,>40
Busia,1/+doses of SP/Fansidar,73.5,IPTp implementation done,>40
Busia,2/+doses of SP/Fansidar,54.2,IPTp implementation done,>40
Busia,3/+doses of SP/Fansidar,34.7,IPTp implementation done,>15-40
Siaya,1/+doses of SP/Fansidar,68.7,IPTp implementation done,>40
Siaya,2/+doses of SP/Fansidar,56.8,IPTp implementation done,>40
Siaya,3/+doses of SP/Fansidar,33.8,IPTp implementation done,>15-40
Kisumu,1/+doses of SP/Fansidar,48.4,IPTp implementation done,>40
Kisumu,2/+doses of SP/Fansidar,38.4,IPTp implementation done,>15-40
Kisumu,3/+doses of SP/Fansidar,25.5,IPTp implementation done,>15-40
Homa Bay,1/+doses of SP/Fansidar,61.7,IPTp implementation done,>40
Homa Bay,2/+doses of SP/Fansidar,49.6,IPTp implementation done,>40
Homa Bay,3/+doses of SP/Fansidar,34.2,IPTp implementation done,>15-40
Migori,1/+doses of SP/Fansidar,68.2,IPTp implementation done,>40
Migori,2/+doses of SP/Fansidar,49.7,IPTp implementation done,>40
Migori,3/+doses of SP/Fansidar,25.4,IPTp implementation done,>15-40
Garissa,1/+doses of SP/Fansidar,0.6,IPTp implementation not done,≤ 2
