County,Category,Proportion,Participants,Names,proportion_groups
Mombasa,Diagnosed with Depression,5.3,Women,"Mombasa, 5.3%",>5
Mombasa,Receiving treatment,NA,Women,"Mombasa, NA%",NA
Kwale,Diagnosed with Depression,1.2,Women,"Kwale, 1.2%",>1-2
Kwale,Receiving treatment,NA,Women,"Kwale, NA%",NA
Kilifi,Diagnosed with Depression,1.7,Women,"Kilifi, 1.7%",>1-2
Kilifi,Receiving treatment,NA,Women,"Kilifi, NA%",NA
Tana River,Diagnosed with Depression,0.7,Women,"Tana River, 0.7%",≤ 1
Tana River,Receiving treatment,NA,Women,"Tana River, NA%",NA
Lamu,Diagnosed with Depression,5.9,Women,"Lamu, 5.9%",>5
Lamu,Receiving treatment,NA,Women,"Lamu, NA%",NA
Taita Taveta,Diagnosed with Depression,3.3,Women,"Taita Taveta, 3.3%",>3-5
Taita Taveta,Receiving treatment,NA,Women,"Taita Taveta, NA%",NA
Garissa,Diagnosed with Depression,7.1,Women,"Garissa, 7.1%",>5
Garissa,Receiving treatment,NA,Women,"Garissa, NA%",NA
Wajir,Diagnosed with Depression,0.8,Women,"Wajir, 0.8%",≤ 1
Wajir,Receiving treatment,NA,Women,"Wajir, NA%",NA
Mandera,Diagnosed with Depression,0.6,Women,"Mandera, 0.6%",≤ 1
Mandera,Receiving treatment,NA,Women,"Mandera, NA%",NA
Marsabit,Diagnosed with Depression,1.4,Women,"Marsabit, 1.4%",>1-2
Marsabit,Receiving treatment,NA,Women,"Marsabit, NA%",NA
Isiolo,Diagnosed with Depression,3.9,Women,"Isiolo, 3.9%",>3-5
Isiolo,Receiving treatment,NA,Women,"Isiolo, NA%",NA
Meru,Diagnosed with Depression,10,Women,"Meru, 10%",>5
Meru,Receiving treatment,10,Women,"Meru, 10%",>5
Tharaka Nithi,Diagnosed with Depression,3.1,Women,"Tharaka Nithi, 3.1%",>3-5
Tharaka Nithi,Receiving treatment,NA,Women,"Tharaka Nithi, NA%",NA
Embu,Diagnosed with Depression,2,Women,"Embu, 2%",>1-2
Embu,Receiving treatment,NA,Women,"Embu, NA%",NA
Kitui,Diagnosed with Depression,1.4,Women,"Kitui, 1.4%",>1-2
Kitui,Receiving treatment,NA,Women,"Kitui, NA%",NA
Machakos,Diagnosed with Depression,3.3,Women,"Machakos, 3.3%",>3-5
Machakos,Receiving treatment,NA,Women,"Machakos, NA%",NA
Makueni,Diagnosed with Depression,0.4,Women,"Makueni, 0.4%",≤ 1
Makueni,Receiving treatment,NA,Women,"Makueni, NA%",NA
Nyandarua,Diagnosed with Depression,2.9,Women,"Nyandarua, 2.9%",>2-3
Nyandarua,Receiving treatment,NA,Women,"Nyandarua, NA%",NA
Nyeri,Diagnosed with Depression,5.6,Women,"Nyeri, 5.6%",>5
Nyeri,Receiving treatment,NA,Women,"Nyeri, NA%",NA
Kirinyaga,Diagnosed with Depression,2.7,Women,"Kirinyaga, 2.7%",>2-3
Kirinyaga,Receiving treatment,NA,Women,"Kirinyaga, NA%",NA
Muranga,Diagnosed with Depression,5.9,Women,"Muranga, 5.9%",>5
Muranga,Receiving treatment,NA,Women,"Muranga, NA%",NA
Kiambu,Diagnosed with Depression,4.2,Women,"Kiambu, 4.2%",>3-5
Kiambu,Receiving treatment,NA,Women,"Kiambu, NA%",NA
