County,Category,Proportion
Mombasa,Total thin,4.3
Mombasa,Total normal,48.8
Mombasa,Over-weight,23.6
Mombasa,Obese,23.3
Kwale,Total thin,10.2
Kwale,Total normal,51.2
Kwale,Over-weight,23.3
Kwale,Obese,15.4
Kilifi,Total thin,5.7
Kilifi,Total normal,56.0
Kilifi,Over-weight,28.3
Kilifi,Obese,10.0
Tana River,Total thin,24.8
Tana River,Total normal,53.4
Tana River,Over-weight,15.7
Tana River,Obese,6.2
Lamu,Total thin,12.4
Lamu,Total normal,38.4
Lamu,Over-weight,23.3
Lamu,Obese,26.0
Taita Taveta,Total thin,5.0
Taita Taveta,Total normal,49.2
Taita Taveta,Over-weight,27.5
Taita Taveta,Obese,18.3
Garissa,Total thin,14.8
Garissa,Total normal,42.3
Garissa,Over-weight,28.4
Garissa,Obese,14.5
Wajir,Total thin,22.6
Wajir,Total normal,44.6
Wajir,Over-weight,19.6
Wajir,Obese,13.2
Mandera,Total thin,18.0
Mandera,Total normal,57.8
Mandera,Over-weight,20.4
Mandera,Obese,3.8
Marsabit,Total thin,36.5
Marsabit,Total normal,47.2
Marsabit,Over-weight,12.3
Marsabit,Obese,3.9
Isiolo,Total thin,21.7
Isiolo,Total normal,44.3
Isiolo,Over-weight,22.5
Isiolo,Obese,11.5
Meru,Total thin,10.5
Meru,Total normal,52.5
Meru,Over-weight,22.3
Meru,Obese,14.7
Tharaka-Nithi,Total thin,7.3
Tharaka-Nithi,Total normal,50.3
Tharaka-Nithi,Over-weight,28.3
Tharaka-Nithi,Obese,14.0
Embu,Total thin,6.1
Embu,Total normal,38.8
Embu,Over-weight,36.0
Embu,Obese,19.2
Kitui,Total thin,8.7
Kitui,Total normal,62.3
Kitui,Over-weight,20.2
Kitui,Obese,8.7
Machakos,Total thin,7.7
Machakos,Total normal,43.0
Machakos,Over-weight,31.4
Machakos,Obese,17.9
Makueni,Total thin,6.3
Makueni,Total normal,49.2
Makueni,Over-weight,30.3
Makueni,Obese,14.2
Nyandarua,Total thin,2.8
Nyandarua,Total normal,41.4
Nyandarua,Over-weight,32.6
Nyandarua,Obese,23.2
Nyeri,Total thin,1.8
Nyeri,Total normal,35.2
Nyeri,Over-weight,34.9
Nyeri,Obese,28.1
Kirinyaga,Total thin,3.2
Kirinyaga,Total normal,32.2
Kirinyaga,Over-weight,35.3
Kirinyaga,Obese,29.3
Murang'a,Total thin,4.2
Murang'a,Total normal,37.2
Murang'a,Over-weight,31.7
