County,Category,Proportion,Participants,Names
Mombasa,Diagnosed with Arthritis,2.5,Women,"Mombasa, 2.5%"
Mombasa,Receiving treatment,NA,Women,"Mombasa, NA%"
Kwale,Diagnosed with Arthritis,0,Women,"Kwale, 0%"
Kwale,Receiving treatment,NA,Women,"Kwale, NA%"
Kilifi,Diagnosed with Arthritis,0,Women,"Kilifi, 0%"
Kilifi,Receiving treatment,NA,Women,"Kilifi, NA%"
Tana River,Diagnosed with Arthritis,0.5,Women,"Tana River, 0.5%"
Tana River,Receiving treatment,NA,Women,"Tana River, NA%"
Lamu,Diagnosed with Arthritis,0.7,Women,"Lamu, 0.7%"
Lamu,Receiving treatment,NA,Women,"Lamu, NA%"
Taita Taveta,Diagnosed with Arthritis,0.8,Women,"Taita Taveta, 0.8%"
Taita Taveta,Receiving treatment,NA,Women,"Taita Taveta, NA%"
Garissa,Diagnosed with Arthritis,1.9,Women,"Garissa, 1.9%"
Garissa,Receiving treatment,NA,Women,"Garissa, NA%"
Wajir,Diagnosed with Arthritis,1.2,Women,"Wajir, 1.2%"
Wajir,Receiving treatment,NA,Women,"Wajir, NA%"
Mandera,Diagnosed with Arthritis,1.6,Women,"Mandera, 1.6%"
Mandera,Receiving treatment,NA,Women,"Mandera, NA%"
Marsabit,Diagnosed with Arthritis,0.5,Women,"Marsabit, 0.5%"
Marsabit,Receiving treatment,NA,Women,"Marsabit, NA%"
Isiolo,Diagnosed with Arthritis,2.3,Women,"Isiolo, 2.3%"
Isiolo,Receiving treatment,NA,Women,"Isiolo, NA%"
Meru,Diagnosed with Arthritis,10.4,Women,"Meru, 10.4%"
Meru,Receiving treatment,37.9,Women,"Meru, 37.9%"
Tharaka Nithi,Diagnosed with Arthritis,11.1,Women,"Tharaka Nithi, 11.1%"
Tharaka Nithi,Receiving treatment,45,Women,"Tharaka Nithi, 45%"
Embu,Diagnosed with Arthritis,4.4,Women,"Embu, 4.4%"
Embu,Receiving treatment,NA,Women,"Embu, NA%"
Kitui,Diagnosed with Arthritis,0.4,Women,"Kitui, 0.4%"
Kitui,Receiving treatment,NA,Women,"Kitui, NA%"
Machakos,Diagnosed with Arthritis,0.4,Women,"Machakos, 0.4%"
