County,Category,Proportion,Names,proportion_groups
Mombasa,"Aware of self examination
 for breast cancer",49.1,"Mombasa, 49.1%",>34
Mombasa,"Examined
 for breast cancer",15.5,"Mombasa, 15.5%",>4-18
Mombasa,"Diagnosed with
 breast cancer",0.5,"Mombasa, 0.5%",≤ 1
Kwale,"Aware of self examination
 for breast cancer",24.5,"Kwale, 24.5%",>18-34
Kwale,"Examined
 for breast cancer",2,"Kwale, 2%",>1-4
Kwale,"Diagnosed with
 breast cancer",0.6,"Kwale, 0.6%",≤ 1
Kilifi,"Aware of self examination
 for breast cancer",25.4,"Kilifi, 25.4%",>18-34
Kilifi,"Examined
 for breast cancer",9.3,"Kilifi, 9.3%",>4-18
Kilifi,"Diagnosed with
 breast cancer",0.4,"Kilifi, 0.4%",≤ 1
Tana River,"Aware of self examination
 for breast cancer",18.1,"Tana River, 18.1%",>18-34
Tana River,"Examined
 for breast cancer",2,"Tana River, 2%",>1-4
Tana River,"Diagnosed with
 breast cancer",0,"Tana River, 0%",≤ 1
Lamu,"Aware of self examination
 for breast cancer",28.2,"Lamu, 28.2%",>18-34
Lamu,"Examined
 for breast cancer",11.2,"Lamu, 11.2%",>4-18
Lamu,"Diagnosed with
 breast cancer",0,"Lamu, 0%",≤ 1
Taita Taveta,"Aware of self examination
 for breast cancer",29.7,"Taita Taveta, 29.7%",>18-34
Taita Taveta,"Examined
 for breast cancer",6.1,"Taita Taveta, 6.1%",>4-18
Taita Taveta,"Diagnosed with
 breast cancer",0,"Taita Taveta, 0%",≤ 1
Garissa,"Aware of self examination
 for breast cancer",9.6,"Garissa, 9.6%",>4-18
Garissa,"Examined
 for breast cancer",1.5,"Garissa, 1.5%",>1-4
Garissa,"Diagnosed with
 breast cancer",0,"Garissa, 0%",≤ 1
Wajir,"Aware of self examination
 for breast cancer",41.1,"Wajir, 41.1%",>34
Wajir,"Examined
 for breast cancer",2,"Wajir, 2%",>1-4
Wajir,"Diagnosed with
 breast cancer",0,"Wajir, 0%",≤ 1
Mandera,"Aware of self examination
 for breast cancer",0.7,"Mandera, 0.7%",≤ 1
Mandera,"Examined
 for breast cancer",0.3,"Mandera, 0.3%",≤ 1
Mandera,"Diagnosed with
 breast cancer",0,"Mandera, 0%",≤ 1
Marsabit,"Aware of self examination
 for breast cancer",4.9,"Marsabit, 4.9%",>4-18
Marsabit,"Examined
 for breast cancer",1.1,"Marsabit, 1.1%",>1-4
Marsabit,"Diagnosed with
 breast cancer",0.2,"Marsabit, 0.2%",≤ 1
Isiolo,"Aware of self examination
 for breast cancer",48.9,"Isiolo, 48.9%",>34
Isiolo,"Examined
 for breast cancer",6.1,"Isiolo, 6.1%",>4-18
Isiolo,"Diagnosed with
 breast cancer",0,"Isiolo, 0%",≤ 1
Meru,"Aware of self examination
 for breast cancer",63.2,"Meru, 63.2%",>34
Meru,"Examined
 for breast cancer",19.9,"Meru, 19.9%",>18-34
Meru,"Diagnosed with
 breast cancer",0,"Meru, 0%",≤ 1
Tharaka Nithi,"Aware of self examination
 for breast cancer",44.5,"Tharaka Nithi, 44.5%",>34
Tharaka Nithi,"Examined
 for breast cancer",18.9,"Tharaka Nithi, 18.9%",>18-34
Tharaka Nithi,"Diagnosed with
 breast cancer",0,"Tharaka Nithi, 0%",≤ 1
Embu,"Aware of self examination
 for breast cancer",62.3,"Embu, 62.3%",>34
Embu,"Examined
 for breast cancer",18,"Embu, 18%",>4-18
Embu,"Diagnosed with
 breast cancer",0,"Embu, 0%",≤ 1
Kitui,"Aware of self examination
 for breast cancer",26.4,"Kitui, 26.4%",>18-34
Kitui,"Examined
 for breast cancer",6.3,"Kitui, 6.3%",>4-18
Kitui,"Diagnosed with
 breast cancer",0,"Kitui, 0%",≤ 1
Machakos,"Aware of self examination
 for breast cancer",49,"Machakos, 49%",>34
Machakos,"Examined
 for breast cancer",12.1,"Machakos, 12.1%",>4-18
Machakos,"Diagnosed with
 breast cancer",0,"Machakos, 0%",≤ 1
Makueni,"Aware of self examination
 for breast cancer",34.8,"Makueni, 34.8%",>34
Makueni,"Examined
 for breast cancer",4,"Makueni, 4%",>1-4
Makueni,"Diagnosed with
 breast cancer",0,"Makueni, 0%",≤ 1
Nyandarua,"Aware of self examination
 for breast cancer",49.4,"Nyandarua, 49.4%",>34
Nyandarua,"Examined
 for breast cancer",18.5,"Nyandarua, 18.5%",>18-34
Nyandarua,"Diagnosed with
 breast cancer",0.1,"Nyandarua, 0.1%",≤ 1
Nyeri,"Aware of self examination
 for breast cancer",68.5,"Nyeri, 68.5%",>34
Nyeri,"Examined
 for breast cancer",24.6,"Nyeri, 24.6%",>18-34
