"","Value","Category","Proportion","Participants","Background characteristics"
"1","15-19","Legislators, Administrators & Managers",6,"Women","Age"
"2","15-19","Professionals",3,"Women","Age"
"3","15-19","Technicians & Associate Professionals",1,"Women","Age"
"4","15-19","Secretarial & Clerical Services",1,"Women","Age"
"5","15-19","Service Workers",17,"Women","Age"
"6","15-19","Skilled Farm & Wildlife Related Workers",36,"Women","Age"
"7","15-19","Craft & Related Trades Workers",1,"Women","Age"
"8","15-19","Plant & Machine Operators",0.4,"Women","Age"
"9","15-19","Elementary Occupations",33,"Women","Age"
"10","20-24","Legislators, Administrators & Managers",9,"Women","Age"
"11","20-24","Professionals",5,"Women","Age"
"12","20-24","Technicians & Associate Professionals",6,"Women","Age"
"13","20-24","Secretarial & Clerical Services",4,"Women","Age"
"14","20-24","Service Workers",26,"Women","Age"
"15","20-24","Skilled Farm & Wildlife Related Workers",15,"Women","Age"
"16","20-24","Craft & Related Trades Workers",1,"Women","Age"
"17","20-24","Plant & Machine Operators",1,"Women","Age"
"18","20-24","Elementary Occupations",28,"Women","Age"
"19","25-29","Legislators, Administrators & Managers",11,"Women","Age"
"20","25-29","Professionals",6,"Women","Age"
"21","25-29","Technicians & Associate Professionals",12,"Women","Age"
"22","25-29","Secretarial & Clerical Services",2,"Women","Age"
"23","25-29","Service Workers",24,"Women","Age"
"24","25-29","Skilled Farm & Wildlife Related Workers",16,"Women","Age"
"25","25-29","Craft & Related Trades Workers",1,"Women","Age"
"26","25-29","Plant & Machine Operators",1,"Women","Age"
"27","25-29","Elementary Occupations",24,"Women","Age"
"28","30-34","Legislators, Administrators & Managers",13,"Women","Age"
"29","30-34","Professionals",6,"Women","Age"
"30","30-34","Technicians & Associate Professionals",9,"Women","Age"
"31","30-34","Secretarial & Clerical Services",2,"Women","Age"
"32","30-34","Service Workers",22,"Women","Age"
"33","30-34","Skilled Farm & Wildlife Related Workers",21,"Women","Age"
"34","30-34","Craft & Related Trades Workers",1,"Women","Age"
"35","30-34","Plant & Machine Operators",1,"Women","Age"
"36","30-34","Elementary Occupations",24,"Women","Age"
"37","35-39","Legislators, Administrators & Managers",10,"Women","Age"
"38","35-39","Professionals",7,"Women","Age"
"39","35-39","Technicians & Associate Professionals",8,"Women","Age"
"40","35-39","Secretarial & Clerical Services",2,"Women","Age"
"41","35-39","Service Workers",22,"Women","Age"
