"","County","Category","Proportion","Participants","Names","cat"
"1","Mombasa","Legislators, Administrators & Managers",15.3,"Women","Mombasa, 15.3%","9.5-18.4"
"2","Mombasa","Professionals",10.7,"Women","Mombasa, 10.7%","9.5-18.4"
"3","Mombasa","Technicians & Associate Professionals",9,"Women","Mombasa, 9%","5.5-9.4"
"4","Mombasa","Secretarial & Clerical Services",2.3,"Women","Mombasa, 2.3%","1.9-5.4"
"5","Mombasa","Service Workers",29.2,"Women","Mombasa, 29.2%",">18.4"
"6","Mombasa","Skilled Farm & Wildlife Related Workers",1,"Women","Mombasa, 1%","<1.9"
"7","Mombasa","Craft & Related Trades Workers",0.2,"Women","Mombasa, 0.2%","<1.9"
"8","Mombasa","Plant & Machine Operators",1.4,"Women","Mombasa, 1.4%","<1.9"
"9","Mombasa","Elementary Occupations",28.7,"Women","Mombasa, 28.7%",">18.4"
"10","Kwale","Legislators, Administrators & Managers",20.5,"Women","Kwale, 20.5%",">18.4"
"11","Kwale","Professionals",9.2,"Women","Kwale, 9.2%","5.5-9.4"
"12","Kwale","Technicians & Associate Professionals",7.8,"Women","Kwale, 7.8%","5.5-9.4"
"13","Kwale","Secretarial & Clerical Services",3.3,"Women","Kwale, 3.3%","1.9-5.4"
"14","Kwale","Service Workers",30.7,"Women","Kwale, 30.7%",">18.4"
"15","Kwale","Skilled Farm & Wildlife Related Workers",2.9,"Women","Kwale, 2.9%","1.9-5.4"
"16","Kwale","Craft & Related Trades Workers",0.7,"Women","Kwale, 0.7%","<1.9"
"17","Kwale","Plant & Machine Operators",0,"Women","Kwale, 0%","<1.9"
"18","Kwale","Elementary Occupations",19.7,"Women","Kwale, 19.7%",">18.4"
"19","Kilifi","Legislators, Administrators & Managers",14.2,"Women","Kilifi, 14.2%","9.5-18.4"
"20","Kilifi","Professionals",7,"Women","Kilifi, 7%","5.5-9.4"
"21","Kilifi","Technicians & Associate Professionals",5.9,"Women","Kilifi, 5.9%","5.5-9.4"
"22","Kilifi","Secretarial & Clerical Services",3.7,"Women","Kilifi, 3.7%","1.9-5.4"
"23","Kilifi","Service Workers",21.8,"Women","Kilifi, 21.8%",">18.4"
"24","Kilifi","Skilled Farm & Wildlife Related Workers",7.2,"Women","Kilifi, 7.2%","5.5-9.4"
"25","Kilifi","Craft & Related Trades Workers",1,"Women","Kilifi, 1%","<1.9"
"26","Kilifi","Plant & Machine Operators",0.4,"Women","Kilifi, 0.4%","<1.9"
"27","Kilifi","Elementary Occupations",33.7,"Women","Kilifi, 33.7%",">18.4"
"28","Tana River","Legislators, Administrators & Managers",11.2,"Women","Tana River, 11.2%","9.5-18.4"
"29","Tana River","Professionals",6.3,"Women","Tana River, 6.3%","5.5-9.4"
"30","Tana River","Technicians & Associate Professionals",4.9,"Women","Tana River, 4.9%","1.9-5.4"
"31","Tana River","Secretarial & Clerical Services",2.2,"Women","Tana River, 2.2%","1.9-5.4"
"32","Tana River","Service Workers",12.6,"Women","Tana River, 12.6%","9.5-18.4"
"33","Tana River","Skilled Farm & Wildlife Related Workers",23.2,"Women","Tana River, 23.2%",">18.4"
"34","Tana River","Craft & Related Trades Workers",1.2,"Women","Tana River, 1.2%","<1.9"
"35","Tana River","Plant & Machine Operators",0,"Women","Tana River, 0%","<1.9"
"36","Tana River","Elementary Occupations",38.5,"Women","Tana River, 38.5%",">18.4"
"37","Lamu","Legislators, Administrators & Managers",8.1,"Women","Lamu, 8.1%","5.5-9.4"
"38","Lamu","Professionals",11.8,"Women","Lamu, 11.8%","9.5-18.4"
"39","Lamu","Technicians & Associate Professionals",6.3,"Women","Lamu, 6.3%","5.5-9.4"
"40","Lamu","Secretarial & Clerical Services",1.6,"Women","Lamu, 1.6%","<1.9"
"41","Lamu","Service Workers",17.7,"Women","Lamu, 17.7%","9.5-18.4"
"42","Lamu","Skilled Farm & Wildlife Related Workers",26.4,"Women","Lamu, 26.4%",">18.4"
"43","Lamu","Craft & Related Trades Workers",2.9,"Women","Lamu, 2.9%","1.9-5.4"
"44","Lamu","Plant & Machine Operators",0.6,"Women","Lamu, 0.6%","<1.9"
"45","Lamu","Elementary Occupations",23.3,"Women","Lamu, 23.3%",">18.4"
"46","Taita Taveta","Legislators, Administrators & Managers",10,"Women","Taita Taveta, 10%","9.5-18.4"
"47","Taita Taveta","Professionals",6,"Women","Taita Taveta, 6%","5.5-9.4"
"48","Taita Taveta","Technicians & Associate Professionals",10.5,"Women","Taita Taveta, 10.5%","9.5-18.4"
"49","Taita Taveta","Secretarial & Clerical Services",3.8,"Women","Taita Taveta, 3.8%","1.9-5.4"
"50","Taita Taveta","Service Workers",19.5,"Women","Taita Taveta, 19.5%",">18.4"
"51","Taita Taveta","Skilled Farm & Wildlife Related Workers",16.5,"Women","Taita Taveta, 16.5%","9.5-18.4"
"52","Taita Taveta","Craft & Related Trades Workers",2.1,"Women","Taita Taveta, 2.1%","1.9-5.4"
