Name,BCG,DPT1,DPT2,DPT3,OPV,OPV1,OPV2,OPV3,FULL_VACCINATION,year
Mombasa,98.6,100,99.1,97.4,94.5,100,99.1,85.9,70.4,2022
Kwale,96.1,96.7,94,82.5,85.9,96.7,96.7,77.4,50.1,2022
Kilifi,100,100,98.2,93.7,92.9,99.3,97.5,78.6,62.5,2022
Tana River,94.6,93.5,88.7,80.8,80.1,93.4,85.8,68.5,39.2,2022
Lamu,98.6,100,97.2,85.1,93.7,99,98.2,76.5,54.2,2022
Taita Taveta,98.4,98.4,95.5,85.8,94.9,97.4,95.4,81.3,65.4,2022
Garissa,63.2,63.3,40.8,36.4,51.5,63,56,35.2,16.9,2022
Wajir,94.7,94.6,83.3,66.5,47.9,93.7,81.1,58,19.2,2022
Mandera,63.2,63.8,52.2,43.8,35.1,62,59.2,38.9,5.6,2022
Marsabit,94.8,93.2,89.7,84.7,75.9,92.1,86.3,52.9,19.3,2022
Isiolo,97.1,96.8,94.2,88.7,84.3,86.7,81.4,59.4,37.1,2022
Meru,100,98.3,96.3,92.3,90.8,96.9,89.5,79.1,57.9,2022
Tharaka Nithi,100,100,98,96.3,95.6,100,98,91.9,82.1,2022
Embu,100,100,100,97.2,100,100,98.1,88.9,75.6,2022
Kitui,86.6,91,86.7,83.9,73.5,90.8,90.8,78.7,49.4,2022
Machakos,95.2,97.6,93.8,92.3,90.9,97.6,97.6,91.3,70.8,2022
Makueni,97.8,97.8,89.6,85.5,95.5,97.8,96.2,84.9,65.5,2022
Nyandarua,100,100,100,98,98.4,99.2,95.7,83.1,70.6,2022
Nyeri,91.5,94.7,92.9,85.9,88.4,92.9,92.9,82,56.6,2022
Kirinyaga,98.1,100,98.2,92.1,95.1,100,98,81.8,70.9,2022
Muranga,96.7,96.7,96.7,96.7,96.7,96.7,96.7,74.7,66.2,2022
Kiambu,100,100,100,91.8,95.4,98.2,95.3,80.4,65.5,2022
Turkana,96.7,96.6,91.7,84.1,56.7,95.7,90.3,73.3,29.3,2022
West Pokot,97.3,98.1,85.5,73.9,45.2,96.7,89.7,51.6,10.7,2022
Samburu,93.1,90.8,89,87.2,59.3,91.2,85,69.5,27.8,2022
Trans Nzoia,98,100,98,87.4,87.5,98.2,96.5,91.1,70.6,2022
Uasin Gishu,98.6,98.6,95.4,94.6,90.2,98.6,94.6,78,49.3,2022
Elgeyo Marakwet,97.6,94.9,88.8,83.4,79,98.2,91.9,74.3,43.2,2022
Nandi,100,100,96.4,95.8,100,100,99.5,87.9,65,2022
Baringo,98.3,98,98,96.2,76.6,98,98,82.8,43.3,2022
