County,Gender,variable,value,Year
Mombasa,Female,Higher than secondary schooling,48.5,2014
Kwale,Female,Higher than secondary schooling,19.8,2014
Kilifi,Female,Higher than secondary schooling,26.3,2014
Tana River,Female,Higher than secondary schooling,11.5,2014
Lamu,Female,Higher than secondary schooling,22.9,2014
Taita Taveta,Female,Higher than secondary schooling,40.6,2014
Garissa,Female,Higher than secondary schooling,12,2014
Wajir,Female,Higher than secondary schooling,8.5,2014
Mandera,Female,Higher than secondary schooling,10,2014
Marsabit,Female,Higher than secondary schooling,11.8,2014
Isiolo,Female,Higher than secondary schooling,19.7,2014
Meru,Female,Higher than secondary schooling,31.1,2014
Tharaka Nithi,Female,Higher than secondary schooling,33.7,2014
Embu,Female,Higher than secondary schooling,40.9,2014
Kitui,Female,Higher than secondary schooling,26.2,2014
Machakos,Female,Higher than secondary schooling,47,2014
Makueni,Female,Higher than secondary schooling,42.9,2014
Nyandarua,Female,Higher than secondary schooling,43,2014
Nyeri,Female,Higher than secondary schooling,59.7,2014
Kirinyaga,Female,Higher than secondary schooling,41.5,2014
Muranga,Female,Higher than secondary schooling,49.1,2014
Kiambu,Female,Higher than secondary schooling,61.7,2014
Turkana,Female,Higher than secondary schooling,8.6,2014
West Pokot,Female,Higher than secondary schooling,13.3,2014
Samburu,Female,Higher than secondary schooling,16,2014
Trans Nzoia,Female,Higher than secondary schooling,35.2,2014
Uasin Gishu,Female,Higher than secondary schooling,51.5,2014
Elgeyo Marakwet,Female,Higher than secondary schooling,42.5,2014
Nandi,Female,Higher than secondary schooling,37.5,2014
Baringo,Female,Higher than secondary schooling,36.1,2014
Laikipia,Female,Higher than secondary schooling,42,2014
Nakuru,Female,Higher than secondary schooling,53.4,2014
Narok,Female,Higher than secondary schooling,29,2014
Kajiado,Female,Higher than secondary schooling,51.3,2014
Kericho,Female,Higher than secondary schooling,42.7,2014
Bomet,Female,Higher than secondary schooling,34,2014
Kakamega,Female,Higher than secondary schooling,38.8,2014
Vihiga,Female,Higher than secondary schooling,43,2014
Bungoma,Female,Higher than secondary schooling,38.1,2014
Busia,Female,Higher than secondary schooling,25.6,2014
Siaya,Female,Higher than secondary schooling,33.7,2014
Kisumu,Female,Higher than secondary schooling,50.3,2014
Homa Bay,Female,Higher than secondary schooling,31.1,2014
Migori,Female,Higher than secondary schooling,23.5,2014
Kisii,Female,Higher than secondary schooling,48.3,2014
Nyamira,Female,Higher than secondary schooling,55.8,2014
Nairobi,Female,Higher than secondary schooling,66.1,2014
Mombasa,Male,Higher than secondary schooling,56.1,2014
Kwale,Male,Higher than secondary schooling,33.9,2014
Kilifi,Male,Higher than secondary schooling,38.1,2014
Tana River,Male,Higher than secondary schooling,23.3,2014
Lamu,Male,Higher than secondary schooling,34.5,2014
Taita Taveta,Male,Higher than secondary schooling,45.3,2014
Garissa,Male,Higher than secondary schooling,32.9,2014
Wajir,Male,Higher than secondary schooling,28.1,2014
Mandera,Male,Higher than secondary schooling,21.6,2014
Marsabit,Male,Higher than secondary schooling,35.7,2014
Isiolo,Male,Higher than secondary schooling,37.9,2014
Meru,Male,Higher than secondary schooling,34.3,2014
Tharaka Nithi,Male,Higher than secondary schooling,41.1,2014
Embu,Male,Higher than secondary schooling,38,2014
Kitui,Male,Higher than secondary schooling,29.1,2014
Machakos,Male,Higher than secondary schooling,46.8,2014
Makueni,Male,Higher than secondary schooling,46.8,2014
Nyandarua,Male,Higher than secondary schooling,50.1,2014
Nyeri,Male,Higher than secondary schooling,60.5,2014
Kirinyaga,Male,Higher than secondary schooling,42.9,2014
Muranga,Male,Higher than secondary schooling,49.1,2014
Kiambu,Male,Higher than secondary schooling,68.5,2014
Turkana,Male,Higher than secondary schooling,21.8,2014
West Pokot,Male,Higher than secondary schooling,15.6,2014
Samburu,Male,Higher than secondary schooling,35.5,2014
Trans Nzoia,Male,Higher than secondary schooling,38.8,2014
Uasin Gishu,Male,Higher than secondary schooling,53.3,2014
Elgeyo Marakwet,Male,Higher than secondary schooling,48.7,2014
Nandi,Male,Higher than secondary schooling,40.1,2014
Baringo,Male,Higher than secondary schooling,44.1,2014
Laikipia,Male,Higher than secondary schooling,56.8,2014
Nakuru,Male,Higher than secondary schooling,55.6,2014
Narok,Male,Higher than secondary schooling,32.7,2014
Kajiado,Male,Higher than secondary schooling,62.1,2014
Kericho,Male,Higher than secondary schooling,44.9,2014
Bomet,Male,Higher than secondary schooling,39.7,2014
Kakamega,Male,Higher than secondary schooling,41.4,2014
Vihiga,Male,Higher than secondary schooling,39,2014
Bungoma,Male,Higher than secondary schooling,37.5,2014
Busia,Male,Higher than secondary schooling,36.3,2014
Siaya,Male,Higher than secondary schooling,42.3,2014
Kisumu,Male,Higher than secondary schooling,55.8,2014
Homa Bay,Male,Higher than secondary schooling,37.9,2014
Migori,Male,Higher than secondary schooling,32.5,2014
Kisii,Male,Higher than secondary schooling,58.7,2014
Nyamira,Male,Higher than secondary schooling,64.7,2014
Nairobi,Male,Higher than secondary schooling,72.9,2014
Mombasa,Female,Can read a whole sentence,39.2,2014
Kwale,Female,Can read a whole sentence,45.3,2014
Kilifi,Female,Can read a whole sentence,43.4,2014
Tana River,Female,Can read a whole sentence,34.9,2014
Lamu,Female,Can read a whole sentence,51.5,2014
Taita Taveta,Female,Can read a whole sentence,52.4,2014
Garissa,Female,Can read a whole sentence,7.3,2014
Wajir,Female,Can read a whole sentence,7,2014
Mandera,Female,Can read a whole sentence,6.7,2014
Marsabit,Female,Can read a whole sentence,13.3,2014
Isiolo,Female,Can read a whole sentence,23.8,2014
Meru,Female,Can read a whole sentence,41.8,2014
Tharaka Nithi,Female,Can read a whole sentence,40.2,2014
Embu,Female,Can read a whole sentence,47.5,2014
Kitui,Female,Can read a whole sentence,47.6,2014
Machakos,Female,Can read a whole sentence,40.8,2014
Makueni,Female,Can read a whole sentence,49.3,2014
Nyandarua,Female,Can read a whole sentence,47.6,2014
Nyeri,Female,Can read a whole sentence,31.9,2014
Kirinyaga,Female,Can read a whole sentence,46.6,2014
Muranga,Female,Can read a whole sentence,38.9,2014
Kiambu,Female,Can read a whole sentence,26.5,2014
Turkana,Female,Can read a whole sentence,12.6,2014
West Pokot,Female,Can read a whole sentence,15.8,2014
Samburu,Female,Can read a whole sentence,12.9,2014
Trans Nzoia,Female,Can read a whole sentence,43.9,2014
Uasin Gishu,Female,Can read a whole sentence,36.8,2014
Elgeyo Marakwet,Female,Can read a whole sentence,48.5,2014
Nandi,Female,Can read a whole sentence,47.3,2014
Baringo,Female,Can read a whole sentence,37.9,2014
Laikipia,Female,Can read a whole sentence,33.4,2014
Nakuru,Female,Can read a whole sentence,34.6,2014
Narok,Female,Can read a whole sentence,40.4,2014
Kajiado,Female,Can read a whole sentence,28,2014
Kericho,Female,Can read a whole sentence,34.3,2014
Bomet,Female,Can read a whole sentence,41.1,2014
Kakamega,Female,Can read a whole sentence,48.5,2014
Vihiga,Female,Can read a whole sentence,43.6,2014
Bungoma,Female,Can read a whole sentence,38.4,2014
Busia,Female,Can read a whole sentence,44.2,2014
Siaya,Female,Can read a whole sentence,46.5,2014
Kisumu,Female,Can read a whole sentence,35.7,2014
Homa Bay,Female,Can read a whole sentence,45.1,2014
Migori,Female,Can read a whole sentence,51.8,2014
Kisii,Female,Can read a whole sentence,32.2,2014
Nyamira,Female,Can read a whole sentence,26.9,2014
Nairobi,Female,Can read a whole sentence,24.8,2014
Mombasa,Male,Can read a whole sentence,40.4,2014
Kwale,Male,Can read a whole sentence,42.1,2014
Kilifi,Male,Can read a whole sentence,54.1,2014
Tana River,Male,Can read a whole sentence,50.8,2014
Lamu,Male,Can read a whole sentence,48.3,2014
Taita Taveta,Male,Can read a whole sentence,46.3,2014
Garissa,Male,Can read a whole sentence,28.2,2014
Wajir,Male,Can read a whole sentence,27.7,2014
Mandera,Male,Can read a whole sentence,32.7,2014
Marsabit,Male,Can read a whole sentence,7.1,2014
Isiolo,Male,Can read a whole sentence,27.7,2014
Meru,Male,Can read a whole sentence,52.1,2014
Tharaka Nithi,Male,Can read a whole sentence,47.1,2014
Embu,Male,Can read a whole sentence,44.3,2014
Kitui,Male,Can read a whole sentence,43.7,2014
Machakos,Male,Can read a whole sentence,47.3,2014
Makueni,Male,Can read a whole sentence,45.4,2014
Nyandarua,Male,Can read a whole sentence,36.9,2014
Nyeri,Male,Can read a whole sentence,29.4,2014
Kirinyaga,Male,Can read a whole sentence,45,2014
Muranga,Male,Can read a whole sentence,37.5,2014
Kiambu,Male,Can read a whole sentence,26.2,2014
Turkana,Male,Can read a whole sentence,6.8,2014
West Pokot,Male,Can read a whole sentence,47,2014
Samburu,Male,Can read a whole sentence,22,2014
Trans Nzoia,Male,Can read a whole sentence,45.3,2014
Uasin Gishu,Male,Can read a whole sentence,38.2,2014
Elgeyo Marakwet,Male,Can read a whole sentence,41.8,2014
Nandi,Male,Can read a whole sentence,39.2,2014
Baringo,Male,Can read a whole sentence,35.7,2014
Laikipia,Male,Can read a whole sentence,29.7,2014
Nakuru,Male,Can read a whole sentence,31.2,2014
Narok,Male,Can read a whole sentence,22.6,2014
Kajiado,Male,Can read a whole sentence,21.3,2014
Kericho,Male,Can read a whole sentence,44.7,2014
Bomet,Male,Can read a whole sentence,35.8,2014
Kakamega,Male,Can read a whole sentence,47,2014
Vihiga,Male,Can read a whole sentence,28.8,2014
Bungoma,Male,Can read a whole sentence,39.3,2014
Busia,Male,Can read a whole sentence,43.7,2014
Siaya,Male,Can read a whole sentence,46.6,2014
Kisumu,Male,Can read a whole sentence,28,2014
Homa Bay,Male,Can read a whole sentence,49.4,2014
Migori,Male,Can read a whole sentence,51.9,2014
Kisii,Male,Can read a whole sentence,27.8,2014
Nyamira,Male,Can read a whole sentence,13.6,2014
Nairobi,Male,Can read a whole sentence,22.4,2014
Mombasa,Female,Can read part of a sentence,4.9,2014
Kwale,Female,Can read part of a sentence,7.6,2014
Kilifi,Female,Can read part of a sentence,5.4,2014
Tana River,Female,Can read part of a sentence,7,2014
Lamu,Female,Can read part of a sentence,9.9,2014
Taita Taveta,Female,Can read part of a sentence,3,2014
Garissa,Female,Can read part of a sentence,7.1,2014
Wajir,Female,Can read part of a sentence,5.2,2014
Mandera,Female,Can read part of a sentence,7.4,2014
Marsabit,Female,Can read part of a sentence,10.5,2014
Isiolo,Female,Can read part of a sentence,14.4,2014
Meru,Female,Can read part of a sentence,13.3,2014
Tharaka Nithi,Female,Can read part of a sentence,10.1,2014
Embu,Female,Can read part of a sentence,7,2014
Kitui,Female,Can read part of a sentence,17.9,2014
