County,perc_below3sd,perc_below2sd,zscore,indicator,measure,lab,year
Mombasa,3.5,13.5,−0.7,HFA,Stunting,13.5%,2022
Kwale,6.9,22.7,−1.2,HFA,Stunting,22.7%,2022
Kilifi,13.4,37,−1.5,HFA,Stunting,37%,2022
Tana River,5.6,21.1,−1.0,HFA,Stunting,21.1%,2022
Lamu,2.5,16.1,−1.0,HFA,Stunting,16.1%,2022
Taita Taveta,4.9,19.2,−0.9,HFA,Stunting,19.2%,2022
Garissa,0.6,9,−0.4,HFA,Stunting,9%,2022
Wajir,3.2,12.4,−0.3,HFA,Stunting,12.4%,2022
Mandera,6.3,20.5,−0.9,HFA,Stunting,20.5%,2022
Marsabit,4.9,18.9,−0.8,HFA,Stunting,18.9%,2022
Isiolo,4.3,14.1,−0.6,HFA,Stunting,14.1%,2022
Meru,4.6,25.2,−1.1,HFA,Stunting,25.2%,2022
Tharaka Nithi,3.4,20.5,−1.0,HFA,Stunting,20.5%,2022
Embu,5.3,19.9,−0.9,HFA,Stunting,19.9%,2022
Kitui,8.8,25.1,−1.2,HFA,Stunting,25.1%,2022
Machakos,3.8,16.2,−0.9,HFA,Stunting,16.2%,2022
Makueni,4.2,19.8,−1.1,HFA,Stunting,19.8%,2022
Nyandarua,3.2,17.8,−0.9,HFA,Stunting,17.8%,2022
Nyeri,2.2,12.5,−0.7,HFA,Stunting,12.5%,2022
Kirinyaga,1.9,11.2,−0.8,HFA,Stunting,11.2%,2022
Muranga,1.1,10.1,−0.7,HFA,Stunting,10.1%,2022
Kiambu,3.8,15.3,−0.8,HFA,Stunting,15.3%,2022
Turkana,7.3,23,−1.1,HFA,Stunting,23%,2022
West Pokot,10.4,33.5,−1.5,HFA,Stunting,33.5%,2022
Samburu,8.9,31.4,−1.4,HFA,Stunting,31.4%,2022
Trans Nzoia,4.8,21.3,−1.0,HFA,Stunting,21.3%,2022
Uasin Gishu,2.7,14.2,−0.8,HFA,Stunting,14.2%,2022
Elgeyo Marakwet,3.1,21.8,−1.2,HFA,Stunting,21.8%,2022
Nandi,2.6,15.1,−0.8,HFA,Stunting,15.1%,2022
Baringo,4.7,21.2,−1.1,HFA,Stunting,21.2%,2022
Laikipia,2.5,12.6,−0.8,HFA,Stunting,12.6%,2022
Nakuru,5.3,18.5,−0.9,HFA,Stunting,18.5%,2022
Narok,3.5,21.5,−1.2,HFA,Stunting,21.5%,2022
Kajiado,4.5,14,−0.5,HFA,Stunting,14%,2022
Kericho,3.7,19.3,−1.0,HFA,Stunting,19.3%,2022
Bomet,4.5,22.1,−1.1,HFA,Stunting,22.1%,2022
Kakamega,2.1,11.5,−0.7,HFA,Stunting,11.5%,2022
Vihiga,4.2,16.6,−1.0,HFA,Stunting,16.6%,2022
Bungoma,4,19,−1.0,HFA,Stunting,19%,2022
Busia,3.1,15,−0.7,HFA,Stunting,15%,2022
Siaya,5.3,19.2,−1.0,HFA,Stunting,19.2%,2022
Kisumu,1.3,9.1,−0.5,HFA,Stunting,9.1%,2022
Homa Bay,2.3,12.5,−0.7,HFA,Stunting,12.5%,2022
Migori,2.5,14.8,−0.9,HFA,Stunting,14.8%,2022
Kisii,4.3,16.3,−0.8,HFA,Stunting,16.3%,2022
Nyamira,3,13.5,−0.9,HFA,Stunting,13.5%,2022
Nairobi,2,11.1,−0.6,HFA,Stunting,11.1%,2022
Mombasa,0.2,4.6,−0.3,WFH,Wasting,4.6%,2022
Kwale,1.1,6.2,−0.4,WFH,Wasting,6.2%,2022
Kilifi,0.9,7.2,−0.3,WFH,Wasting,7.2%,2022
Tana River,1.3,11.3,−0.6,WFH,Wasting,11.3%,2022
