Background characteristic,Woman's name is on title deed,Women's name is not on title deed,Does not have a title deed,Don't know ,Total ,Number of women who own land
Age,,,,,,
15–19,6.7,22.5,62.4,8.4,100,124
20–24,8.4,23.3,64.7,3.6,100,825
25–29,13.1,21.6,62.8,2.5,100,"1,439"
30–34,14.7,20.5,63.3,1.5,100,"1,447"
35–39,14.4,22.1,61.7,1.7,100,"1,587"
40–44,15.1,22.9,60.3,1.7,100,"1,337"
45–49,12.9,27.8,57.6,1.7,100,"1,209"
 ,,,,,,
Residence,,,,,,
Urban,27.4,29,42.1,1.5,100,"1,854"
Rural,9.1,21,67.6,2.3,100,"6,114"
 ,,,,,,
Education,,,,,,
No education,6.8,16.4,75.2,1.6,100,426
Primary,8.4,22.2,67.4,2,100,"3,791"
Secondary,13.3,23.6,60.4,2.7,100,"2,270"
More than secondary,30.2,26.4,41.8,1.5,100,"1,366"
 ,,,,,,
Wealth quintile,,,,,,
Lowest,4.3,16,77.7,2,100,"1,466"
Second,6.4,18.6,71.8,3.2,100,"1,893"
Middle,10,22.9,65.2,1.9,100,"1,782"
Fourth,16.7,29.8,51.8,1.7,100,"1,362"
Highest,32.6,28.6,37.3,1.4,100,"1,465"
 ,,,,,,
Total,13.4,22.8,61.7,2.1,100,"7,968"
