Residence,Category,Proportion,Participants
Urban,Have heard of TB,98.3,Women
Urban,Think everyone with TB has HIV,3.8,Women
Urban,Diagnosed in past 12 months,0.4,Women
Rural,Have heard of TB,95.7,Women
Rural,Think everyone with TB has HIV,5.4,Women
Rural,Diagnosed in past 12 months,0.4,Women
Urban,Have heard of TB,98.2,Men
Urban,Think everyone with TB has HIV,2.9,Men
Urban,Diagnosed in past 12 months,0.7,Men
Rural,Have heard of TB,98.3,Men
Rural,Think everyone with TB has HIV,5.4,Men
Rural,Diagnosed in past 12 months,0.5,Men
