Age,Weighted_percent,Weighted_number,Unweighted_number,Participants
15–19,18.7,"6,025","6,404",Women
20–24,18.7,"6,001","5,762",Women
25–29,17.7,"5,687","5,443",Women
30–34,14.1,"4,530","4,561",Women
35–39,13.4,"4,311","4,354",Women
40–44,9.6,"3,084","3,100",Women
45–49,7.8,"2,518","2,532",Women
15–19,23.3,"3,175","3,349",Men
20–24,17.6,"2,404","2,332",Men
25–29,16.6,"2,268","2,109",Men
30–34,13.1,"1,787","1,748",Men
35–39,11.6,"1,577","1,628",Men
40–44,9.8,"1,332","1,386",Men
45–49,8.1,"1,109","1,117",Men
