Participant,selection,residence,numbers
Number of eligible women,All_households,Rural,"20,750"
Number of eligible women interviewed,All_households,Rural,"19,770"
Number of eligible women,All_households,Urban,"13,129"
Number of eligible women interviewed,All_households,Urban,"12,386"
Number of eligible women,Long_questionnaire,Rural,"10,914"
Number of eligible women interviewed,Long_questionnaire,Rural,"10,384"
Number of eligible women,Long_questionnaire,Urban,"6,911"
Number of eligible women interviewed,Long_questionnaire,Urban,"6,517"
Number of eligible women,Short_questionnaire,Rural,"9,836"
Number of eligible women interviewed,Short_questionnaire,Rural,"9,386"
Number of eligible women,Short_questionnaire,Urban,"6,218"
Number of eligible women interviewed,Short_questionnaire,Urban,"5,869"
