Background characteristic,Indicator,Alone,Jointly ,Both alone and jointly ,Percentage who do not own land,Total,Number
Age,15–20,0.3,1.8,0,97.9,100,"6,025"
Age,20–25,0.9,12.8,0.1,86.3,100,"6,001"
Age,25–30,2,23.3,0,74.7,100,"5,687"
Age,30–35,3.4,28.4,0.1,68.1,100,"4,530"
Age,35–40,4.8,31.6,0.5,63.2,100,"4,311"
Age,40–45,7.1,36.1,0.2,56.6,100,"3,084"
Age,45–50,9.5,38.4,0.2,52,100,"2,518"
Residence,Urban,2.1,11.9,0.1,85.9,100,"13,143"
Residence,Rural,3.8,28.2,0.2,67.8,100,"19,013"
Education,No education,3.3,20.6,0.2,76,100,"1,770"
Education,Primary,4.2,28.1,0.2,67.6,100,"11,687"
Education,Secondary,2.1,16.4,0.1,81.4,100,"12,204"
Education,More than secondary,2.9,19.1,0.2,77.8,100,"6,150"
Wealth quintile,Lowest,4,25.1,0.1,70.8,100,"5,019"
Wealth quintile,Second,4.1,29.1,0,66.8,100,"5,698"
Wealth quintile,Middle,3.1,26,0.2,70.6,100,"6,069"
Wealth quintile,Fourth,2.2,16.7,0.2,80.9,100,"7,139"
Wealth quintile,Highest,2.6,15.1,0.1,82.2,100,"8,231"
Total,Total,3.1,21.5,0.1,75.2,100,"32,156"
