County,Contraceptive_use,Percent
Mombasa,Female sterilization,0.8
Mombasa,Male sterilization,0.0
Mombasa,IUD,3.7
Mombasa,Injectables,16.6
Mombasa,Implants,14.3
Mombasa,Pill,3.8
Mombasa,Male condom,1.7
Mombasa,Female condom,0.0
Mombasa,Emergency contraception,0.2
Mombasa,SDM,0.6
Mombasa,LAM,0.3
Mombasa,Other,0.0
Kwale,Female sterilization,0.8
Kwale,Male sterilization,0.0
Kwale,IUD,2.8
Kwale,Injectables,18.2
Kwale,Implants,9.6
Kwale,Pill,2.3
Kwale,Male condom,0.3
Kwale,Female condom,0.0
Kwale,Emergency contraception,0.0
Kwale,SDM,0.1
Kwale,LAM,0.5
Kwale,Other,0.0
Kilifi,Female sterilization,1.6
Kilifi,Male sterilization,0.0
Kilifi,IUD,2.1
Kilifi,Injectables,17.4
Kilifi,Implants,17.8
Kilifi,Pill,3.7
Kilifi,Male condom,0.1
Kilifi,Female condom,0.0
Kilifi,Emergency contraception,0.0
Kilifi,SDM,1.6
Kilifi,LAM,0.4
Kilifi,Other,0.0
Tana River,Female sterilization,0.5
Tana River,Male sterilization,0.0
Tana River,IUD,1.0
Tana River,Injectables,13.1
Tana River,Implants,5.1
Tana River,Pill,1.1
Tana River,Male condom,0.5
Tana River,Female condom,0.0
Tana River,Emergency contraception,0.8
Tana River,SDM,0.0
Tana River,LAM,1.2
Tana River,Other,0.0
Lamu,Female sterilization,0.5
Lamu,Male sterilization,0.4
Lamu,IUD,1.1
Lamu,Injectables,13.7
Lamu,Implants,10.5
Lamu,Pill,5.6
Lamu,Male condom,1.1
Lamu,Female condom,0.0
Lamu,Emergency contraception,0.0
Lamu,SDM,2.8
Lamu,LAM,3.4
Lamu,Other,0.0
Taita/Taveta,Female sterilization,2.8
Taita/Taveta,Male sterilization,0.0
Taita/Taveta,IUD,4.2
Taita/Taveta,Injectables,29.3
Taita/Taveta,Implants,15.4
Taita/Taveta,Pill,7.3
Taita/Taveta,Male condom,1.8
Taita/Taveta,Female condom,0.0
Taita/Taveta,Emergency contraception,0.2
Taita/Taveta,SDM,2.5
Taita/Taveta,LAM,0.8
Taita/Taveta,Other,0.0
Garissa,Female sterilization,1.4
Garissa,Male sterilization,0.0
Garissa,IUD,0.2
Garissa,Injectables,4.3
Garissa,Implants,3.5
Garissa,Pill,1.1
Garissa,Male condom,0.1
Garissa,Female condom,0.0
Garissa,Emergency contraception,0.0
Garissa,SDM,0.0
Garissa,LAM,0.5
Garissa,Other,0.0
Wajir,Female sterilization,0.1
Wajir,Male sterilization,0.0
Wajir,IUD,0.2
Wajir,Injectables,0.9
Wajir,Implants,0.8
Wajir,Pill,0.8
Wajir,Male condom,0.0
Wajir,Female condom,0.0
Wajir,Emergency contraception,0.0
Wajir,SDM,0.0
Wajir,LAM,0.0
Wajir,Other,0.0
Mandera,Female sterilization,0.0
Mandera,Male sterilization,0.0
Mandera,IUD,0.0
Mandera,Injectables,0.6
Mandera,Implants,0.2
Mandera,Pill,0.3
Mandera,Male condom,0.0
Mandera,Female condom,0.0
Mandera,Emergency contraception,0.0
Mandera,SDM,0.0
Mandera,LAM,0.8
Mandera,Other,0.0
Marsabit,Female sterilization,0.4
Marsabit,Male sterilization,0.0
Marsabit,IUD,0.0
Marsabit,Injectables,2.5
Marsabit,Implants,2.6
Marsabit,Pill,0.1
Marsabit,Male condom,0.0
