Background characteristic,Indicator,name is on title deed,name is not on title deed,Does not have a title deed,Don't know ,Total ,Number
Age,15–20,15.6,23.4,46.5,14.5,100,28
Age,20–25,24.4,23.4,50.6,1.5,100,83
Age,25–30,30.1,15.1,54.7,0,100,131
Age,30–35,54.2,11.7,34.1,0,100,193
Age,35–40,53.9,7.1,38.8,0.1,100,237
Age,40–45,46.5,9.2,44.1,0.2,100,218
Age,45–50,49.6,7.7,42.8,0,100,202
Residence,Urban,58.8,8.3,32.6,0.3,100,444
Residence,Rural,36.5,12.9,49.8,0.7,100,648
Education,No education,34.9,4.1,61,0,100,32
Education,Primary,29.9,12.5,57.2,0.4,100,345
Education,Secondary,43.5,11.9,43.2,1.4,100,299
Education,More than secondary,62.8,10,27.1,0.2,100,389
Wealth quintile,Lowest,22.9,15.2,60.7,1.2,100,110
Wealth quintile,Second,25.1,11.9,62.2,0.7,100,161
Wealth quintile,Middle,32,14.7,52.4,0.8,100,221
Wealth quintile,Fourth,48.7,13.4,37.4,0.5,100,243
Wealth quintile,Highest,68,5.6,26.3,0.1,100,358
Total,15–50,45.6,11.1,42.8,0.6,100,"1,093"
Total,50–55,61.8,9.2,29,0,100,181
Total,15–55,47.9,10.8,40.8,0.5,100,"1,274"
