Years,Category,n_per1000
1989,Under 5 mortality,90
1989,Infant mortality,61
1989,Neonatal mortality,28
1993,Under 5 mortality,96
1993,Infant mortality,62
1993,Neonatal mortality,26
1998,Under 5 mortality,111
1998,Infant mortality,74
1998,Neonatal mortality,28
2003,Under 5 mortality,115
2003,Infant mortality,77
2003,Neonatal mortality,33
1999,Under 5 mortality,74
1999,Infant mortality,52
1999,Neonatal mortality,31
2014,Under 5 mortality,52
2014,Infant mortality,39
2014,Neonatal mortality,22
2022,Under 5 mortality,41
2022,Infant mortality,32
2022,Neonatal mortality,21
