Age_of_respondent,Contraceptive_use,Percent,Marital_status
15–19,Any method,40.7,Married
15–19,Modern method,36.9,Married
15–19,Traditional method,3.8,Married
20–24,Any method,59.2,Married
20–24,Modern method,53.4,Married
20–24,Traditional method,5.8,Married
25–29,Any method,64.8,Married
25–29,Modern method,60.6,Married
25–29,Traditional method,4.2,Married
30–34,Any method,66.2,Married
30–34,Modern method,60.6,Married
30–34,Traditional method,5.6,Married
35–39,Any method,66.0,Married
35–39,Modern method,60.1,Married
35–39,Traditional method,5.9,Married
40–44,Any method,64.6,Married
40–44,Modern method,57.1,Married
40–44,Traditional method,7.5,Married
45–49,Any method,51.7,Married
45–49,Modern method,45.6,Married
45–49,Traditional method,6.2,Married
15–19,Any method,58.4,Unmarried
15–19,Modern method,43.8,Unmarried
15–19,Traditional method,14.6,Unmarried
20–24,Any method,73.1,Unmarried
20–24,Modern method,60.9,Unmarried
20–24,Traditional method,12.2,Unmarried
25–29,Any method,73.2,Unmarried
25–29,Modern method,62.8,Unmarried
25–29,Traditional method,10.4,Unmarried
30–34,Any method,68.5,Unmarried
30–34,Modern method,66.1,Unmarried
30–34,Traditional method,2.4,Unmarried
35–39,Any method,82.1,Unmarried
35–39,Modern method,65.7,Unmarried
35–39,Traditional method,16.5,Unmarried
40–44,Any method,73.0,Unmarried
40–44,Modern method,64.1,Unmarried
40–44,Traditional method,8.8,Unmarried
45–49,Any method,46.3,Unmarried
45–49,Modern method,40.0,Unmarried
45–49,Traditional method,6.3,Unmarried
