Background characteristic,Indicator,Alone,Jointly ,Both alone and jointly ,Percentage who do not own land,Total,Number
Age,15–20,2.2,1.6,0.2,95.9,100,"3,175"
Age,20–25,8.6,3.9,0.1,87.4,100,"2,404"
Age,25–30,21.8,6.7,0.4,71.2,100,"2,268"
Age,30–35,36.9,7,0,56,100,"1,787"
Age,35–40,43.6,11.1,0.2,45.2,100,"1,577"
Age,40–45,46.4,12.7,0.2,40.7,100,"1,332"
Age,45–50,51.9,14.1,0.6,33.4,100,"1,109"
Residence,Urban,16.7,5.2,0.1,78,100,"5,382"
Residence,Rural,29.2,7.8,0.3,62.8,100,"8,270"
Education,No education,18.6,15.1,0.3,66,100,369
Education,Primary,30.6,8.9,0.3,60.3,100,"4,894"
Education,Secondary,17.1,4.6,0.3,78,100,"5,386"
Education,More than secondary,27.1,5.9,0.1,66.9,100,"2,797"
Wealth quintile,Lowest,26.1,9.7,0.3,63.9,100,"2,062"
Wealth quintile,Second,29.2,6.6,0.4,63.8,100,"2,584"
Wealth quintile,Middle,26.8,7.6,0.2,65.4,100,"2,754"
Wealth quintile,Fourth,20,6.1,0.2,73.7,100,"3,325"
Wealth quintile,Highest,21,4.8,0.1,74.1,100,"2,927"
Total,15–50,24.3,6.8,0.2,68.8,100,"13,652"
Total,50–55,58.6,14.7,0,26.7,100,801
Total,15–55,26.2,7.2,0.2,66.4,100,"14,453"
