"county","percentage_delivered_by_cs","proportion_category"
"Mombasa",18.8,"10-20"
"Kwale",6.3,"<10"
"Kilifi",9.1,"<10"
"Tana River",6.9,"<10"
"Lamu",19.4,"10-20"
"Taita Taveta",26.5,">20"
"Garissa",11.2,"10-20"
"Wajir",2.4,"<10"
"Mandera",3.7,"<10"
"Marsabit",6.2,"<10"
"Isiolo",12.3,"10-20"
"Meru",22.9,">20"
"Tharaka Nithi",30.2,">20"
"Embu",22.4,">20"
"Kitui",14.9,"10-20"
"Machakos",17.2,"10-20"
"Makueni",22.5,">20"
"Nyandarua",13.4,"10-20"
"Nyeri",18.1,"10-20"
"Kirinyaga",40.3,">20"
"Muranga",19.7,"10-20"
"Kiambu",33.2,">20"
"Turkana",4.3,"<10"
"West Pokot",9.6,"<10"
"Samburu",4.9,"<10"
"Trans Nzoia",9.8,"<10"
"Uasin Gishu",14.3,"10-20"
"Elgeyo Marakwet",7.1,"<10"
"Nandi",10.1,"10-20"
"Baringo",7.4,"<10"
"Laikipia",12.4,"10-20"
"Nakuru",14.5,"10-20"
"Narok",8.8,"<10"
"Kajiado",23.3,">20"
"Kericho",21.3,">20"
"Bomet",15.9,"10-20"
"Kakamega",8.2,"<10"
"Vihiga",16.5,"10-20"
"Bungoma",11.3,"10-20"
"Busia",11.1,"10-20"
"Siaya",15.7,"10-20"
"Kisumu",9.8,"<10"
"Homa Bay",9.7,"<10"
"Migori",6.3,"<10"
"Kisii",21.7,">20"
"Nyamira",12,"10-20"
"Nairobi",28.1,">20"
