Value,Category,Proportion,Background characteristics
0-1,Stool disposed of appropriately,53.6,Age
0-1,Child used toilet,0.0,Age
0-1,Put/rinsed into toilet,53.6,Age
0-1,Buried,2.2,Age
0-1,Put/rinsed into drain/ditch,9.0,Age
0-1,Thrown into garbage,31.1,Age
0-1,Left in the open,3.2,Age
0-1,Other,1.0,Age
2-3,Stool disposed of appropriately,58.9,Age
2-3,Child used toilet,1.2,Age
2-3,Put/rinsed into toilet,57.7,Age
2-3,Buried,1.7,Age
2-3,Put/rinsed into drain/ditch,12.1,Age
2-3,Thrown into garbage,23.0,Age
2-3,Left in the open,3.5,Age
2-3,Other,0.8,Age
4-5,Stool disposed of appropriately,58.4,Age
4-5,Child used toilet,1.8,Age
4-5,Put/rinsed into toilet,56.6,Age
4-5,Buried,2.0,Age
4-5,Put/rinsed into drain/ditch,7.4,Age
4-5,Thrown into garbage,27.6,Age
4-5,Left in the open,3.8,Age
4-5,Other,0.9,Age
6-8,Stool disposed of appropriately,59.9,Age
6-8,Child used toilet,1.7,Age
6-8,Put/rinsed into toilet,58.2,Age
6-8,Buried,2.2,Age
6-8,Put/rinsed into drain/ditch,6.9,Age
6-8,Thrown into garbage,27.1,Age
6-8,Left in the open,3.6,Age
6-8,Other,0.2,Age
9-11,Stool disposed of appropriately,65.7,Age
9-11,Child used toilet,0.4,Age
9-11,Put/rinsed into toilet,65.3,Age
9-11,Buried,2.2,Age
9-11,Put/rinsed into drain/ditch,5.9,Age
9-11,Thrown into garbage,21.6,Age
9-11,Left in the open,4.0,Age
9-11,Other,0.5,Age
12-17,Stool disposed of appropriately,61.4,Age
12-17,Child used toilet,1.1,Age
12-17,Put/rinsed into toilet,60.3,Age
12-17,Buried,3.8,Age
12-17,Put/rinsed into drain/ditch,6.5,Age
12-17,Thrown into garbage,23.0,Age
12-17,Left in the open,4.7,Age
12-17,Other,0.6,Age
18-23,Stool disposed of appropriately,71.1,Age
18-23,Child used toilet,1.5,Age
18-23,Put/rinsed into toilet,69.6,Age
18-23,Buried,2.7,Age
18-23,Put/rinsed into drain/ditch,4.1,Age
18-23,Thrown into garbage,17.4,Age
18-23,Left in the open,4.6,Age
18-23,Other,0.1,Age
Improved sanitation facility,Stool disposed of appropriately,63.2,Type of toilet facility
Improved sanitation facility,Child used toilet,1.1,Type of toilet facility
Improved sanitation facility,Put/rinsed into toilet,62.1,Type of toilet facility
Improved sanitation facility,Buried,0.8,Type of toilet facility
Improved sanitation facility,Put/rinsed into drain/ditch,4.9,Type of toilet facility
Improved sanitation facility,Thrown into garbage,29.1,Type of toilet facility
Improved sanitation facility,Left in the open,1.5,Type of toilet facility
Improved sanitation facility,Other,0.4,Type of toilet facility
Unimproved facility,Stool disposed of appropriately,80.6,Type of toilet facility
Unimproved facility,Child used toilet,1.4,Type of toilet facility
Unimproved facility,Put/rinsed into toilet,79.2,Type of toilet facility
Unimproved facility,Buried,0.9,Type of toilet facility
Unimproved facility,Put/rinsed into drain/ditch,8.1,Type of toilet facility
Unimproved facility,Thrown into garbage,6.9,Type of toilet facility
Unimproved facility,Left in the open,3.1,Type of toilet facility
Unimproved facility,Other,0.5,Type of toilet facility
Open defecation,Stool disposed of appropriately,13.2,Type of toilet facility
Open defecation,Child used toilet,0.7,Type of toilet facility
Open defecation,Put/rinsed into toilet,12.5,Type of toilet facility
Open defecation,Buried,19.8,Type of toilet facility
Open defecation,Put/rinsed into drain/ditch,15.7,Type of toilet facility
Open defecation,Thrown into garbage,25.0,Type of toilet facility
Open defecation,Left in the open,25.1,Type of toilet facility
Open defecation,Other,1.2,Type of toilet facility
Urban,Stool disposed of appropriately,45.2,Residence
Urban,Child used toilet,0.7,Residence
Urban,Put/rinsed into toilet,44.5,Residence
Urban,Buried,0.5,Residence
Urban,Put/rinsed into drain/ditch,2.7,Residence
Urban,Thrown into garbage,50.0,Residence
Urban,Left in the open,1.3,Residence
Urban,Other,0.3,Residence
Rural,Stool disposed of appropriately,72.4,Residence
Rural,Child used toilet,1.3,Residence
Rural,Put/rinsed into toilet,71.1,Residence
Rural,Buried,3.9,Residence
Rural,Put/rinsed into drain/ditch,8.9,Residence
Rural,Thrown into garbage,8.5,Residence
Rural,Left in the open,5.7,Residence
Rural,Other,0.6,Residence
No education,Stool disposed of appropriately,24.8,Mother's education
No education,Child used toilet,0.7,Mother's education
No education,Put/rinsed into toilet,24.1,Mother's education
No education,Buried,14.3,Mother's education
No education,Put/rinsed into drain/ditch,10.0,Mother's education
No education,Thrown into garbage,31.3,Mother's education
No education,Left in the open,19.4,Mother's education
No education,Other,0.3,Mother's education
