"","Value","Category","Proportion","Background characteristics"
"1","Urban","Use appropriate treatment method",34,"Residence"
"2","Urban","Boil",22,"Residence"
"3","Urban","Bleach/chlorine",14,"Residence"
"4","Urban","Strain through cloth",1,"Residence"
"5","Urban","Ceramic/sand/other filter",1,"Residence"
"6","Urban","Solar disinfection",0,"Residence"
"7","Urban","Stand & settle",0.5,"Residence"
"8","Urban","Cover container",1,"Residence"
"9","Urban","Other",0.1,"Residence"
"10","Urban","Don't know",0,"Residence"
"11","Urban","No treatment",66,"Residence"
"12","Rural","Use appropriate treatment method",35,"Residence"
"13","Rural","Boil",20,"Residence"
"14","Rural","Bleach/chlorine",18,"Residence"
"15","Rural","Strain through cloth",2,"Residence"
"16","Rural","Ceramic/sand/other filter",1,"Residence"
"17","Rural","Solar disinfection",0.1,"Residence"
"18","Rural","Stand & settle",2,"Residence"
"19","Rural","Cover container",3,"Residence"
"20","Rural","Other",0.1,"Residence"
"21","Rural","Don't know",0,"Residence"
"22","Rural","No treatment",61,"Residence"
"23","Improved","Use appropriate treatment method",35,"Water source"
"24","Improved","Boil",21,"Water source"
"25","Improved","Bleach/chlorine",16,"Water source"
"26","Improved","Strain through cloth",2,"Water source"
"27","Improved","Ceramic/sand/other filter",1,"Water source"
"28","Improved","Solar disinfection",0,"Water source"
"29","Improved","Stand & settle",2,"Water source"
"30","Improved","Cover container",2,"Water source"
"31","Improved","Other",0.1,"Water source"
"32","Improved","Don't know",0,"Water source"
"33","Improved","No treatment",63,"Water source"
"34","Unimproved","Use appropriate treatment method",32,"Water source"
"35","Unimproved","Boil",19,"Water source"
"36","Unimproved","Bleach/chlorine",15,"Water source"
"37","Unimproved","Strain through cloth",3,"Water source"
"38","Unimproved","Ceramic/sand/other filter",1,"Water source"
"39","Unimproved","Solar disinfection",0.1,"Water source"
"40","Unimproved","Stand & settle",2,"Water source"
"41","Unimproved","Cover container",4,"Water source"
"42","Unimproved","Other",0.1,"Water source"
"43","Unimproved","Don't know",0.1,"Water source"
"44","Unimproved","No treatment",64,"Water source"
"45","Surface","Use appropriate treatment method",34,"Water source"
"46","Surface","Boil",18,"Water source"
"47","Surface","Bleach/chlorine",19,"Water source"
"48","Surface","Strain through cloth",3,"Water source"
"49","Surface","Ceramic/sand/other filter",1,"Water source"
"50","Surface","Solar disinfection",0.1,"Water source"
"51","Surface","Stand & settle",2,"Water source"
"52","Surface","Cover container",2,"Water source"
"53","Surface","Other",0,"Water source"
"54","Surface","Don't know",0,"Water source"
"55","Surface","No treatment",63,"Water source"
"56","Lowest","Use appropriate treatment method",21,"Wealth quintile"
"57","Lowest","Boil",11,"Wealth quintile"
"58","Lowest","Bleach/chlorine",11,"Wealth quintile"
"59","Lowest","Strain through cloth",2,"Wealth quintile"
"60","Lowest","Ceramic/sand/other filter",1,"Wealth quintile"
"61","Lowest","Solar disinfection",0.1,"Wealth quintile"
"62","Lowest","Stand & settle",1,"Wealth quintile"
"63","Lowest","Cover container",2,"Wealth quintile"
"64","Lowest","Other",0,"Wealth quintile"
"65","Lowest","Don't know",0.1,"Wealth quintile"
"66","Lowest","No treatment",76,"Wealth quintile"
"67","Second","Use appropriate treatment method",35,"Wealth quintile"
"68","Second","Boil",17,"Wealth quintile"
"69","Second","Bleach/chlorine",19,"Wealth quintile"
"70","Second","Strain through cloth",3,"Wealth quintile"
"71","Second","Ceramic/sand/other filter",1,"Wealth quintile"
"72","Second","Solar disinfection",0,"Wealth quintile"
"73","Second","Stand & settle",2,"Wealth quintile"
"74","Second","Cover container",3,"Wealth quintile"
"75","Second","Other",0,"Wealth quintile"
"76","Second","Don't know",0,"Wealth quintile"
"77","Second","No treatment",61,"Wealth quintile"
"78","Middle","Use appropriate treatment method",38,"Wealth quintile"
"79","Middle","Boil",22,"Wealth quintile"
"80","Middle","Bleach/chlorine",19,"Wealth quintile"
"81","Middle","Strain through cloth",2,"Wealth quintile"
"82","Middle","Ceramic/sand/other filter",1,"Wealth quintile"
"83","Middle","Solar disinfection",0,"Wealth quintile"
"84","Middle","Stand & settle",2,"Wealth quintile"
"85","Middle","Cover container",3,"Wealth quintile"
"86","Middle","Other",0.1,"Wealth quintile"
"87","Middle","Don't know",0,"Wealth quintile"
"88","Middle","No treatment",59,"Wealth quintile"
"89","Fourth","Use appropriate treatment method",39,"Wealth quintile"
"90","Fourth","Boil",26,"Wealth quintile"
"91","Fourth","Bleach/chlorine",16,"Wealth quintile"
"92","Fourth","Strain through cloth",1,"Wealth quintile"
"93","Fourth","Ceramic/sand/other filter",1,"Wealth quintile"
"94","Fourth","Solar disinfection",0,"Wealth quintile"
"95","Fourth","Stand & settle",2,"Wealth quintile"
"96","Fourth","Cover container",2,"Wealth quintile"
"97","Fourth","Other",0,"Wealth quintile"
"98","Fourth","Don't know",0.1,"Wealth quintile"
"99","Fourth","No treatment",60,"Wealth quintile"
"100","Highest","Use appropriate treatment method",40,"Wealth quintile"
"101","Highest","Boil",26,"Wealth quintile"
"102","Highest","Bleach/chlorine",17,"Wealth quintile"
"103","Highest","Strain through cloth",1,"Wealth quintile"
"104","Highest","Ceramic/sand/other filter",2,"Wealth quintile"
"105","Highest","Solar disinfection",0,"Wealth quintile"
"106","Highest","Stand & settle",0.5,"Wealth quintile"
"107","Highest","Cover container",1,"Wealth quintile"
"108","Highest","Other",0.2,"Wealth quintile"
"109","Highest","Don't know",0,"Wealth quintile"
"110","Highest","No treatment",59,"Wealth quintile"
