"","County","Category","Proportion","Names","cat"
"1","Mombasa","Stool disposed of appropriately",100,"Mombasa, 100%",">57.1"
"2","Mombasa","Child used toilet",5.4,"Mombasa, 5.4%","2.0-10.3"
"3","Mombasa","Put/rinsed into toilet",48.6,"Mombasa, 48.6%","10.4-57.1"
"4","Mombasa","Buried",0,"Mombasa, 0%","<2"
"5","Mombasa","Put/rinsed into drain/ditch",3.6,"Mombasa, 3.6%","2.0-10.3"
"6","Mombasa","Thrown into garbage",42.5,"Mombasa, 42.5%","10.4-57.1"
"7","Mombasa","Left in the open",0,"Mombasa, 0%","<2"
"8","Mombasa","Other",0,"Mombasa, 0%","<2"
"9","Kwale","Stool disposed of appropriately",100,"Kwale, 100%",">57.1"
"10","Kwale","Child used toilet",10.4,"Kwale, 10.4%","10.4-57.1"
"11","Kwale","Put/rinsed into toilet",48.6,"Kwale, 48.6%","10.4-57.1"
"12","Kwale","Buried",6.2,"Kwale, 6.2%","2.0-10.3"
"13","Kwale","Put/rinsed into drain/ditch",11.9,"Kwale, 11.9%","10.4-57.1"
"14","Kwale","Thrown into garbage",23,"Kwale, 23%","10.4-57.1"
"15","Kwale","Left in the open",0,"Kwale, 0%","<2"
"16","Kwale","Other",0,"Kwale, 0%","<2"
"17","Kilifi","Stool disposed of appropriately",100,"Kilifi, 100%",">57.1"
"18","Kilifi","Child used toilet",0,"Kilifi, 0%","<2"
"19","Kilifi","Put/rinsed into toilet",60.8,"Kilifi, 60.8%",">57.1"
"20","Kilifi","Buried",11.4,"Kilifi, 11.4%","10.4-57.1"
"21","Kilifi","Put/rinsed into drain/ditch",1.4,"Kilifi, 1.4%","<2"
"22","Kilifi","Thrown into garbage",17.8,"Kilifi, 17.8%","10.4-57.1"
"23","Kilifi","Left in the open",8.6,"Kilifi, 8.6%","2.0-10.3"
"24","Kilifi","Other",0,"Kilifi, 0%","<2"
"25","Tana River","Stool disposed of appropriately",100,"Tana River, 100%",">57.1"
"26","Tana River","Child used toilet",0,"Tana River, 0%","<2"
"27","Tana River","Put/rinsed into toilet",31.6,"Tana River, 31.6%","10.4-57.1"
"28","Tana River","Buried",14.7,"Tana River, 14.7%","10.4-57.1"
"29","Tana River","Put/rinsed into drain/ditch",10.4,"Tana River, 10.4%","10.4-57.1"
"30","Tana River","Thrown into garbage",39.8,"Tana River, 39.8%","10.4-57.1"
"31","Tana River","Left in the open",3.5,"Tana River, 3.5%","2.0-10.3"
"32","Tana River","Other",0,"Tana River, 0%","<2"
"33","Lamu","Stool disposed of appropriately",100,"Lamu, 100%",">57.1"
"34","Lamu","Child used toilet",0.8,"Lamu, 0.8%","<2"
"35","Lamu","Put/rinsed into toilet",50.5,"Lamu, 50.5%","10.4-57.1"
"36","Lamu","Buried",12.1,"Lamu, 12.1%","10.4-57.1"
"37","Lamu","Put/rinsed into drain/ditch",3.4,"Lamu, 3.4%","2.0-10.3"
"38","Lamu","Thrown into garbage",28.6,"Lamu, 28.6%","10.4-57.1"
"39","Lamu","Left in the open",4.6,"Lamu, 4.6%","2.0-10.3"
"40","Lamu","Other",0,"Lamu, 0%","<2"
"41","Taita Taveta","Stool disposed of appropriately",100,"Taita Taveta, 100%",">57.1"
"42","Taita Taveta","Child used toilet",0,"Taita Taveta, 0%","<2"
"43","Taita Taveta","Put/rinsed into toilet",74.3,"Taita Taveta, 74.3%",">57.1"
"44","Taita Taveta","Buried",0,"Taita Taveta, 0%","<2"
"45","Taita Taveta","Put/rinsed into drain/ditch",8.8,"Taita Taveta, 8.8%","2.0-10.3"
"46","Taita Taveta","Thrown into garbage",14.9,"Taita Taveta, 14.9%","10.4-57.1"
"47","Taita Taveta","Left in the open",0,"Taita Taveta, 0%","<2"
"48","Taita Taveta","Other",1.9,"Taita Taveta, 1.9%","<2"
"49","Garissa","Stool disposed of appropriately",100,"Garissa, 100%",">57.1"
"50","Garissa","Child used toilet",0,"Garissa, 0%","<2"
"51","Garissa","Put/rinsed into toilet",41.3,"Garissa, 41.3%","10.4-57.1"
"52","Garissa","Buried",4.3,"Garissa, 4.3%","2.0-10.3"
"53","Garissa","Put/rinsed into drain/ditch",0.9,"Garissa, 0.9%","<2"
"54","Garissa","Thrown into garbage",44,"Garissa, 44%","10.4-57.1"
"55","Garissa","Left in the open",9.6,"Garissa, 9.6%","2.0-10.3"
"56","Garissa","Other",0,"Garissa, 0%","<2"
"57","Wajir","Stool disposed of appropriately",100,"Wajir, 100%",">57.1"
"58","Wajir","Child used toilet",0.3,"Wajir, 0.3%","<2"
"59","Wajir","Put/rinsed into toilet",11.1,"Wajir, 11.1%","10.4-57.1"
"60","Wajir","Buried",35,"Wajir, 35%","10.4-57.1"
"61","Wajir","Put/rinsed into drain/ditch",11.4,"Wajir, 11.4%","10.4-57.1"
"62","Wajir","Thrown into garbage",41.6,"Wajir, 41.6%","10.4-57.1"
"63","Wajir","Left in the open",0,"Wajir, 0%","<2"
"64","Wajir","Other",0.7,"Wajir, 0.7%","<2"
"65","Mandera","Stool disposed of appropriately",100,"Mandera, 100%",">57.1"
"66","Mandera","Child used toilet",0,"Mandera, 0%","<2"
"67","Mandera","Put/rinsed into toilet",16.1,"Mandera, 16.1%","10.4-57.1"
"68","Mandera","Buried",4.1,"Mandera, 4.1%","2.0-10.3"
"69","Mandera","Put/rinsed into drain/ditch",19.1,"Mandera, 19.1%","10.4-57.1"
"70","Mandera","Thrown into garbage",23.8,"Mandera, 23.8%","10.4-57.1"
"71","Mandera","Left in the open",36.8,"Mandera, 36.8%","10.4-57.1"
"72","Mandera","Other",0,"Mandera, 0%","<2"
"73","Marsabit","Stool disposed of appropriately",100,"Marsabit, 100%",">57.1"
"74","Marsabit","Child used toilet",1.4,"Marsabit, 1.4%","<2"
"75","Marsabit","Put/rinsed into toilet",43.4,"Marsabit, 43.4%","10.4-57.1"
"76","Marsabit","Buried",6.7,"Marsabit, 6.7%","2.0-10.3"
"77","Marsabit","Put/rinsed into drain/ditch",12.4,"Marsabit, 12.4%","10.4-57.1"
"78","Marsabit","Thrown into garbage",25.6,"Marsabit, 25.6%","10.4-57.1"
"79","Marsabit","Left in the open",10.6,"Marsabit, 10.6%","10.4-57.1"
"80","Marsabit","Other",0,"Marsabit, 0%","<2"
"81","Isiolo","Stool disposed of appropriately",100,"Isiolo, 100%",">57.1"
"82","Isiolo","Child used toilet",2.4,"Isiolo, 2.4%","2.0-10.3"
"83","Isiolo","Put/rinsed into toilet",55.9,"Isiolo, 55.9%","10.4-57.1"
"84","Isiolo","Buried",7.1,"Isiolo, 7.1%","2.0-10.3"
"85","Isiolo","Put/rinsed into drain/ditch",7.5,"Isiolo, 7.5%","2.0-10.3"
