"","Value","Category","Proportion","Background characteristics"
"1","Urban","Population w/o water on premises",30,"Residence"
"2","Urban","Adult female",56,"Residence"
"3","Urban","Adult male",22,"Residence"
"4","Urban","Female child",2,"Residence"
"5","Urban","Male child",3,"Residence"
"6","Urban","Person not in household",16,"Residence"
"7","Rural","Population w/o water on premises",65,"Residence"
"8","Rural","Adult female",72,"Residence"
"9","Rural","Adult male",13,"Residence"
"10","Rural","Female child",6,"Residence"
"11","Rural","Male child",3,"Residence"
"12","Rural","Person not in household",6,"Residence"
"13","Improved","Population w/o water on premises",41,"Water source"
"14","Improved","Adult female",65,"Water source"
"15","Improved","Adult male",16,"Water source"
"16","Improved","Female child",5,"Water source"
"17","Improved","Male child",3,"Water source"
"18","Improved","Person not in household",11,"Water source"
"19","Unimproved","Population w/o water on premises",89,"Water source"
"20","Unimproved","Adult female",72,"Water source"
"21","Unimproved","Adult male",14,"Water source"
"22","Unimproved","Female child",6,"Water source"
"23","Unimproved","Male child",4,"Water source"
"24","Unimproved","Person not in household",5,"Water source"
"25","Surface","Population w/o water on premises",98,"Water source"
"26","Surface","Adult female",74,"Water source"
"27","Surface","Adult male",14,"Water source"
"28","Surface","Female child",5,"Water source"
"29","Surface","Male child",2,"Water source"
"30","Surface","Person not in household",5,"Water source"
"31","Lowest","Population w/o water on premises",86,"Wealth quintile"
"32","Lowest","Adult female",75,"Wealth quintile"
"33","Lowest","Adult male",10,"Wealth quintile"
"34","Lowest","Female child",8,"Wealth quintile"
"35","Lowest","Male child",3,"Wealth quintile"
"36","Lowest","Person not in household",4,"Wealth quintile"
"37","Second","Population w/o water on premises",74,"Wealth quintile"
"38","Second","Adult female",73,"Wealth quintile"
"39","Second","Adult male",14,"Wealth quintile"
"40","Second","Female child",6,"Wealth quintile"
"41","Second","Male child",3,"Wealth quintile"
"42","Second","Person not in household",4,"Wealth quintile"
"43","Middle","Population w/o water on premises",56,"Wealth quintile"
"44","Middle","Adult female",67,"Wealth quintile"
"45","Middle","Adult male",18,"Wealth quintile"
"46","Middle","Female child",4,"Wealth quintile"
"47","Middle","Male child",3,"Wealth quintile"
"48","Middle","Person not in household",9,"Wealth quintile"
"49","Fourth","Population w/o water on premises",35,"Wealth quintile"
"50","Fourth","Adult female",55,"Wealth quintile"
"51","Fourth","Adult male",23,"Wealth quintile"
"52","Fourth","Female child",2,"Wealth quintile"
"53","Fourth","Male child",3,"Wealth quintile"
"54","Fourth","Person not in household",16,"Wealth quintile"
"55","Highest","Population w/o water on premises",16,"Wealth quintile"
"56","Highest","Adult female",46,"Wealth quintile"
"57","Highest","Adult male",22,"Wealth quintile"
"58","Highest","Female child",1,"Wealth quintile"
"59","Highest","Male child",2,"Wealth quintile"
"60","Highest","Person not in household",29,"Wealth quintile"
