"","Value","Category","Proportion","Participants","Background characteristics"
"1","15-19","Diagnosed with Depression and/or Anxiety",2.5,"Women","Age"
"2","15-19","Receiving treatment",30.2,"Women","Age"
"3","20-24","Diagnosed with Depression and/or Anxiety",3.3,"Women","Age"
"4","20-24","Receiving treatment",23.4,"Women","Age"
"5","25-29","Diagnosed with Depression and/or Anxiety",3.9,"Women","Age"
"6","25-29","Receiving treatment",24.8,"Women","Age"
"7","30-34","Diagnosed with Depression and/or Anxiety",3.7,"Women","Age"
"8","30-34","Receiving treatment",23.8,"Women","Age"
"9","35-39","Diagnosed with Depression and/or Anxiety",5.7,"Women","Age"
"10","35-39","Receiving treatment",30.2,"Women","Age"
"11","40-44","Diagnosed with Depression and/or Anxiety",6.5,"Women","Age"
"12","40-44","Receiving treatment",28.4,"Women","Age"
"13","45-49","Diagnosed with Depression and/or Anxiety",4.3,"Women","Age"
"14","45-49","Receiving treatment",24.8,"Women","Age"
"15","15-19","Diagnosed with Depression and/or Anxiety",1.6,"Men","Age"
"16","15-19","Receiving treatment",13.5,"Men","Age"
"17","20-24","Diagnosed with Depression and/or Anxiety",2.2,"Men","Age"
"18","20-24","Receiving treatment",30.3,"Men","Age"
"19","25-29","Diagnosed with Depression and/or Anxiety",2.7,"Men","Age"
"20","25-29","Receiving treatment",23.4,"Men","Age"
"21","30-34","Diagnosed with Depression and/or Anxiety",4.4,"Men","Age"
"22","30-34","Receiving treatment",23.7,"Men","Age"
"23","35-39","Diagnosed with Depression and/or Anxiety",4.1,"Men","Age"
"24","35-39","Receiving treatment",14.3,"Men","Age"
"25","40-44","Diagnosed with Depression and/or Anxiety",4.9,"Men","Age"
"26","40-44","Receiving treatment",16.2,"Men","Age"
"27","45-49","Diagnosed with Depression and/or Anxiety",4.3,"Men","Age"
"28","45-49","Receiving treatment",29.2,"Men","Age"
"29","Urban","Diagnosed with Depression and/or Anxiety",4.3,"Women","Residence"
"30","Urban","Receiving treatment",27.8,"Women","Residence"
"31","Rural","Diagnosed with Depression and/or Anxiety",3.8,"Women","Residence"
"32","Rural","Receiving treatment",25.8,"Women","Residence"
"33","Urban","Diagnosed with Depression and/or Anxiety",3.4,"Men","Residence"
"34","Urban","Receiving treatment",20.4,"Men","Residence"
"35","Rural","Diagnosed with Depression and/or Anxiety",2.9,"Men","Residence"
"36","Rural","Receiving treatment",21.9,"Men","Residence"
"37","No education","Diagnosed with Depression and/or Anxiety",4.5,"Women","Education"
"38","No education","Receiving treatment",23.3,"Women","Education"
"39","Primary","Diagnosed with Depression and/or Anxiety",3.9,"Women","Education"
"40","Primary","Receiving treatment",22.9,"Women","Education"
"41","Secondary","Diagnosed with Depression and/or Anxiety",3.2,"Women","Education"
"42","Secondary","Receiving treatment",36.6,"Women","Education"
"43","More than secondary","Diagnosed with Depression and/or Anxiety",5.7,"Women","Education"
"44","More than secondary","Receiving treatment",21.5,"Women","Education"
"45","No education","Diagnosed with Depression and/or Anxiety",2.1,"Men","Education"
"46","No education","Receiving treatment",NA,"Men","Education"
"47","Primary","Diagnosed with Depression and/or Anxiety",3.3,"Men","Education"
"48","Primary","Receiving treatment",24.3,"Men","Education"
"49","Secondary","Diagnosed with Depression and/or Anxiety",2.2,"Men","Education"
"50","Secondary","Receiving treatment",18.8,"Men","Education"
"51","More than secondary","Diagnosed with Depression and/or Anxiety",4.6,"Men","Education"
"52","More than secondary","Receiving treatment",17.9,"Men","Education"
"53","Lowest","Diagnosed with Depression and/or Anxiety",3.9,"Women","Wealth quintile"
"54","Lowest","Receiving treatment",20.4,"Women","Wealth quintile"
"55","Second","Diagnosed with Depression and/or Anxiety",3.4,"Women","Wealth quintile"
"56","Second","Receiving treatment",22.6,"Women","Wealth quintile"
"57","Middle","Diagnosed with Depression and/or Anxiety",4.1,"Women","Wealth quintile"
"58","Middle","Receiving treatment",34.5,"Women","Wealth quintile"
"59","Fourth","Diagnosed with Depression and/or Anxiety",3.8,"Women","Wealth quintile"
"60","Fourth","Receiving treatment",24.6,"Women","Wealth quintile"
"61","Highest","Diagnosed with Depression and/or Anxiety",4.7,"Women","Wealth quintile"
"62","Highest","Receiving treatment",28.4,"Women","Wealth quintile"
"63","Lowest","Diagnosed with Depression and/or Anxiety",2.8,"Men","Wealth quintile"
"64","Lowest","Receiving treatment",31.8,"Men","Wealth quintile"
"65","Second","Diagnosed with Depression and/or Anxiety",3.2,"Men","Wealth quintile"
"66","Second","Receiving treatment",24.2,"Men","Wealth quintile"
"67","Middle","Diagnosed with Depression and/or Anxiety",2.4,"Men","Wealth quintile"
"68","Middle","Receiving treatment",16.3,"Men","Wealth quintile"
"69","Fourth","Diagnosed with Depression and/or Anxiety",2.7,"Men","Wealth quintile"
"70","Fourth","Receiving treatment",11.1,"Men","Wealth quintile"
"71","Highest","Diagnosed with Depression and/or Anxiety",4.3,"Men","Wealth quintile"
"72","Highest","Receiving treatment",24.3,"Men","Wealth quintile"
