Wealth_quintile,No_difficulty,Seeing,Hearing,Communicating,Remembering_concentrating,Walking_ClimbingSteps,WashingAllOver_dressing,SomeDifficulty,A_lot_of_difficulty,Cannot_do_at_all,A_lot_of_difficulty_cannot_do_at_all,A_lot_of_difficulty_cannot_do_at_all_more_than_one_domain,Number,Participants
Lowest,75.4,12.8,7.2,2.2,8.5,10.9,4.8,16.4,7.2,0.9,8.1,3.0,"6,188",Women
Second,74.6,13.8,5.9,1.5,8.5,11.1,3.4,18.2,6.4,0.6,7.0,2.0,"6,532",Women
Middle,75.8,13.4,4.3,1.4,7.1,11.7,3.9,17.6,6.0,0.4,6.4,2.0,"6,317",Women
Fourth,79.8,11.8,3.1,1.2,4.3,8.5,2.8,15.8,3.8,0.5,4.3,1.4,"6,318",Women
Highest,85.1,10.3,2.1,0.9,2.4,4.4,1.2,12.0,2.7,0.2,2.9,0.6,"6,718",Women
Lowest,79.9,9.9,5.4,2.7,6.0,7.4,4.3,13.3,5.5,1.1,6.7,2.0,"5,685",Men
Second,78.3,10.2,4.7,2.2,6.6,6.8,3.4,15.2,5.5,0.8,6.4,1.6,"5,988",Men
Middle,81.0,10.4,3.4,1.8,4.8,6.2,2.8,14.0,4.3,0.6,4.9,1.4,"6,034",Men
Fourth,83.5,9.1,2.5,1.3,3.5,4.8,2.0,13.1,2.4,0.7,3.1,0.7,"6,280",Men
Highest,86.8,8.2,1.7,0.7,2.1,2.7,1.0,11.4,1.4,0.3,1.7,0.3,"5,440",Men
