"","County","Count","Pregnancy","Percent","label"
"1","Mombasa",143,"Live birth",5.4,"5%"
"2","Mombasa",143,"Pregnancy loss",1,"1%"
"3","Mombasa",143,"Currently pregnant",2.9,"3%"
"4","Mombasa",143,"Ever pregnant",10.8,"11%"
"5","Kwale",118,"Live birth",11.5,"12%"
"6","Kwale",118,"Pregnancy loss",2.9,"3%"
"7","Kwale",118,"Currently pregnant",3.7,"4%"
"8","Kwale",118,"Ever pregnant",14.8,"15%"
"9","Kilifi",224,"Live birth",10.3,"10%"
"10","Kilifi",224,"Pregnancy loss",1.3,"1%"
"11","Kilifi",224,"Currently pregnant",3.8,"4%"
"12","Kilifi",224,"Ever pregnant",12.5,"12%"
"13","Tana River",27,"Live birth",12.4,"12%"
"14","Tana River",27,"Pregnancy loss",1.4,"1%"
"15","Tana River",27,"Currently pregnant",5.2,"5%"
"16","Tana River",27,"Ever pregnant",17.6,"18%"
"17","Lamu",24,"Live birth",11.5,"12%"
"18","Lamu",24,"Pregnancy loss",0.8,"1%"
"19","Lamu",24,"Currently pregnant",1.9,"2%"
"20","Lamu",24,"Ever pregnant",13.7,"14%"
"21","Taita Taveta",30,"Live birth",18.4,"18%"
"22","Taita Taveta",30,"Pregnancy loss",1.8,"2%"
"23","Taita Taveta",30,"Currently pregnant",1.8,"2%"
"24","Taita Taveta",30,"Ever pregnant",18.4,"18%"
"25","Garissa",85,"Live birth",11.6,"12%"
"26","Garissa",85,"Pregnancy loss",0.2,"<1%"
"27","Garissa",85,"Currently pregnant",4.2,"4%"
"28","Garissa",85,"Ever pregnant",14.8,"15%"
"29","Wajir",45,"Live birth",7.5,"8%"
"30","Wajir",45,"Pregnancy loss",0.5,"0%"
"31","Wajir",45,"Currently pregnant",5.9,"6%"
"32","Wajir",45,"Ever pregnant",10.8,"11%"
"33","Mandera",49,"Live birth",11.4,"11%"
"34","Mandera",49,"Pregnancy loss",0.4,"<1%"
"35","Mandera",49,"Currently pregnant",3,"3%"
"36","Mandera",49,"Ever pregnant",14.6,"15%"
"37","Marsabit",20,"Live birth",20.6,"21%"
"38","Marsabit",20,"Pregnancy loss",5.2,"5%"
"39","Marsabit",20,"Currently pregnant",9,"9%"
"40","Marsabit",20,"Ever pregnant",29.4,"29%"
"41","Isiolo",27,"Live birth",13.6,"14%"
"42","Isiolo",27,"Pregnancy loss",0.4,"<1%"
"43","Isiolo",27,"Currently pregnant",3.1,"3%"
"44","Isiolo",27,"Ever pregnant",16.7,"17%"
"45","Meru",206,"Live birth",16.9,"17%"
"46","Meru",206,"Pregnancy loss",1,"1%"
"47","Meru",206,"Currently pregnant",7.6,"8%"
"48","Meru",206,"Ever pregnant",23.6,"24%"
"49","Tharaka Nithi",39,"Live birth",9.1,"9%"
"50","Tharaka Nithi",39,"Pregnancy loss",0,"<1%"
"51","Tharaka Nithi",39,"Currently pregnant",0.8,"1%"
"52","Tharaka Nithi",39,"Ever pregnant",9.9,"10%"
"53","Embu",49,"Live birth",9.1,"9%"
"54","Embu",49,"Pregnancy loss",0.4,"<1%"
"55","Embu",49,"Currently pregnant",4.9,"5%"
"56","Embu",49,"Ever pregnant",14.4,"14%"
"57","Kitui",142,"Live birth",9.2,"9%"
"58","Kitui",142,"Pregnancy loss",0,"<1%"
"59","Kitui",142,"Currently pregnant",0,"<1%"
"60","Kitui",142,"Ever pregnant",9.2,"9%"
"61","Machakos",178,"Live birth",9.5,"10%"
"62","Machakos",178,"Pregnancy loss",0,"<1%"
"63","Machakos",178,"Currently pregnant",1.7,"2%"
"64","Machakos",178,"Ever pregnant",11.3,"11%"
"65","Makueni",151,"Live birth",8.2,"8%"
"66","Makueni",151,"Pregnancy loss",0,"<1%"
"67","Makueni",151,"Currently pregnant",2.9,"3%"
"68","Makueni",151,"Ever pregnant",11.1,"11%"
"69","Nyandarua",93,"Live birth",4.3,"4%"
"70","Nyandarua",93,"Pregnancy loss",0.2,"<1%"
"71","Nyandarua",93,"Currently pregnant",1.5,"2%"
"72","Nyandarua",93,"Ever pregnant",5.2,"5%"
"73","Nyeri",74,"Live birth",4.5,"4%"
"74","Nyeri",74,"Pregnancy loss",0,"<1%"
"75","Nyeri",74,"Currently pregnant",0,"<1%"
"76","Nyeri",74,"Ever pregnant",4.5,"4%"
"77","Kirinyaga",64,"Live birth",7.3,"7%"
"78","Kirinyaga",64,"Pregnancy loss",0,"<1%"
"79","Kirinyaga",64,"Currently pregnant",0,"<1%"
"80","Kirinyaga",64,"Ever pregnant",7.3,"7%"
"81","Muranga",139,"Live birth",3.8,"4%"
"82","Muranga",139,"Pregnancy loss",0,"<1%"
"83","Muranga",139,"Currently pregnant",3.6,"4%"
"84","Muranga",139,"Ever pregnant",7.4,"7%"
"85","Kiambu",267,"Live birth",8.3,"8%"
"86","Kiambu",267,"Pregnancy loss",0,"<1%"
"87","Kiambu",267,"Currently pregnant",3.6,"4%"
"88","Kiambu",267,"Ever pregnant",11.9,"12%"
"89","Turkana",56,"Live birth",15,"15%"
"90","Turkana",56,"Pregnancy loss",0,"<1%"
"91","Turkana",56,"Currently pregnant",4.4,"4%"
"92","Turkana",56,"Ever pregnant",18.5,"18%"
"93","West Pokot",82,"Live birth",32.2,"32%"
"94","West Pokot",82,"Pregnancy loss",2.7,"3%"
"95","West Pokot",82,"Currently pregnant",6.1,"6%"
"96","West Pokot",82,"Ever pregnant",36.3,"36%"
"97","Samburu",28,"Live birth",41.5,"42%"
"98","Samburu",28,"Pregnancy loss",5.2,"5%"
"99","Samburu",28,"Currently pregnant",8.7,"9%"
"100","Samburu",28,"Ever pregnant",50.1,"50%"
"101","Trans Nzoia",146,"Live birth",14.8,"15%"
"102","Trans Nzoia",146,"Pregnancy loss",1.9,"2%"
"103","Trans Nzoia",146,"Currently pregnant",2.6,"3%"
"104","Trans Nzoia",146,"Ever pregnant",17.8,"18%"
"105","Uasin Gishu",158,"Live birth",7.9,"8%"
"106","Uasin Gishu",158,"Pregnancy loss",1.9,"2%"
"107","Uasin Gishu",158,"Currently pregnant",5.3,"5%"
"108","Uasin Gishu",158,"Ever pregnant",10.7,"11%"
"109","Elgeyo Marakwet",32,"Live birth",9.6,"10%"
"110","Elgeyo Marakwet",32,"Pregnancy loss",1.4,"1%"
"111","Elgeyo Marakwet",32,"Currently pregnant",2.5,"2%"
"112","Elgeyo Marakwet",32,"Ever pregnant",12.1,"12%"
"113","Nandi",118,"Live birth",9.7,"10%"
"114","Nandi",118,"Pregnancy loss",0.8,"1%"
"115","Nandi",118,"Currently pregnant",0,"<1%"
"116","Nandi",118,"Ever pregnant",10.5,"10%"
"117","Baringo",86,"Live birth",14,"14%"
"118","Baringo",86,"Pregnancy loss",1.5,"2%"
"119","Baringo",86,"Currently pregnant",6.3,"6%"
"120","Baringo",86,"Ever pregnant",20.3,"20%"
"121","Laikipia",69,"Live birth",8.6,"9%"
"122","Laikipia",69,"Pregnancy loss",0.6,"1%"
"123","Laikipia",69,"Currently pregnant",1.3,"1%"
"124","Laikipia",69,"Ever pregnant",9.1,"9%"
"125","Nakuru",283,"Live birth",13.6,"14%"
"126","Nakuru",283,"Pregnancy loss",0.8,"1%"
"127","Nakuru",283,"Currently pregnant",3.7,"4%"
"128","Nakuru",283,"Ever pregnant",17.3,"17%"
"129","Narok",176,"Live birth",25.9,"26%"
"130","Narok",176,"Pregnancy loss",2.5,"2%"
"131","Narok",176,"Currently pregnant",3,"3%"
"132","Narok",176,"Ever pregnant",28.1,"28%"
"133","Kajiado",97,"Live birth",20.3,"20%"
"134","Kajiado",97,"Pregnancy loss",0,"<1%"
"135","Kajiado",97,"Currently pregnant",3,"3%"
"136","Kajiado",97,"Ever pregnant",21.8,"22%"
"137","Kericho",135,"Live birth",14.5,"14%"
"138","Kericho",135,"Pregnancy loss",0,"<1%"
"139","Kericho",135,"Currently pregnant",0,"<1%"
"140","Kericho",135,"Ever pregnant",14.5,"14%"
"141","Bomet",152,"Live birth",7.2,"7%"
"142","Bomet",152,"Pregnancy loss",1.2,"1%"
"143","Bomet",152,"Currently pregnant",1.2,"1%"
"144","Bomet",152,"Ever pregnant",9,"9%"
"145","Kakamega",328,"Live birth",12.3,"12%"
"146","Kakamega",328,"Pregnancy loss",0.5,"0%"
"147","Kakamega",328,"Currently pregnant",2.8,"3%"
