"County","Gender","variable","value"
"Mombasa","Female","Continued","1.7"
"Kwale","Female","Continued","0.0"
"Kilifi","Female","Continued","0.4"
"Tana River","Female","Continued","23.9"
"Lamu","Female","Continued","7.4"
"Taita Taveta","Female","Continued","3.3"
"Garissa","Female","Continued","70.2"
"Wajir","Female","Continued","79.2"
"Mandera","Female","Continued","90.4"
"Marsabit","Female","Continued","25.7"
"Isiolo","Female","Continued","19.8"
"Meru","Female","Continued","1.3"
"Tharaka Nithi","Female","Continued","3.6"
"Embu","Female","Continued","3.1"
"Kitui","Female","Continued","1.6"
"Machakos","Female","Continued","0.8"
"Makueni","Female","Continued","0.5"
"Nyandarua","Female","Continued","0.5"
"Nyeri","Female","Continued","0.0"
"Kirinyaga","Female","Continued","1.5"
"Muranga","Female","Continued","4.7"
"Kiambu","Female","Continued","1.2"
"Turkana","Female","Continued","3.7"
"West Pokot","Female","Continued","1.7"
"Samburu","Female","Continued","20.4"
"Trans Nzoia","Female","Continued","1.4"
"Uasin Gishu","Female","Continued","1.8"
"Elgeyo Marakwet","Female","Continued","1.0"
"Nandi","Female","Continued","0.6"
"Baringo","Female","Continued","4.8"
"Laikipia","Female","Continued","3.0"
"Nakuru","Female","Continued","1.8"
"Narok","Female","Continued","7.1"
"Kajiado","Female","Continued","4.7"
"Kericho","Female","Continued","0.7"
"Bomet","Female","Continued","5.5"
"Kakamega","Female","Continued","1.2"
"Vihiga","Female","Continued","0.6"
"Bungoma","Female","Continued","1.8"
"Busia","Female","Continued","0.3"
"Siaya","Female","Continued","0.9"
"Kisumu","Female","Continued","2.2"
"Homa Bay","Female","Continued","5.4"
"Migori","Female","Continued","3.7"
"Kisii","Female","Continued","8.6"
"Nyamira","Female","Continued","5.4"
"Nairobi","Female","Continued","1.6"
"Mombasa","Male","Continued","2.7"
"Kwale","Male","Continued","4.3"
"Kilifi","Male","Continued","0.5"
"Tana River","Male","Continued","16.9"
"Lamu","Male","Continued","12.3"
"Taita Taveta","Male","Continued","3.2"
"Garissa","Male","Continued","36.5"
"Wajir","Male","Continued","53.8"
"Mandera","Male","Continued","68.3"
"Marsabit","Male","Continued","31.6"
"Isiolo","Male","Continued","29.6"
"Meru","Male","Continued","4.0"
"Tharaka Nithi","Male","Continued","5.8"
"Embu","Male","Continued","2.2"
"Kitui","Male","Continued","1.8"
"Machakos","Male","Continued","1.5"
"Makueni","Male","Continued","3.4"
"Nyandarua","Male","Continued","6.1"
"Nyeri","Male","Continued","2.1"
"Kirinyaga","Male","Continued","0.0"
"Muranga","Male","Continued","11.6"
"Kiambu","Male","Continued","1.9"
"Turkana","Male","Continued","7.1"
"West Pokot","Male","Continued","0.7"
"Samburu","Male","Continued","32.6"
"Trans Nzoia","Male","Continued","2.9"
"Uasin Gishu","Male","Continued","0.8"
"Elgeyo Marakwet","Male","Continued","11.9"
"Nandi","Male","Continued","0.4"
"Baringo","Male","Continued","5.9"
"Laikipia","Male","Continued","4.9"
"Nakuru","Male","Continued","2.7"
"Narok","Male","Continued","10.6"
"Kajiado","Male","Continued","4.1"
"Kericho","Male","Continued","1.5"
"Bomet","Male","Continued","12.8"
"Kakamega","Male","Continued","3.8"
"Vihiga","Male","Continued","2.1"
"Bungoma","Male","Continued","2.9"
"Busia","Male","Continued","2.4"
"Siaya","Male","Continued","3.9"
"Kisumu","Male","Continued","0.3"
"Homa Bay","Male","Continued","10.0"
"Migori","Male","Continued","4.6"
"Kisii","Male","Continued","5.5"
"Nyamira","Male","Continued","2.4"
"Nairobi","Male","Continued","2.3"
"Mombasa","Female","Not continued","97.4"
"Kwale","Female","Not continued","99.6"
"Kilifi","Female","Not continued","97.0"
"Tana River","Female","Not continued","61.6"
"Lamu","Female","Not continued","90.9"
"Taita Taveta","Female","Not continued","96.1"
"Garissa","Female","Not continued","28.1"
"Wajir","Female","Not continued","17.5"
"Mandera","Female","Not continued","9.1"
"Marsabit","Female","Not continued","72.0"
"Isiolo","Female","Not continued","56.9"
"Meru","Female","Not continued","98.4"
