"","County","Category","Proportion","year","proportion_category"
"1","Mombasa","TFR",2.9,2022,"<4"
"2","Kwale","TFR",4.2,2022,">=4"
"3","Kilifi","TFR",3.4,2022,"<4"
"4","Tana River","TFR",5.7,2022,">=4"
"5","Lamu","TFR",4.6,2022,">=4"
"6","Taita Taveta","TFR",3.5,2022,"<4"
"7","Garissa","TFR",5.3,2022,">=4"
"8","Wajir","TFR",6.8,2022,">=4"
"9","Mandera","TFR",7.7,2022,">=4"
"10","Marsabit","TFR",6.3,2022,">=4"
"11","Isiolo","TFR",4.5,2022,">=4"
"12","Meru","TFR",3.4,2022,"<4"
"13","Tharaka Nithi","TFR",3.1,2022,"<4"
"14","Embu","TFR",3.1,2022,"<4"
"15","Kitui","TFR",3.2,2022,"<4"
"16","Machakos","TFR",2.8,2022,"<4"
"17","Makueni","TFR",3.3,2022,"<4"
"18","Nyandarua","TFR",3.6,2022,"<4"
"19","Nyeri","TFR",3.1,2022,"<4"
"20","Kirinyaga","TFR",2.8,2022,"<4"
"21","Muranga","TFR",3.5,2022,"<4"
"22","Kiambu","TFR",2.9,2022,"<4"
"23","Turkana","TFR",6,2022,">=4"
"24","West Pokot","TFR",6.9,2022,">=4"
"25","Samburu","TFR",5.8,2022,">=4"
"26","Trans Nzoia","TFR",3.6,2022,"<4"
"27","Uasin Gishu","TFR",3.1,2022,"<4"
"28","Elgeyo Marakwet","TFR",4.1,2022,">=4"
"29","Nandi","TFR",3,2022,"<4"
"30","Baringo","TFR",4.4,2022,">=4"
"31","Laikipia","TFR",3.4,2022,"<4"
"32","Nakuru","TFR",3.4,2022,"<4"
"33","Narok","TFR",4.9,2022,">=4"
"34","Kajiado","TFR",3.5,2022,"<4"
"35","Kericho","TFR",3.2,2022,"<4"
"36","Bomet","TFR",3.4,2022,"<4"
"37","Kakamega","TFR",3.7,2022,"<4"
"38","Vihiga","TFR",3.5,2022,"<4"
"39","Bungoma","TFR",3.6,2022,"<4"
"40","Busia","TFR",3.7,2022,"<4"
"41","Siaya","TFR",4,2022,">=4"
"42","Kisumu","TFR",3.5,2022,"<4"
"43","Homa Bay","TFR",3.7,2022,"<4"
"44","Migori","TFR",4.4,2022,">=4"
"45","Kisii","TFR",3,2022,"<4"
"46","Nyamira","TFR",2.7,2022,"<4"
"47","Nairobi","TFR",2.6,2022,"<4"
