Years,Family planning,Percent
1993,Total demand,68
1993,Unmet need,35
1993,Traditional methods:met need,6
1993,Modern methods:met need,27
1998,Total demand,67
1998,Unmet need,28
1998,Traditional methods:met need,8
1998,Modern methods:met need,32
2003,Total demand,67
2003,Unmet need,27
2003,Traditional methods:met need,8
2003,Modern methods:met need,32
2008,Total demand,71
2008,Unmet need,26
2008,Traditional methods:met need,6
2008,Modern methods:met need,39
2014,Total demand,76
2014,Unmet need,18
2014,Traditional methods:met need,5
2014,Modern methods:met need,53
2022,Total demand,76
2022,Unmet need,14
2022,Traditional methods:met need,6
2022,Modern methods:met need,57
