"Background characteristics","Type of violence experienced","variable","value"
"Controlling behavior","Any controlling behavior","Ever experienced","62.0"
"Controlling behavior","..Is jealous or angry if she talks to other men","Ever experienced","52.4"
"Controlling behavior","..Wrongly accuses her of being unfaithful","Ever experienced","20.8"
"Controlling behavior","..Does not permit her to meet her female friends","Ever experienced","15.6"
"Controlling behavior","..Tries to limit her contact with her family","Ever experienced","9.1"
"Controlling behavior","..Insists on knowing where she is at all times","Ever experienced","34.5"
"Physical violence","Any physical violence","Ever experienced","27.8"
"Physical violence","..Pushed her, shook her, or threw something at her","Ever experienced","13.2"
"Physical violence","..Slapped her","Ever experienced","22.9"
"Physical violence","..Twisted her arm or pulled her hair","Ever experienced","7.6"
"Physical violence","..Punched her with his fist or with something that could hurt her","Ever experienced","10.6"
"Physical violence","..Kicked her, dragged her, or beat her up","Ever experienced","13.7"
"Physical violence","..Tried to choke her or burn her on purpose","Ever experienced","3.5"
"Physical violence","..Attacked her with a knife, gun, or other weapon","Ever experienced","3.9"
"Sexual violence","Any sexual violence","Ever experienced","10.3"
"Sexual violence","..Physically forced her to have sexual intercourse with him when she did not want to","Ever experienced","9.5"
"Sexual violence","..Physically forced her to perform any other sexual acts she did not want to","Ever experienced","3.7"
"Sexual violence","..Forced her with threats or in any other way to perform sexual acts she did not want to","Ever experienced","2.8"
"Psychological/emotional violence","Any psychological/emotional violence","Ever experienced","29.9"
"Psychological/emotional violence","..Said or did something to humiliate her in front of others","Ever experienced","15.4"
"Psychological/emotional violence","..Threatened to hurt or harm her or someone she cared about","Ever experienced","12.1"
"Psychological/emotional violence","..Insulted her or made her feel bad about herself","Ever experienced","24.8"
"Economic violence","Restrict, exploit, or sabotage her ability to acquire or access or maintain economic resources","Ever experienced","10.7"
"Economic violence","At least three forms of controlling behaviors","Ever experienced","19.9"
"Economic violence","Any form of physical and/or sexual violence","Ever experienced","30.6"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Ever experienced","39.6"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Ever experienced","41.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Ever experienced","31.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Ever experienced","12.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Ever experienced","32.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Ever experienced","10.7"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Ever experienced","34.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Ever experienced","43.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Ever experienced","44.5"
"Controlling behavior","Any controlling behavior","Experienced in the last 12 months","51.3"
"Controlling behavior","..Is jealous or angry if she talks to other men","Experienced in the last 12 months","41.1"
"Controlling behavior","..Wrongly accuses her of being unfaithful","Experienced in the last 12 months","15.4"
"Controlling behavior","..Does not permit her to meet her female friends","Experienced in the last 12 months","12.0"
"Controlling behavior","..Tries to limit her contact with her family","Experienced in the last 12 months","6.5"
"Controlling behavior","..Insists on knowing where she is at all times","Experienced in the last 12 months","29.0"
"Physical violence","Any physical violence","Experienced in the last 12 months","15.8"
"Physical violence","..Pushed her, shook her, or threw something at her","Experienced in the last 12 months","8.0"
"Physical violence","..Slapped her","Experienced in the last 12 months","12.3"
"Physical violence","..Twisted her arm or pulled her hair","Experienced in the last 12 months","4.7"
"Physical violence","..Punched her with his fist or with something that could hurt her","Experienced in the last 12 months","6.0"
"Physical violence","..Kicked her, dragged her, or beat her up","Experienced in the last 12 months","7.5"
"Physical violence","..Tried to choke her or burn her on purpose","Experienced in the last 12 months","2.2"
"Physical violence","..Attacked her with a knife, gun, or other weapon","Experienced in the last 12 months","2.0"
"Sexual violence","Any sexual violence","Experienced in the last 12 months","7.0"
"Sexual violence","..Physically forced her to have sexual intercourse with him when she did not want to","Experienced in the last 12 months","6.2"
"Sexual violence","..Physically forced her to perform any other sexual acts she did not want to","Experienced in the last 12 months","2.6"
"Sexual violence","..Forced her with threats or in any other way to perform sexual acts she did not want to","Experienced in the last 12 months","1.9"
"Psychological/emotional violence","Any psychological/emotional violence","Experienced in the last 12 months","22.0"
"Psychological/emotional violence","..Said or did something to humiliate her in front of others","Experienced in the last 12 months","10.4"
"Psychological/emotional violence","..Threatened to hurt or harm her or someone she cared about","Experienced in the last 12 months","8.0"
"Psychological/emotional violence","..Insulted her or made her feel bad about herself","Experienced in the last 12 months","18.2"
"Economic violence","Restrict, exploit, or sabotage her ability to acquire or access or maintain economic resources","Experienced in the last 12 months","5.0"
"Economic violence","At least three forms of controlling behaviors","Experienced in the last 12 months","16.3"
"Economic violence","Any form of physical and/or sexual violence","Experienced in the last 12 months","18.6"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Experienced in the last 12 months","27.9"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months","29.2"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Experienced in the last 12 months","16.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Experienced in the last 12 months","7.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Experienced in the last 12 months","22.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Experienced in the last 12 months","7.3"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Experienced in the last 12 months","18.8"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Experienced in the last 12 months","28.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months","30.8"
"Controlling behavior","Any controlling behavior","Often","25.2"
"Controlling behavior","..Is jealous or angry if she talks to other men","Often","14.7"
"Controlling behavior","..Wrongly accuses her of being unfaithful","Often","4.5"
"Controlling behavior","..Does not permit her to meet her female friends","Often","4.7"
"Controlling behavior","..Tries to limit her contact with her family","Often","2.6"
"Controlling behavior","..Insists on knowing where she is at all times","Often","15.6"
"Physical violence","Any physical violence","Often","3.9"
"Physical violence","..Pushed her, shook her, or threw something at her","Often","1.9"
"Physical violence","..Slapped her","Often","2.5"
"Physical violence","..Twisted her arm or pulled her hair","Often","1.2"
"Physical violence","..Punched her with his fist or with something that could hurt her","Often","1.6"
"Physical violence","..Kicked her, dragged her, or beat her up","Often","1.8"
"Physical violence","..Tried to choke her or burn her on purpose","Often","0.6"
"Physical violence","..Attacked her with a knife, gun, or other weapon","Often","0.6"
"Sexual violence","Any sexual violence","Often","1.7"
"Sexual violence","..Physically forced her to have sexual intercourse with him when she did not want to","Often","1.5"
"Sexual violence","..Physically forced her to perform any other sexual acts she did not want to","Often","0.7"
"Sexual violence","..Forced her with threats or in any other way to perform sexual acts she did not want to","Often","0.5"
"Psychological/emotional violence","Any psychological/emotional violence","Often","6.5"
"Psychological/emotional violence","..Said or did something to humiliate her in front of others","Often","2.9"
"Psychological/emotional violence","..Threatened to hurt or harm her or someone she cared about","Often","2.4"
"Psychological/emotional violence","..Insulted her or made her feel bad about herself","Often","5.0"
"Economic violence","Restrict, exploit, or sabotage her ability to acquire or access or maintain economic resources","Often","2.2"
"Economic violence","At least three forms of controlling behaviors","Often","11.7"
"Economic violence","Any form of physical and/or sexual violence","Often","4.7"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Often","8.3"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Often","10.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Often","0.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Often","0.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Often","na"
"Controlling behavior","Any controlling behavior","Sometimes","26.1"
"Controlling behavior","..Is jealous or angry if she talks to other men","Sometimes","26.4"
"Controlling behavior","..Wrongly accuses her of being unfaithful","Sometimes","10.9"
"Controlling behavior","..Does not permit her to meet her female friends","Sometimes","7.3"
"Controlling behavior","..Tries to limit her contact with her family","Sometimes","3.8"
"Controlling behavior","..Insists on knowing where she is at all times","Sometimes","13.4"
"Physical violence","Any physical violence","Sometimes","11.9"
"Physical violence","..Pushed her, shook her, or threw something at her","Sometimes","6.1"
"Physical violence","..Slapped her","Sometimes","9.8"
"Physical violence","..Twisted her arm or pulled her hair","Sometimes","3.5"
"Physical violence","..Punched her with his fist or with something that could hurt her","Sometimes","4.4"
