"Background characteristics","Category","Gender","variable","value"
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Female","Ever","1.4"
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Female","Ever","4.5"
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Female","Ever","5.6"
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Female","Ever","6.2"
"Husband's education","No education","Female","Ever","3.0"
"Husband's education","Primary","Female","Ever","2.6"
"Husband's education","Secondary","Female","Ever","1.9"
"Husband's education","More than secondary","Female","Ever","2.7"
"Husband's education","DK/missing","Female","Ever","6.0"
"Spousal education difference","Husband better educated","Female","Ever","2.0"
"Spousal education difference","Wife better educated","Female","Ever","3.8"
"Spousal education difference","Both equally educated","Female","Ever","1.9"
"Spousal education difference","Neither educated","Female","Ever","1.7"
"Spousal age difference","Wife older","Female","Ever","3.5"
"Spousal age difference","Wife is same age","Female","Ever","5.7"
"Spousal age difference","Wife 1-4 years younger","Female","Ever","2.7"
"Spousal age difference","Wife 5-9 years younger","Female","Ever","1.8"
"Spousal age difference","Wife 10 or more years younger","Female","Ever","1.9"
"Number of decisions in which he/she participates","0","Female","Ever","1.7"
"Number of decisions in which he/she participates","1","Female","Ever","2.0"
"Number of decisions in which he/she participates","2","Female","Ever","2.6"
"Number of controlling behaviors displayed by spouse/intimate partner","0","Female","Ever","0.9"
"Number of controlling behaviors displayed by spouse/intimate partner","1-2","Female","Ever","2.3"
"Number of controlling behaviors displayed by spouse/intimate partner","3-4","Female","Ever","5.9"
"Number of controlling behaviors displayed by spouse/intimate partner","5","Female","Ever","11.4"
"Number of reasons for which wife beating is justified","0","Female","Ever","2.5"
"Number of reasons for which wife beating is justified","1","Female","Ever","3.0"
"Number of reasons for which wife beating is justified","2","Female","Ever","2.9"
"Number of reasons for which wife beating is justified","3","Female","Ever","3.0"
"Father beat mother","Yes","Female","Ever","4.0"
"Father beat mother","No","Female","Ever","1.7"
"Father beat mother","Don't know","Female","Ever","6.2"
"Mother beat father","Yes","Female","Ever","14.1"
"Mother beat father","No","Female","Ever","2.1"
"Mother beat father","Don't know","Female","Ever","6.2"
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Female","Ever","3.3"
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Female","Ever","4.4"
"Respondent afraid of spouse/intimate partner","Never afraid","Female","Ever","2.1"
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Male","Ever","18.2"
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Male","Ever","23.6"
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Male","Ever","37.7"
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Male","Ever","43.0"
"Husband's education","No education","Male","Ever","na"
"Husband's education","Primary","Male","Ever","na"
"Husband's education","Secondary","Male","Ever","na"
"Husband's education","More than secondary","Male","Ever","na"
"Husband's education","DK/missing","Male","Ever","na"
"Spousal education difference","Husband better educated","Male","Ever","na"
"Spousal education difference","Wife better educated","Male","Ever","na"
"Spousal education difference","Both equally educated","Male","Ever","na"
"Spousal education difference","Neither educated","Male","Ever","na"
"Spousal age difference","Wife older","Male","Ever","na"
"Spousal age difference","Wife is same age","Male","Ever","na"
"Spousal age difference","Wife 1-4 years younger","Male","Ever","na"
"Spousal age difference","Wife 5-9 years younger","Male","Ever","na"
"Spousal age difference","Wife 10 or more years younger","Male","Ever","na"
"Number of decisions in which he/she participates","0","Male","Ever","16.3"
"Number of decisions in which he/she participates","1","Male","Ever","23.8"
"Number of decisions in which he/she participates","2","Male","Ever","-"
"Number of controlling behaviors
displayed by spouse/intimate partner","0","Male","Ever","9.2"
"Number of controlling behaviors
displayed by spouse/intimate partner","1-2","Male","Ever","18.1"
"Number of controlling behaviors
displayed by spouse/intimate partner","3-4","Male","Ever","30.6"
"Number of controlling behaviors
displayed by spouse/intimate partner","5","Male","Ever","28.4"
"Number of reasons for which wife beating is justified","0","Male","Ever","13.4"
"Number of reasons for which wife beating is justified","1","Male","Ever","33.9"
"Number of reasons for which wife beating is justified","2","Male","Ever","34.3"
"Number of reasons for which wife beating is justified","3","Male","Ever","25.5"
"Father beat mother","Yes","Male","Ever","29.8"
"Father beat mother","No","Male","Ever","12.1"
"Father beat mother","Don't know","Male","Ever","17.7"
"Mother beat father","Yes","Male","Ever","27.1"
"Mother beat father","No","Male","Ever","19.0"
"Mother beat father","Don't know","Male","Ever","18.4"
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Male","Ever","43.6"
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Male","Ever","33.3"
"Respondent afraid of spouse/intimate partner","Never afraid","Male","Ever","17.9"
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Female","Last 12 months","0.8"
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Female","Last 12 months","2.3"
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Female","Last 12 months","3.6"
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Female","Last 12 months","4.7"
"Husband's education","No education","Female","Last 12 months","1.7"
"Husband's education","Primary","Female","Last 12 months","2.0"
"Husband's education","Secondary","Female","Last 12 months","1.6"
"Husband's education","More than secondary","Female","Last 12 months","1.5"
"Husband's education","DK/missing","Female","Last 12 months","4.8"
"Spousal education difference","Husband better educated","Female","Last 12 months","1.6"
"Spousal education difference","Wife better educated","Female","Last 12 months","2.6"
"Spousal education difference","Both equally educated","Female","Last 12 months","1.5"
"Spousal education difference","Neither educated","Female","Last 12 months","1.1"
"Spousal age difference","Wife older","Female","Last 12 months","3.1"
"Spousal age difference","Wife is same age","Female","Last 12 months","4.5"
"Spousal age difference","Wife 1-4 years younger","Female","Last 12 months","1.8"
"Spousal age difference","Wife 5-9 years younger","Female","Last 12 months","1.3"
"Spousal age difference","Wife 10 or more years younger","Female","Last 12 months","1.5"
"Number of decisions in which he/she participates","0","Female","Last 12 months","1.3"
"Number of decisions in which he/she participates","1","Female","Last 12 months","1.6"
"Number of decisions in which he/she participates","2","Female","Last 12 months","1.9"
"Number of controlling behaviors displayed by spouse/intimate partner","0","Female","Last 12 months","0.6"
"Number of controlling behaviors displayed by spouse/intimate partner","1-2","Female","Last 12 months","1.3"
"Number of controlling behaviors displayed by spouse/intimate partner","3-4","Female","Last 12 months","4.2"
"Number of controlling behaviors displayed by spouse/intimate partner","5","Female","Last 12 months","8.8"
