"Source","Gender","variable","value"
"Own family","Female","Physical only","62.1"
"Husband/intimate partner's family","Female","Physical only","32.4"
"Current/former husband/intimate partner","Female","Physical only","1.6"
"Current/former boyfriend","Female","Physical only","0.3"
"Friend","Female","Physical only","14.6"
"Neighbor","Female","Physical only","7.9"
"Religious leader","Female","Physical only","5.2"
"Doctor/medical personnel","Female","Physical only","2.6"
"Police","Female","Physical only","10.4"
"Lawyer","Female","Physical only","0.6"
"Social work organization","Female","Physical only","1.4"
"Other","Female","Physical only","16.8"
"Own family","Male","Physical only","48.3"
"Husband/intimate partner's family","Male","Physical only","4.0"
"Current/former husband/intimate partner","Male","Physical only","0.2"
"Current/former boyfriend","Male","Physical only","0.1"
"Friend","Male","Physical only","15.6"
"Neighbor","Male","Physical only","3.0"
"Religious leader","Male","Physical only","4.2"
"Doctor/medical personnel","Male","Physical only","6.0"
"Police","Male","Physical only","25.9"
"Lawyer","Male","Physical only","0.0"
"Social work organization","Male","Physical only","2.7"
"Other","Male","Physical only","27.4"
"Own family","Female","Sexual only","58.2"
"Husband/intimate partner's family","Female","Sexual only","5.1"
"Current/former husband/intimate partner","Female","Sexual only","0.0"
"Current/former boyfriend","Female","Sexual only","0.1"
"Friend","Female","Sexual only","21.1"
"Neighbor","Female","Sexual only","4.9"
"Religious leader","Female","Sexual only","9.0"
"Doctor/medical personnel","Female","Sexual only","2.2"
"Police","Female","Sexual only","14.6"
"Lawyer","Female","Sexual only","0.0"
"Social work organization","Female","Sexual only","0.0"
"Other","Female","Sexual only","15.2"
"Own family","Male","Sexual only","52.6"
"Husband/intimate partner's family","Male","Sexual only","3.6"
"Current/former husband/intimate partner","Male","Sexual only","0.0"
"Current/former boyfriend","Male","Sexual only","0.0"
"Friend","Male","Sexual only","45.1"
"Neighbor","Male","Sexual only","13.8"
"Religious leader","Male","Sexual only","12.3"
"Doctor/medical personnel","Male","Sexual only","0.0"
"Police","Male","Sexual only","0.0"
"Lawyer","Male","Sexual only","0.0"
"Social work organization","Male","Sexual only","0.0"
"Other","Male","Sexual only","10.1"
"Own family","Female","Both physical and sexual","69.3"
"Husband/intimate partner's family","Female","Both physical and sexual","35.4"
"Current/former husband/intimate partner","Female","Both physical and sexual","2.1"
"Current/former boyfriend","Female","Both physical and sexual","0.2"
"Friend","Female","Both physical and sexual","21.5"
"Neighbor","Female","Both physical and sexual","10.6"
"Religious leader","Female","Both physical and sexual","11.1"
"Doctor/medical personnel","Female","Both physical and sexual","3.0"
"Police","Female","Both physical and sexual","13.6"
"Lawyer","Female","Both physical and sexual","0.4"
"Social work organization","Female","Both physical and sexual","2.1"
"Other","Female","Both physical and sexual","20.0"
"Own family","Male","Both physical and sexual","39.9"
"Husband/intimate partner's family","Male","Both physical and sexual","5.2"
"Current/former husband/intimate partner","Male","Both physical and sexual","0.0"
"Current/former boyfriend","Male","Both physical and sexual","0.0"
"Friend","Male","Both physical and sexual","25.2"
"Neighbor","Male","Both physical and sexual","3.2"
"Religious leader","Male","Both physical and sexual","4.3"
"Doctor/medical personnel","Male","Both physical and sexual","4.5"
"Police","Male","Both physical and sexual","28.2"
"Lawyer","Male","Both physical and sexual","1.6"
"Social work organization","Male","Both physical and sexual","0.8"
"Other","Male","Both physical and sexual","27.2"
"Own family","Female","Physical or sexual violence","64.3"
"Husband/intimate partner's family","Female","Physical or sexual violence","31.6"
"Current/former husband/intimate partner","Female","Physical or sexual violence","1.7"
"Current/former boyfriend","Female","Physical or sexual violence","0.3"
"Friend","Female","Physical or sexual violence","17.4"
"Neighbor","Female","Physical or sexual violence","8.6"
"Religious leader","Female","Physical or sexual violence","7.5"
"Doctor/medical personnel","Female","Physical or sexual violence","2.7"
"Police","Female","Physical or sexual violence","11.8"
"Lawyer","Female","Physical or sexual violence","0.5"
"Social work organization","Female","Physical or sexual violence","1.5"
"Other","Female","Physical or sexual violence","17.8"
"Own family","Male","Physical or sexual violence","46.7"
"Husband/intimate partner's family","Male","Physical or sexual violence","4.3"
"Current/former husband/intimate partner","Male","Physical or sexual violence","0.2"
"Current/former boyfriend","Male","Physical or sexual violence","0.1"
"Friend","Male","Physical or sexual violence","19.2"
"Neighbor","Male","Physical or sexual violence","3.6"
"Religious leader","Male","Physical or sexual violence","4.7"
"Doctor/medical personnel","Male","Physical or sexual violence","5.3"
"Police","Male","Physical or sexual violence","25.1"
"Lawyer","Male","Physical or sexual violence","0.3"
"Social work organization","Male","Physical or sexual violence","2.1"
"Other","Male","Physical or sexual violence","26.5"
