County,Gender,variable,value
Mombasa,Female,Percentage who have experienced physical violence since age 15,24.5
Kwale,Female,Percentage who have experienced physical violence since age 15,13.1
Kilifi,Female,Percentage who have experienced physical violence since age 15,20.1
Tana River,Female,Percentage who have experienced physical violence since age 15,35.8
Lamu,Female,Percentage who have experienced physical violence since age 15,33.9
Taita Taveta,Female,Percentage who have experienced physical violence since age 15,29.5
Garissa,Female,Percentage who have experienced physical violence since age 15,21
Wajir,Female,Percentage who have experienced physical violence since age 15,13.2
Mandera,Female,Percentage who have experienced physical violence since age 15,8.6
Marsabit,Female,Percentage who have experienced physical violence since age 15,16.4
Isiolo,Female,Percentage who have experienced physical violence since age 15,45.6
Meru,Female,Percentage who have experienced physical violence since age 15,35.8
Tharaka Nithi,Female,Percentage who have experienced physical violence since age 15,34.6
Embu,Female,Percentage who have experienced physical violence since age 15,40.3
Kitui,Female,Percentage who have experienced physical violence since age 15,11.5
Machakos,Female,Percentage who have experienced physical violence since age 15,25.7
Makueni,Female,Percentage who have experienced physical violence since age 15,22.7
Nyandarua,Female,Percentage who have experienced physical violence since age 15,24.3
Nyeri,Female,Percentage who have experienced physical violence since age 15,36.9
Kirinyaga,Female,Percentage who have experienced physical violence since age 15,39.6
Muranga,Female,Percentage who have experienced physical violence since age 15,53.7
Kiambu,Female,Percentage who have experienced physical violence since age 15,41.7
Turkana,Female,Percentage who have experienced physical violence since age 15,42.4
West Pokot,Female,Percentage who have experienced physical violence since age 15,27.1
Samburu,Female,Percentage who have experienced physical violence since age 15,48.6
Trans Nzoia,Female,Percentage who have experienced physical violence since age 15,40.8
Uasin Gishu,Female,Percentage who have experienced physical violence since age 15,41.9
Elgeyo Marakwet,Female,Percentage who have experienced physical violence since age 15,30.2
Nandi,Female,Percentage who have experienced physical violence since age 15,39.4
Baringo,Female,Percentage who have experienced physical violence since age 15,37.9
Laikipia,Female,Percentage who have experienced physical violence since age 15,34.5
Nakuru,Female,Percentage who have experienced physical violence since age 15,23.5
Narok,Female,Percentage who have experienced physical violence since age 15,40.5
Kajiado,Female,Percentage who have experienced physical violence since age 15,36.1
Kericho,Female,Percentage who have experienced physical violence since age 15,16.3
Bomet,Female,Percentage who have experienced physical violence since age 15,32.8
Kakamega,Female,Percentage who have experienced physical violence since age 15,40.1
Vihiga,Female,Percentage who have experienced physical violence since age 15,33.8
Bungoma,Female,Percentage who have experienced physical violence since age 15,62.2
Busia,Female,Percentage who have experienced physical violence since age 15,38.4
Siaya,Female,Percentage who have experienced physical violence since age 15,23.6
Kisumu,Female,Percentage who have experienced physical violence since age 15,36
Homa Bay,Female,Percentage who have experienced physical violence since age 15,53.5
Migori,Female,Percentage who have experienced physical violence since age 15,51.1
Kisii,Female,Percentage who have experienced physical violence since age 15,35.7
