"","County","Category","Proportion","Participants"
"1","Mombasa","Radio",58.7,"Women"
"2","Mombasa","Television",57.6,"Women"
"3","Mombasa","Newspaper/magazine",22.2,"Women"
"4","Mombasa","Mobile phone",23.1,"Women"
"5","Mombasa","Social media",42.2,"Women"
"6","Mombasa","Poster/leaflet/brochure",47.6,"Women"
"7","Mombasa","Outdoor sign/billboard",41.8,"Women"
"8","Mombasa","Community meeting/events",52.1,"Women"
"9","Mombasa","Friends/peers",75.6,"Women"
"10","Mombasa","Internet",39.4,"Women"
"11","Kwale","Radio",59.1,"Women"
"12","Kwale","Television",42,"Women"
"13","Kwale","Newspaper/magazine",23.2,"Women"
"14","Kwale","Mobile phone",28.3,"Women"
"15","Kwale","Social media",31.8,"Women"
"16","Kwale","Poster/leaflet/brochure",36.7,"Women"
"17","Kwale","Outdoor sign/billboard",47.3,"Women"
"18","Kwale","Community meeting/events",72.9,"Women"
"19","Kwale","Friends/peers",91.4,"Women"
"20","Kwale","Internet",31,"Women"
"21","Kilifi","Radio",40.9,"Women"
"22","Kilifi","Television",28.3,"Women"
"23","Kilifi","Newspaper/magazine",9.1,"Women"
"24","Kilifi","Mobile phone",9.3,"Women"
"25","Kilifi","Social media",13.1,"Women"
"26","Kilifi","Poster/leaflet/brochure",18.1,"Women"
"27","Kilifi","Outdoor sign/billboard",12.9,"Women"
"28","Kilifi","Community meeting/events",54.7,"Women"
"29","Kilifi","Friends/peers",83.7,"Women"
"30","Kilifi","Internet",15.8,"Women"
"31","Tana River","Radio",18.5,"Women"
"32","Tana River","Television",14,"Women"
"33","Tana River","Newspaper/magazine",2.4,"Women"
"34","Tana River","Mobile phone",5.2,"Women"
"35","Tana River","Social media",7.2,"Women"
"36","Tana River","Poster/leaflet/brochure",19.2,"Women"
"37","Tana River","Outdoor sign/billboard",14.5,"Women"
"38","Tana River","Community meeting/events",32.3,"Women"
"39","Tana River","Friends/peers",55.5,"Women"
"40","Tana River","Internet",11.3,"Women"
"41","Lamu","Radio",38.6,"Women"
"42","Lamu","Television",35.3,"Women"
"43","Lamu","Newspaper/magazine",9.2,"Women"
"44","Lamu","Mobile phone",9,"Women"
"45","Lamu","Social media",14.1,"Women"
"46","Lamu","Poster/leaflet/brochure",37.6,"Women"
"47","Lamu","Outdoor sign/billboard",32.7,"Women"
"48","Lamu","Community meeting/events",17.9,"Women"
"49","Lamu","Friends/peers",71.4,"Women"
"50","Lamu","Internet",15.4,"Women"
"51","Taita Taveta","Radio",60.8,"Women"
"52","Taita Taveta","Television",51.5,"Women"
"53","Taita Taveta","Newspaper/magazine",15.2,"Women"
"54","Taita Taveta","Mobile phone",10.3,"Women"
"55","Taita Taveta","Social media",32.4,"Women"
"56","Taita Taveta","Poster/leaflet/brochure",38.3,"Women"
"57","Taita Taveta","Outdoor sign/billboard",25.9,"Women"
"58","Taita Taveta","Community meeting/events",31.7,"Women"
"59","Taita Taveta","Friends/peers",72.1,"Women"
"60","Taita Taveta","Internet",23.9,"Women"
"61","Garissa","Radio",33,"Women"
"62","Garissa","Television",35,"Women"
"63","Garissa","Newspaper/magazine",19.6,"Women"
"64","Garissa","Mobile phone",21.3,"Women"
"65","Garissa","Social media",23.2,"Women"
"66","Garissa","Poster/leaflet/brochure",19.2,"Women"
"67","Garissa","Outdoor sign/billboard",20,"Women"
"68","Garissa","Community meeting/events",38.4,"Women"
"69","Garissa","Friends/peers",47.5,"Women"
"70","Garissa","Internet",24.7,"Women"
"71","Wajir","Radio",15.3,"Women"
"72","Wajir","Television",7.3,"Women"
"73","Wajir","Newspaper/magazine",4.4,"Women"
"74","Wajir","Mobile phone",2,"Women"
"75","Wajir","Social media",10.9,"Women"
"76","Wajir","Poster/leaflet/brochure",1.2,"Women"
"77","Wajir","Outdoor sign/billboard",2.1,"Women"
"78","Wajir","Community meeting/events",10.1,"Women"
"79","Wajir","Friends/peers",43.6,"Women"
"80","Wajir","Internet",6.9,"Women"
"81","Mandera","Radio",4.2,"Women"
"82","Mandera","Television",2.6,"Women"
"83","Mandera","Newspaper/magazine",0.9,"Women"
"84","Mandera","Mobile phone",1.8,"Women"
"85","Mandera","Social media",2.4,"Women"
"86","Mandera","Poster/leaflet/brochure",1,"Women"
"87","Mandera","Outdoor sign/billboard",0.9,"Women"
"88","Mandera","Community meeting/events",17.2,"Women"
"89","Mandera","Friends/peers",41.8,"Women"
"90","Mandera","Internet",3.2,"Women"
"91","Marsabit","Radio",13.1,"Women"
"92","Marsabit","Television",7.3,"Women"
"93","Marsabit","Newspaper/magazine",3,"Women"
"94","Marsabit","Mobile phone",3.3,"Women"
"95","Marsabit","Social media",3.5,"Women"
"96","Marsabit","Poster/leaflet/brochure",4.2,"Women"
