Background characteristic,Indicator,Alone,Jointly ,Both alone and jointly ,Percentage who do not own land,Total,Number
Age,15–20,0,0.4,0.1,99.4,100,"6,025"
Age,20–25,0.3,2,0.1,97.6,100,"6,001"
Age,25–30,1.1,5.9,0,93.1,100,"5,687"
Age,30–35,1.6,7.1,0.1,91.3,100,"4,530"
Age,35–40,2.7,8.4,0.3,88.6,100,"4,311"
Age,40–45,2.9,9.4,0.3,87.4,100,"3,084"
Age,45–50,3.4,9.3,0.1,87.2,100,"2,518"
Urban,Urban,1.7,5.1,0.1,93.2,100,"13,143"
Rural,Rural,1.2,5.3,0.2,93.3,100,"19,013"
Education,No education,1.7,5.2,0.1,92.9,100,"1,770"
Education,Primary,1.1,4.5,0.1,94.2,100,"11,687"
Education,Secondary,0.8,3.8,0.1,95.2,100,"12,204"
Education,More than secondary,2.8,9.4,0.2,87.7,100,"6,150"
Wealth quintile,Lowest,0.8,3.8,0.1,95.3,100,"5,019"
Wealth quintile,Second,0.9,3.1,0.2,95.8,100,"5,698"
Wealth quintile,Middle,1,4.9,0.1,93.9,100,"6,069"
Wealth quintile,Fourth,1.6,5.5,0.1,92.8,100,"7,139"
Wealth quintile,Highest,2.1,7.6,0.1,90.2,100,"8,231"
Total,Total,1.4,5.2,0.1,93.3,100,"32,156"
