County,Gender,variable,value
Mombasa,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,39.5
Kwale,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,27.1
Kilifi,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,46.1
Tana River,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,34.6
Lamu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,40.7
Taita Taveta,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,34.5
Garissa,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,13.7
Wajir,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,44.5
Mandera,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,5.9
Marsabit,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,25.6
Isiolo,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,42.3
Meru,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,42.2
Tharaka Nithi,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,36.5
Embu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,38.2
Kitui,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,43.3
Machakos,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,51.3
Makueni,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,40.1
Nyandarua,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,43.2
Nyeri,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,47.2
Kirinyaga,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,45.8
Muranga,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,38.4
Kiambu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,43.9
Turkana,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,33.6
West Pokot,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,26.9
Samburu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,36.5
Trans Nzoia,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,48.6
Uasin Gishu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,45.8
Elgeyo Marakwet,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,45.1
Nandi,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,38.4
Baringo,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,36.8
Laikipia,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,45.4
Nakuru,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,44.9
Narok,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,40.6
Kajiado,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,41.2
Kericho,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,40
Bomet,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,35.1
Kakamega,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,33.8
Vihiga,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,42.4
Bungoma,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,38.2
Busia,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,40.7
Siaya,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,38.5
Kisumu,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,47.2
Homa Bay,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,37.8
Migori,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,39.6
Kisii,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,42.4
Nyamira,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,46
Nairobi,Female,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,44.8
Mombasa,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,76.6
Kwale,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,63.1
Kilifi,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,90
Tana River,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,74.5
Lamu,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,92.8
Taita Taveta,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,70.9
Garissa,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,98.1
Wajir,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,53.9
Mandera,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,37.8
Marsabit,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,77
Isiolo,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,84.4
Meru,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,71.4
Tharaka Nithi,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,80.4
Embu,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,83.9
Kitui,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,48.2
Machakos,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,62.5
Makueni,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,69.8
Nyandarua,Male,Refusing to have sexual intercourse with her husband if she knows he has sex with other women,76.6
