"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Mainly wife","11.6"
"Age","20-24","Female","Mainly wife","8.5"
"Age","25-29","Female","Mainly wife","7.9"
"Age","30-34","Female","Mainly wife","8.0"
"Age","35-39","Female","Mainly wife","8.7"
"Age","40-44","Female","Mainly wife","9.0"
"Age","45-49","Female","Mainly wife","7.8"
"Number of living children","0","Female","Mainly wife","8.3"
"Number of living children","1-2","Female","Mainly wife","7.7"
"Number of living children","3-4","Female","Mainly wife","7.9"
"Number of living children","5+","Female","Mainly wife","10.8"
"Residence","Urban","Female","Mainly wife","8.2"
"Residence","Rural","Female","Mainly wife","8.5"
"Education","No education","Female","Mainly wife","12.3"
"Education","Primary","Female","Mainly wife","9.1"
"Education","Secondary","Female","Mainly wife","8.3"
"Education","More than secondary","Female","Mainly wife","5.4"
"Wealth quintile","Lowest","Female","Mainly wife","10.5"
"Wealth quintile","Second","Female","Mainly wife","9.4"
"Wealth quintile","Middle","Female","Mainly wife","8.3"
"Wealth quintile","Fourth","Female","Mainly wife","7.1"
"Wealth quintile","Highest","Female","Mainly wife","7.5"
"Age","15-19","Male","Mainly wife","*"
"Age","20-24","Male","Mainly wife","5.1"
"Age","25-29","Male","Mainly wife","8.7"
"Age","30-34","Male","Mainly wife","5.2"
"Age","35-39","Male","Mainly wife","10.8"
"Age","40-44","Male","Mainly wife","6.9"
"Age","45-49","Male","Mainly wife","5.8"
"Number of living children","0","Male","Mainly wife","7.1"
"Number of living children","1-2","Male","Mainly wife","9.8"
"Number of living children","3-4","Male","Mainly wife","5.9"
"Number of living children","5+","Male","Mainly wife","4.5"
"Residence","Urban","Male","Mainly wife","13.1"
"Residence","Rural","Male","Mainly wife","2.9"
"Education","No education","Male","Mainly wife","8.8"
"Education","Primary","Male","Mainly wife","5.4"
"Education","Secondary","Male","Mainly wife","9.9"
"Education","More than secondary","Male","Mainly wife","7.5"
"Wealth quintile","Lowest","Male","Mainly wife","4.9"
"Wealth quintile","Second","Male","Mainly wife","4.2"
"Wealth quintile","Middle","Male","Mainly wife","2.0"
"Wealth quintile","Fourth","Male","Mainly wife","9.8"
"Wealth quintile","Highest","Male","Mainly wife","12.3"
"Age","15-19","Female","Wife and husband jointly","53.8"
"Age","20-24","Female","Wife and husband jointly","56.1"
"Age","25-29","Female","Wife and husband jointly","54.8"
"Age","30-34","Female","Wife and husband jointly","51.8"
"Age","35-39","Female","Wife and husband jointly","47.0"
"Age","40-44","Female","Wife and husband jointly","46.5"
"Age","45-49","Female","Wife and husband jointly","51.1"
"Number of living children","0","Female","Wife and husband jointly","62.3"
"Number of living children","1-2","Female","Wife and husband jointly","55.0"
"Number of living children","3-4","Female","Wife and husband jointly","50.0"
"Number of living children","5+","Female","Wife and husband jointly","43.1"
"Residence","Urban","Female","Wife and husband jointly","53.9"
"Residence","Rural","Female","Wife and husband jointly","50.1"
"Education","No education","Female","Wife and husband jointly","39.7"
"Education","Primary","Female","Wife and husband jointly","47.7"
"Education","Secondary","Female","Wife and husband jointly","53.7"
"Education","More than secondary","Female","Wife and husband jointly","60.6"
"Wealth quintile","Lowest","Female","Wife and husband jointly","44.1"
"Wealth quintile","Second","Female","Wife and husband jointly","48.5"
"Wealth quintile","Middle","Female","Wife and husband jointly","52.0"
"Wealth quintile","Fourth","Female","Wife and husband jointly","53.9"
"Wealth quintile","Highest","Female","Wife and husband jointly","56.0"
"Age","15-19","Male","Wife and husband jointly","*"
"Age","20-24","Male","Wife and husband jointly","48.1"
"Age","25-29","Male","Wife and husband jointly","45.7"
"Age","30-34","Male","Wife and husband jointly","47.4"
"Age","35-39","Male","Wife and husband jointly","50.1"
"Age","40-44","Male","Wife and husband jointly","52.1"
"Age","45-49","Male","Wife and husband jointly","53.9"
"Number of living children","0","Male","Wife and husband jointly","44.6"
"Number of living children","1-2","Male","Wife and husband jointly","45.7"
"Number of living children","3-4","Male","Wife and husband jointly","53.7"
"Number of living children","5+","Male","Wife and husband jointly","52.9"
"Residence","Urban","Male","Wife and husband jointly","40.1"
"Residence","Rural","Male","Wife and husband jointly","57.1"
"Education","No education","Male","Wife and husband jointly","37.6"
"Education","Primary","Male","Wife and husband jointly","52.8"
"Education","Secondary","Male","Wife and husband jointly","47.6"
"Education","More than secondary","Male","Wife and husband jointly","48.1"
"Wealth quintile","Lowest","Male","Wife and husband jointly","54.4"
"Wealth quintile","Second","Male","Wife and husband jointly","59.3"
"Wealth quintile","Middle","Male","Wife and husband jointly","56.3"
"Wealth quintile","Fourth","Male","Wife and husband jointly","43.6"
"Wealth quintile","Highest","Male","Wife and husband jointly","42.0"
"Age","15-19","Female","Mainly husband","34.6"
"Age","20-24","Female","Mainly husband","35.3"
"Age","25-29","Female","Mainly husband","37.3"
"Age","30-34","Female","Mainly husband","40.2"
"Age","35-39","Female","Mainly husband","44.3"
"Age","40-44","Female","Mainly husband","44.4"
"Age","45-49","Female","Mainly husband","41.0"
