"County","variable","value"
"Mombasa","Woman's own health care","81.4"
"Kwale","Woman's own health care","81.3"
"Kilifi","Woman's own health care","83.7"
"Tana River","Woman's own health care","60.2"
"Lamu","Woman's own health care","84.5"
"Taita Taveta","Woman's own health care","83.8"
"Garissa","Woman's own health care","74.7"
"Wajir","Woman's own health care","89.6"
"Mandera","Woman's own health care","55.2"
"Marsabit","Woman's own health care","88.8"
"Isiolo","Woman's own health care","90.9"
"Meru","Woman's own health care","79.1"
"Tharaka-Nithi","Woman's own health care","79.2"
"Embu","Woman's own health care","79.0"
"Kitui","Woman's own health care","95.3"
"Machakos","Woman's own health care","96.3"
"Makueni","Woman's own health care","87.2"
"Nyandarua","Woman's own health care","86.7"
"Nyeri","Woman's own health care","84.9"
"Kirinyaga","Woman's own health care","93.1"
"Murang'a","Woman's own health care","83.3"
"Kiambu","Woman's own health care","90.8"
"Turkana","Woman's own health care","88.0"
"West Pokot","Woman's own health care","86.5"
"Samburu","Woman's own health care","71.4"
"Trans Nzoia","Woman's own health care","95.7"
"Uasin Gishu","Woman's own health care","82.7"
"Elgeyo-Marakwet","Woman's own health care","79.6"
"Nandi","Woman's own health care","89.8"
"Baringo","Woman's own health care","58.4"
"Laikipia","Woman's own health care","79.8"
"Nakuru","Woman's own health care","85.0"
"Narok","Woman's own health care","68.2"
"Kajiado","Woman's own health care","79.9"
"Kericho","Woman's own health care","85.6"
"Bomet","Woman's own health care","86.1"
"Kakamega","Woman's own health care","95.2"
"Vihiga","Woman's own health care","90.2"
"Bungoma","Woman's own health care","81.4"
"Busia","Woman's own health care","79.2"
"Siaya","Woman's own health care","77.3"
"Kisumu","Woman's own health care","94.6"
"Homa Bay","Woman's own health care","74.3"
"Migori","Woman's own health care","89.2"
"Kisii","Woman's own health care","89.9"
"Nyamira","Woman's own health care","95.0"
"Nairobi","Woman's own health care","91.3"
"Mombasa","Making major household purchases","77.2"
"Kwale","Making major household purchases","75.7"
"Kilifi","Making major household purchases","82.2"
"Tana River","Making major household purchases","63.8"
"Lamu","Making major household purchases","78.5"
"Taita Taveta","Making major household purchases","82.0"
"Garissa","Making major household purchases","75.4"
"Wajir","Making major household purchases","57.4"
"Mandera","Making major household purchases","52.5"
"Marsabit","Making major household purchases","89.7"
"Isiolo","Making major household purchases","82.2"
"Meru","Making major household purchases","85.1"
"Tharaka-Nithi","Making major household purchases","65.7"
"Embu","Making major household purchases","75.3"
"Kitui","Making major household purchases","87.4"
"Machakos","Making major household purchases","91.5"
"Makueni","Making major household purchases","91.1"
"Nyandarua","Making major household purchases","82.0"
"Nyeri","Making major household purchases","79.2"
"Kirinyaga","Making major household purchases","76.7"
"Murang'a","Making major household purchases","70.5"
"Kiambu","Making major household purchases","70.4"
"Turkana","Making major household purchases","91.5"
"West Pokot","Making major household purchases","85.1"
"Samburu","Making major household purchases","55.5"
"Trans Nzoia","Making major household purchases","82.2"
"Uasin Gishu","Making major household purchases","73.5"
"Elgeyo-Marakwet","Making major household purchases","76.7"
"Nandi","Making major household purchases","60.9"
"Baringo","Making major household purchases","62.6"
"Laikipia","Making major household purchases","77.8"
"Nakuru","Making major household purchases","68.3"
"Narok","Making major household purchases","67.1"
"Kajiado","Making major household purchases","75.2"
"Kericho","Making major household purchases","92.2"
"Bomet","Making major household purchases","66.1"
"Kakamega","Making major household purchases","83.0"
"Vihiga","Making major household purchases","85.1"
"Bungoma","Making major household purchases","73.1"
"Busia","Making major household purchases","58.6"
"Siaya","Making major household purchases","74.3"
"Kisumu","Making major household purchases","94.8"
"Homa Bay","Making major household purchases","75.8"
"Migori","Making major household purchases","75.3"
"Kisii","Making major household purchases","85.7"
"Nyamira","Making major household purchases","92.5"
"Nairobi","Making major household purchases","85.3"
"Mombasa","Visits to her family or relatives","74.5"
"Kwale","Visits to her family or relatives","78.8"
"Kilifi","Visits to her family or relatives","68.7"
"Tana River","Visits to her family or relatives","74.1"
"Lamu","Visits to her family or relatives","84.7"
"Taita Taveta","Visits to her family or relatives","78.1"
"Garissa","Visits to her family or relatives","76.1"
"Wajir","Visits to her family or relatives","95.1"
"Mandera","Visits to her family or relatives","62.6"
"Marsabit","Visits to her family or relatives","88.8"
"Isiolo","Visits to her family or relatives","90.7"
"Meru","Visits to her family or relatives","92.1"
"Tharaka-Nithi","Visits to her family or relatives","69.0"
"Embu","Visits to her family or relatives","75.6"
"Kitui","Visits to her family or relatives","93.2"
"Machakos","Visits to her family or relatives","95.4"
"Makueni","Visits to her family or relatives","91.4"
"Nyandarua","Visits to her family or relatives","78.4"
"Nyeri","Visits to her family or relatives","83.8"
"Kirinyaga","Visits to her family or relatives","92.2"
"Murang'a","Visits to her family or relatives","75.3"
"Kiambu","Visits to her family or relatives","78.0"
"Turkana","Visits to her family or relatives","95.2"
"West Pokot","Visits to her family or relatives","88.6"
"Samburu","Visits to her family or relatives","60.3"
"Trans Nzoia","Visits to her family or relatives","82.0"
"Uasin Gishu","Visits to her family or relatives","83.0"
"Elgeyo-Marakwet","Visits to her family or relatives","82.3"
"Nandi","Visits to her family or relatives","83.4"
"Baringo","Visits to her family or relatives","69.1"
"Laikipia","Visits to her family or relatives","82.3"
"Nakuru","Visits to her family or relatives","70.4"
"Narok","Visits to her family or relatives","65.2"
"Kajiado","Visits to her family or relatives","78.0"
"Kericho","Visits to her family or relatives","93.0"
"Bomet","Visits to her family or relatives","76.7"
"Kakamega","Visits to her family or relatives","88.7"
"Vihiga","Visits to her family or relatives","89.6"
"Bungoma","Visits to her family or relatives","68.1"
"Busia","Visits to her family or relatives","77.4"
"Siaya","Visits to her family or relatives","83.2"
"Kisumu","Visits to her family or relatives","96.5"
"Homa Bay","Visits to her family or relatives","73.9"
"Migori","Visits to her family or relatives","77.2"
"Kisii","Visits to her family or relatives","84.0"
"Nyamira","Visits to her family or relatives","84.9"
"Nairobi","Visits to her family or relatives","87.4"
"Mombasa","All three decisions","61.7"
"Kwale","All three decisions","69.8"
"Kilifi","All three decisions","58.2"
"Tana River","All three decisions","51.4"
"Lamu","All three decisions","67.8"
"Taita Taveta","All three decisions","65.6"
"Garissa","All three decisions","67.5"
"Wajir","All three decisions","56.5"
"Mandera","All three decisions","46.1"
"Marsabit","All three decisions","84.7"
"Isiolo","All three decisions","77.7"
"Meru","All three decisions","65.1"
"Tharaka-Nithi","All three decisions","50.4"
"Embu","All three decisions","60.9"
"Kitui","All three decisions","83.7"
"Machakos","All three decisions","87.8"
"Makueni","All three decisions","81.3"
"Nyandarua","All three decisions","63.8"
"Nyeri","All three decisions","65.2"
"Kirinyaga","All three decisions","71.4"
"Murang'a","All three decisions","59.1"
"Kiambu","All three decisions","62.9"
"Turkana","All three decisions","83.0"
"West Pokot","All three decisions","79.0"
"Samburu","All three decisions","35.8"
"Trans Nzoia","All three decisions","68.7"
"Uasin Gishu","All three decisions","61.2"
"Elgeyo-Marakwet","All three decisions","69.7"
"Nandi","All three decisions","54.1"
"Baringo","All three decisions","43.2"
"Laikipia","All three decisions","63.4"
"Nakuru","All three decisions","52.6"
"Narok","All three decisions","43.5"
"Kajiado","All three decisions","60.4"
"Kericho","All three decisions","80.4"
"Bomet","All three decisions","50.6"
"Kakamega","All three decisions","74.7"
"Vihiga","All three decisions","74.8"
"Bungoma","All three decisions","52.3"
"Busia","All three decisions","50.9"
"Siaya","All three decisions","61.4"
"Kisumu","All three decisions","90.6"
"Homa Bay","All three decisions","56.2"
"Migori","All three decisions","62.2"
"Kisii","All three decisions","74.1"
"Nyamira","All three decisions","79.6"
"Nairobi","All three decisions","75.7"
"Mombasa","None of the three decisions","8.6"
"Kwale","None of the three decisions","15.9"
"Kilifi","None of the three decisions","6.2"
"Tana River","None of the three decisions","20.5"
"Lamu","None of the three decisions","6.3"
"Taita Taveta","None of the three decisions","6.6"
"Garissa","None of the three decisions","16.5"
"Wajir","None of the three decisions","2.7"
"Mandera","None of the three decisions","35.6"
"Marsabit","None of the three decisions","5.9"
"Isiolo","None of the three decisions","3.3"
"Meru","None of the three decisions","1.4"
"Tharaka-Nithi","None of the three decisions","9.2"
"Embu","None of the three decisions","10.2"
"Kitui","None of the three decisions","3.0"
"Machakos","None of the three decisions","1.2"
"Makueni","None of the three decisions","4.1"
"Nyandarua","None of the three decisions","4.2"
"Nyeri","None of the three decisions","3.2"
"Kirinyaga","None of the three decisions","1.7"
"Murang'a","None of the three decisions","8.7"
"Kiambu","None of the three decisions","3.6"
"Turkana","None of the three decisions","1.5"
"West Pokot","None of the three decisions","7.3"
"Samburu","None of the three decisions","19.2"
"Trans Nzoia","None of the three decisions","0.6"
"Uasin Gishu","None of the three decisions","5.1"
"Elgeyo-Marakwet","None of the three decisions","11.8"
"Nandi","None of the three decisions","3.6"
"Baringo","None of the three decisions","18.0"
"Laikipia","None of the three decisions","7.5"
"Nakuru","None of the three decisions","6.2"
"Narok","None of the three decisions","13.8"
"Kajiado","None of the three decisions","8.5"
"Kericho","None of the three decisions","2.3"
"Bomet","None of the three decisions","5.3"
"Kakamega","None of the three decisions","2.0"
"Vihiga","None of the three decisions","1.7"
"Bungoma","None of the three decisions","7.3"
"Busia","None of the three decisions","10.9"
"Siaya","None of the three decisions","7.7"
"Kisumu","None of the three decisions","1.4"
"Homa Bay","None of the three decisions","9.1"
"Migori","None of the three decisions","6.1"
"Kisii","None of the three decisions","2.9"
"Nyamira","None of the three decisions","2.0"
"Nairobi","None of the three decisions","2.9"
