"county","category","proportion","proportion_groups"
"Mombasa","Perinatal mortality rate",57.4,">30"
"Kwale","Perinatal mortality rate",25.9,">22-30"
"Kilifi","Perinatal mortality rate",45.3,">30"
"Tana River","Perinatal mortality rate",34.8,">30"
"Lamu","Perinatal mortality rate",41.1,">30"
"Taita Taveta","Perinatal mortality rate",28.8,">22-30"
"Garissa","Perinatal mortality rate",34.7,">30"
"Wajir","Perinatal mortality rate",76.1,">30"
"Mandera","Perinatal mortality rate",19.7,">17-22"
"Marsabit","Perinatal mortality rate",7.6,"≤ 11"
"Isiolo","Perinatal mortality rate",21.5,">17-22"
"Meru","Perinatal mortality rate",8.8,"≤ 11"
"Tharaka Nithi","Perinatal mortality rate",24.2,">22-30"
"Embu","Perinatal mortality rate",25,">22-30"
"Kitui","Perinatal mortality rate",18.6,">17-22"
"Machakos","Perinatal mortality rate",33.8,">30"
"Makueni","Perinatal mortality rate",27.8,">22-30"
"Nyandarua","Perinatal mortality rate",26.6,">22-30"
"Nyeri","Perinatal mortality rate",27,">22-30"
"Kirinyaga","Perinatal mortality rate",43.3,">30"
"Muranga","Perinatal mortality rate",51.1,">30"
"Kiambu","Perinatal mortality rate",41.7,">30"
"Turkana","Perinatal mortality rate",37.2,">30"
"West Pokot","Perinatal mortality rate",41.3,">30"
"Samburu","Perinatal mortality rate",37.1,">30"
"Trans Nzoia","Perinatal mortality rate",22.7,">22-30"
"Uasin Gishu","Perinatal mortality rate",44.9,">30"
"Elgeyo Marakwet","Perinatal mortality rate",11.5,">11-17"
"Nandi","Perinatal mortality rate",27.7,">22-30"
"Baringo","Perinatal mortality rate",46.3,">30"
"Laikipia","Perinatal mortality rate",27.8,">22-30"
"Nakuru","Perinatal mortality rate",34.8,">30"
"Narok","Perinatal mortality rate",21.5,">17-22"
"Kajiado","Perinatal mortality rate",25.5,">22-30"
"Kericho","Perinatal mortality rate",21,">17-22"
"Bomet","Perinatal mortality rate",34.8,">30"
"Kakamega","Perinatal mortality rate",31.8,">30"
"Vihiga","Perinatal mortality rate",37.4,">30"
"Bungoma","Perinatal mortality rate",28.2,">22-30"
"Busia","Perinatal mortality rate",42.1,">30"
"Siaya","Perinatal mortality rate",54,">30"
"Kisumu","Perinatal mortality rate",47.4,">30"
"Homa Bay","Perinatal mortality rate",35.6,">30"
"Migori","Perinatal mortality rate",39.7,">30"
"Kisii","Perinatal mortality rate",37.6,">30"
"Nyamira","Perinatal mortality rate",23.2,">22-30"
"Nairobi","Perinatal mortality rate",14.3,">11-17"
