County,Woman's name is on title deed,Women's name is not on title deed,Does not have a title deed,Don't know ,Total ,Number of women who own a house
Mombasa,24,17.9,56.6,1.5,100,160
Kwale,7.3,3.1,89.2,0.4,100,167
Kilifi,7.5,6.4,82.8,3.3,100,274
Tana River,1.2,2.2,95.5,1,100,75
Lamu,14.4,8,76.7,0.8,100,36
Taita/Taveta,12.6,37.8,48.7,0.9,100,64
Garissa,27.6,19.3,53.1,0,100,24
Wajir,1.2,0,97.4,1.4,100,13
Mandera,12.1,10.6,76.5,0.8,100,27
Marsabit,3.8,1,95.2,0,100,19
Isiolo,9,13.7,75.2,2.1,100,41
Meru,8.2,24.6,65.6,1.6,100,420
Tharaka-Nithi,3.7,9.7,85.7,0.9,100,118
Embu,11.2,16.4,72.4,0,100,98
Kitui,8.3,3.6,87.2,0.9,100,299
Machakos,8.8,11.8,77,2.4,100,457
Makueni,2.5,12.7,84.7,0,100,265
Nyandarua,11,44.6,44.4,0,100,168
Nyeri,15.4,21.9,62.8,0,100,134
Kirinyaga,15.3,16.1,66.5,2.1,100,162
Murang’a,6,21.2,72.2,0.7,100,209
Kiambu,15.4,15.9,68.7,0,100,477
Turkana,2,2.8,95,0.2,100,188
West Pokot,3.8,4.2,91.9,0.1,100,189
Samburu,2.3,4.5,93,0.2,100,95
Trans Nzoia,13.7,16.3,68.7,1.3,100,267
Uasin Gishu,15.8,19.3,64.4,0.5,100,267
Elgeyo/Marakwet,4.7,30.5,63.2,1.6,100,52
Nandi,2.5,3.9,91.2,2.4,100,271
Baringo,4.4,9.1,85.1,1.4,100,127
Laikipia,19.7,28.7,51.6,0,100,53
Nakuru,9.8,22.6,66.8,0.8,100,461
Narok,8.8,32.4,57.4,1.4,100,427
Kajiado,20.6,19.2,58.4,1.8,100,274
Kericho,9,8.3,82.7,0,100,149
Bomet,2.2,1.5,96.3,0,100,190
Kakamega,7.2,2.9,89.3,0.5,100,431
Vihiga,2.5,11.4,85.4,0.7,100,148
Bungoma,6.1,7,85,1.9,100,531
Busia,4.8,10.7,84.5,0,100,317
Siaya,7.9,25.9,64.8,1.5,100,278
Kisumu,4.2,6.9,88.4,0.5,100,247
Homa Bay,7.7,26.7,60.9,4.7,100,392
Migori,6.7,18.9,72.8,1.6,100,281
Kisii,1.2,11.2,80.4,7.2,100,471
Nyamira,1.7,9.5,87,1.8,100,162
Nairobi City,29.8,32,34.4,3.8,100,576
Total,9.4,15.6,73.4,1.6,100,"10,553"
